context,type,description
Dry,field_harsh,sample collected during the dry season
Wet,field_favourable,sample collected during the wet season
Summer_unfavourable,field_harsh,sample collected during the summer in a location where this is the unfavourable season
Winter_unfavourable,field_harsh,sample collected during the winter in a location where this is the unfavourable season
Summer_favourable,field_favourable,sample collected during the summer in a location where this is the favourable season
Winter_favourable,field_favourable,sample collected during the winter in a location where this is the favourable season
