Species,Replicate,Stage,P-allocation pattern,PUE,N (mature) (mg/g),N (senesced) (mg/g),N resorption (%),P (mature) (mg/g),P (senesced) (mg/g),P resorption (%),Asat (area) umol m-2 s-1,Amax (area) umol m-2 s-1,Asat (mass) nmol g-1 s-1,Amax (mass) nmol g-1 s-1,PNUEsat (umol CO2 g-1 N s-1),PNUEmax (umol CO2 g-1 N s-1),PPUEsat (umol CO2 g-1 P s-1),PPUEmax (umol CO2 g-1 P s-1)
Templetonia retusa,7,1,E,NE,19.357,11.083,42.747,0.53458,0.5331,0.27567,,,,,,,,
Templetonia retusa,8,1,E,NE,17.032,11.566,32.096,0.70021,0.71321,-1.85668,,,,,,,,
Templetonia retusa,9,1,E,NE,17.939,13.12,26.865,0.83497,0.44793,46.35304,,,,,,,,
Templetonia retusa,10,1,E,NE,20.915,12.199,41.673,1.14122,0.97181,14.84476,,,,,,,,
Acacia lasiocarpa,1,3,M,E,,,,,,,25.634,50.723,185.133,366.333,9.199,18.202,508.088,1005.381
Acacia lasiocarpa,2,3,M,E,,,,,,,38.778,73.3,257.255,486.275,12.137,22.942,706.021,1334.552
Acacia lasiocarpa,3,3,M,E,,,,,,,21.294,47.673,102.675,229.869,6.497,14.545,281.787,630.861
Acacia lasiocarpa,4,3,M,E,,,,,,,21.066,58.994,103.329,289.367,5.932,16.611,283.581,794.151
Acacia lasiocarpa,5,3,M,E,14.911,10.244,31.297,0.47841,0.2573,46.2183,,,,,,,,
Acacia lasiocarpa,6,3,M,E,15.02,,,0.32481,0.03542,89.09549,,,,,,,,
Acacia lasiocarpa,7,3,M,E,18.851,,,0.46127,0.08863,80.78598,,,,,,,,
Acacia lasiocarpa,8,3,M,E,17.403,8.787,49.508,0.23086,0.33467,-44.96664,,,,,,,,
Acacia lasiocarpa,9,3,M,E,20.276,,,0.32651,0.06334,80.60167,,,,,,,,
Acacia rostellifera,1,3,M,E,,,,,,,19.962,32.807,175.517,288.453,9.58,15.745,231.622,380.658
Acacia rostellifera,2,3,M,E,,,,,,,16.904,36.08,130.365,278.252,7.614,16.252,172.037,367.197
Acacia rostellifera,3,3,M,E,,,,,,,18.185,39.36,132.05,285.809,6.335,13.712,174.26,377.169
Acacia rostellifera,4,3,M,E,,,,,,,19.332,38.366,155.389,308.377,6.786,13.466,205.059,406.952
Acacia rostellifera,5,3,M,E,16.809,10.789,35.818,0.62382,0.20487,67.15863,,,,,,,,
Acacia rostellifera,6,3,M,E,19.696,13.675,30.57,0.79122,0.2996,62.13494,,,,,,,,
Acacia rostellifera,7,3,M,E,18.426,11.65,36.774,0.90705,0.27839,69.30784,,,,,,,,
Acacia rostellifera,8,3,M,E,19.182,,,0.74953,0.0251,96.65182,,,,,,,,
Acacia rostellifera,9,3,M,E,17.737,11.615,34.516,0.71725,0.36121,49.63939,,,,,,,,
Banksia nivea,1,3,M,Proteaceae,,,,,,,10.948,32.192,48.573,142.833,6.938,20.403,152.397,448.131
Banksia nivea,2,3,M,Proteaceae,,,,,,,18.004,52.029,70.803,204.607,9.031,26.099,222.142,641.945
Banksia nivea,3,3,M,Proteaceae,,,,,,,,,,,,,,
Banksia nivea,4,3,M,Proteaceae,,,,,,,17.471,36.444,76.435,159.444,10.792,22.512,239.812,500.25
Banksia nivea,5,3,M,Proteaceae,6.134,5.117,16.585,0.28017,0.1819,35.07636,,,,,,,,
Banksia nivea,6,3,M,Proteaceae,8.002,5.703,28.728,0.29768,0.23237,21.9407,,,,,,,,
Banksia nivea,7,3,M,Proteaceae,6.224,4.938,20.668,0.52665,0.29459,44.06339,,,,,,,,
Banksia nivea,8,3,M,Proteaceae,9.32,7.87,15.55,0.24615,0.19966,18.8866,,,,,,,,
Banksia nivea,9,3,M,Proteaceae,7.647,6.852,10.394,0.243,0.24417,-0.48171,,,,,,,,
Clematis linearifolia,1,3,,,,,,,,,17.621,25.045,99.144,140.911,6.53,9.281,,
Clematis linearifolia,2,3,,,,,,,,,27.6,48.59,149.786,263.701,7.548,13.288,,
Clematis linearifolia,3,3,,,,,,,,,24.236,49.928,144.094,296.842,5.955,12.267,,
Melaleuca affi. systena,1,3,M,NE,,,,,,,13.29,35.341,77.414,205.859,7.306,19.429,166.012,441.456
Melaleuca affi. systena,2,3,M,NE,,,,,,,19.108,39.553,104.978,217.301,9.083,18.802,225.122,465.994
Melaleuca affi. systena,3,3,M,NE,,,,,,,14.189,37.135,87.209,228.239,6.239,16.328,187.017,489.45
Melaleuca affi. systena,4,3,M,NE,,,,,,,11.546,41.794,58.565,212,4.86,17.593,125.591,454.626
Melaleuca affi. systena,5,3,M,NE,9.796,6.851,30.062,0.57181,0.29916,47.6811,,,,,,,,
Melaleuca affi. systena,6,3,M,NE,11.788,8.369,29.004,0.54275,0.37127,31.59564,,,,,,,,
Melaleuca affi. systena,7,3,M,NE,10.598,7.246,31.631,0.45724,0.21029,54.0091,,,,,,,,
Melaleuca affi. systena,8,3,M,NE,10.233,7.085,30.769,0.33121,0.20944,36.76573,,,,,,,,
Melaleuca affi. systena,9,3,M,NE,10.625,9.831,7.476,0.42858,0.33266,22.38027,,,,,,,,
Opercularia spermacocea,1,3,,,,,,,,,16.566,35.67,139.21,299.748,10.694,23.026,,
Opercularia spermacocea,2,3,,,,,,,,,32.698,56.825,252.245,438.367,19.533,33.945,,
Opercularia spermacocea,3,3,,,,,,,,,21.223,37.755,178.924,318.296,13.555,24.114,,
Opercularia spermacocea,4,3,,,,,,,,,20.541,39.328,160.816,307.895,12.935,24.764,,
Phyllanthus calycinus,1,3,,E,,,,,,,10.172,25.723,112.385,284.193,4.114,10.403,300.318,759.424
Phyllanthus calycinus,2,3,,E,,,,,,,8.695,23.682,94.447,257.252,8.073,21.988,252.383,687.434
Phyllanthus calycinus,3,3,,E,,,,,,,12.127,36.235,126.209,377.093,11.172,33.379,337.258,1007.674
Phyllanthus calycinus,4,3,,E,,,,,,,8.958,28.696,78.442,251.269,7.465,23.911,209.613,671.445
Phyllanthus calycinus,5,3,,E,10.049,10.309,-2.582,0.34246,0.30339,11.40872,,,,,,,,
Phyllanthus calycinus,6,3,,E,10.158,5.906,41.859,0.3312,0.18168,45.14559,,,,,,,,
Phyllanthus calycinus,7,3,,E,10.79,10.471,2.95,0.37592,0.29148,22.46406,,,,,,,,
Phyllanthus calycinus,8,3,,E,9.294,7.488,19.432,0.45504,0.19288,57.61273,,,,,,,,
Phyllanthus calycinus,9,3,,E,9.688,10.724,-10.689,0.36648,0.45973,-25.44289,,,,,,,,
Spyridium globulosum,1,3,E,E,,,,,,,19.89,37.89,104.468,199.012,9.271,17.662,282.556,538.269
Spyridium globulosum,2,3,E,E,,,,,,,16.587,35.967,108.483,235.237,9.054,19.632,293.416,636.247
Spyridium globulosum,3,3,E,E,,,,,,,18.98,43.542,100.612,230.813,9.255,21.232,272.127,624.282
Spyridium globulosum,4,3,E,E,,,,,,,15.914,34.528,96.312,208.96,8.059,17.484,260.495,565.177
Spyridium globulosum,5,3,E,E,10.887,4.453,59.097,0.34856,0.17228,50.57335,,,,,,,,
Spyridium globulosum,6,3,E,E,8.171,3.976,51.334,0.34616,0.12789,63.05643,,,,,,,,
Spyridium globulosum,7,3,E,E,10.92,8.059,26.205,0.37092,0.25673,30.78503,,,,,,,,
Spyridium globulosum,8,3,E,E,11.609,5.765,50.345,0.39932,0.17814,55.3878,,,,,,,,
Spyridium globulosum,9,3,E,E,10.586,5.631,46.804,0.38366,0.21026,45.19733,,,,,,,,
Acacia rostellifera,1,4,M,E,,,,,,,15.773,32.488,109.167,224.861,7.043,14.506,238.516,491.294
Acacia rostellifera,2,4,M,E,,,,,,,23.567,39.969,155.975,264.523,7.442,12.621,340.786,577.949
Acacia rostellifera,3,4,M,E,,,,,,,21.384,42.037,131.348,258.202,7.633,15.006,286.98,564.14
Acacia rostellifera,4,4,M,E,,,,,,,34.8,80.771,214.837,498.639,11.409,26.48,469.392,1089.465
Acacia rostellifera,5,4,M,E,15.377,10.527,31.54,0.42754,0.18119,57.62009,,,,,,,,
Acacia rostellifera,6,4,M,E,18.45,10.249,44.448,0.49215,0.16568,66.33581,,,,,,,,
Acacia rostellifera,7,4,M,E,17.45,9.665,44.613,0.43864,0.13075,70.19236,,,,,,,,
Acacia rostellifera,8,4,M,E,18.829,9.65,48.75,0.47488,0.16104,66.08719,,,,,,,,
Acacia rostellifera,9,4,M,E,16.014,9.509,40.619,0.45525,0.15858,65.16679,,,,,,,,
Anthocercis littorea,1,4,E,,,,,,,,21.136,32.759,197.465,306.056,8.255,12.794,,
Anthocercis littorea,2,4,E,,,,,,,,12.692,31.459,98.106,243.175,7.584,18.798,,
Anthocercis littorea,3,4,E,,,,,,,,9.169,31.53,95.345,327.868,7.011,24.108,,
Anthocercis littorea,4,4,E,,,,,,,,,,,,,,,
Anthocercis littorea,5,4,E,,,,,,,,17.85,32.39,143.758,260.859,8.747,15.871,,
Banksia leptophylla var.  melletica,1,4,M,Proteaceae,,,,,,,8.411,15.6,44.476,82.493,8.171,15.155,115.965,215.089
Banksia leptophylla var.  melletica,2,4,M,Proteaceae,,,,,,,4.488,12.508,35.154,97.974,4.35,12.124,91.659,255.454
Banksia leptophylla var.  melletica,3,4,M,Proteaceae,,,,,,,4.458,9.299,29.67,61.89,3.662,7.638,77.362,161.37
Banksia leptophylla var.  melletica,4,4,M,Proteaceae,,,,,,,8.768,14.361,49.861,81.669,7.916,12.966,130.006,212.941
Banksia leptophylla var.  melletica,5,4,M,Proteaceae,10.142,7.762,23.47,0.32609,0.35949,-10.24423,,,,,,,,
Banksia leptophylla var.  melletica,6,4,M,Proteaceae,8.791,4.663,46.959,0.38911,0.12375,68.1975,,,,,,,,
Banksia leptophylla var.  melletica,7,4,M,Proteaceae,5.987,5.617,6.18,0.3398,0.20035,41.03975,,,,,,,,
Banksia leptophylla var.  melletica,8,4,M,Proteaceae,9.152,4.15,54.656,0.52189,0.12919,75.24543,,,,,,,,
Banksia leptophylla var.  melletica,9,4,M,Proteaceae,9.747,6.95,28.697,0.34076,0.34789,-2.0913,,,,,,,,
Banksia nivea,1,4,M,Proteaceae,,,,,,,24.452,46.732,92.83,177.417,14.251,27.237,274.497,524.62
Banksia nivea,2,4,M,Proteaceae,,,,,,,29.687,52.66,94.437,167.513,13.38,23.734,279.248,495.333
Banksia nivea,3,4,M,Proteaceae,,,,,,,24.608,22.395,67.551,61.476,10.546,9.598,199.747,181.784
Banksia nivea,4,4,M,Proteaceae,,,,,,,13.265,40.082,51.161,154.592,7.97,24.082,151.283,457.128
Banksia nivea,5,4,M,Proteaceae,4.56,5.729,-25.636,0.27491,0.2975,-8.21455,,,,,,,,
Banksia nivea,6,4,M,Proteaceae,5.505,4.941,10.243,0.38901,0.45198,-16.18959,,,,,,,,
Banksia nivea,7,4,M,Proteaceae,6.181,6.918,-11.921,0.31707,0.28762,9.28774,,,,,,,,
Banksia nivea,8,4,M,Proteaceae,5.352,4.901,8.421,0.3509,0.18206,48.11621,,,,,,,,
Banksia nivea,9,4,M,Proteaceae,6.553,6.427,1.933,0.35902,0.29343,18.26857,,,,,,,,
Banksia prionotes,1,4,M,Proteaceae,,,,,,,21.735,35.945,96.134,158.988,8.836,14.613,280.268,463.514
Banksia prionotes,2,4,M,Proteaceae,,,,,,,22.351,43.779,103.157,202.058,10.033,19.653,300.744,589.08
Banksia prionotes,3,4,M,Proteaceae,,,,,,,22.246,38.799,103.597,180.686,10.372,18.09,302.026,526.773
Banksia prionotes,4,4,M,Proteaceae,,,,,,,26.047,50.762,106.884,208.303,8.022,15.633,311.61,607.287
Banksia prionotes,5,4,M,Proteaceae,9.212,9.167,0.484,0.3804,0.23452,38.35073,,,,,,,,
Banksia prionotes,6,4,M,Proteaceae,8.079,3.821,52.708,0.30554,0.1209,60.43044,,,,,,,,
Banksia prionotes,7,4,M,Proteaceae,9.91,2.943,70.303,0.31737,0.10385,67.27835,,,,,,,,
Banksia prionotes,8,4,M,Proteaceae,7.182,3.452,51.929,0.35219,0.11126,68.40948,,,,,,,,
Banksia prionotes,9,4,M,Proteaceae,7.999,3.178,60.271,0.35951,0.10255,71.4754,,,,,,,,
Conospermum stoechadis,1,4,,Proteaceae,,,,,,,18.182,18.944,117.597,122.522,10.319,10.752,285.625,297.588
Conospermum stoechadis,2,4,,Proteaceae,,,,,,,16.884,35.207,55.879,116.525,6.461,13.474,135.722,283.021
Conospermum stoechadis,3,4,,Proteaceae,,,,,,,,,,,,,,
Conospermum stoechadis,4,4,,Proteaceae,,,,,,,7.7,20.806,29.512,79.741,3.227,8.719,71.68,193.677
Conospermum stoechadis,5,4,,Proteaceae,6.456,3.563,44.811,0.33527,0.12984,61.27296,,,,,,,,
Conospermum stoechadis,6,4,,Proteaceae,7.528,3.429,54.458,0.50532,0.16801,66.75092,,,,,,,,
Conospermum stoechadis,7,4,,Proteaceae,7.923,3.296,58.392,0.38807,0.14855,61.72139,,,,,,,,
Conospermum stoechadis,8,4,,Proteaceae,6.734,4.295,36.216,0.42121,0.19579,53.51641,,,,,,,,
Conospermum stoechadis,9,4,,Proteaceae,7.174,3.341,53.433,0.40872,0.20043,50.96063,,,,,,,,
Scaevola crassifolia,1,4,,,,,,,,,19.168,35.905,145.389,272.335,11.048,20.694,,
Scaevola crassifolia,2,4,,,,,,,,,10.448,32.291,91.005,281.267,5.898,18.228,,
Scaevola crassifolia,3,4,,,,,,,,,19.094,43.094,112.074,252.943,7.411,16.726,,
Scaevola crassifolia,4,4,,,,,,,,,17.07,37.993,132.931,295.862,8.634,19.218,,
Hakea incrassata,1,4,M,Proteaceae,,,,,,,13.223,27.451,45.78,95.037,7.799,16.19,167.631,347.994
Hakea incrassata,2,4,M,Proteaceae,,,,,,,16.643,31.725,57.351,109.324,10.405,19.834,210.002,400.309
Hakea incrassata,3,4,M,Proteaceae,,,,,,,17.449,34.045,50.342,98.225,9.054,17.666,184.336,359.666
Hakea incrassata,4,4,M,Proteaceae,,,,,,,12.864,36,41.899,117.25,7.063,19.765,153.419,429.329
Hakea incrassata,5,4,M,Proteaceae,5.396,3.289,39.049,0.33932,0.11284,66.74598,,,,,,,,
Hakea incrassata,6,4,M,Proteaceae,4.125,2.657,35.587,0.23279,0.09102,60.90199,,,,,,,,
Hakea incrassata,7,4,M,Proteaceae,4.995,2.617,47.607,0.28087,0.1106,60.62036,,,,,,,,
Hakea incrassata,8,4,M,Proteaceae,5.242,2.642,49.6,0.27236,0.10893,60.00694,,,,,,,,
Hakea incrassata,9,4,M,Proteaceae,4.751,2.938,38.176,0.24016,0.07932,66.97288,,,,,,,,
Labichea cassioides,1,4,M,E,,,,,,,10.157,20.892,41.304,84.96,3.798,7.812,128.758,264.848
Labichea cassioides,2,4,M,E,,,,,,,23.664,44.776,116.154,219.78,7.15,13.528,362.09,685.128
Labichea cassioides,3,4,M,E,,,,,,,16.125,33.45,121.698,252.453,10.483,21.745,379.373,786.979
Labichea cassioides,4,4,M,E,,,,,,,9.507,20.226,33.45,71.167,3.676,7.822,104.275,221.85
Labichea cassioides,5,4,M,E,9.596,6.41,33.197,0.28318,0.13678,51.69974,,,,,,,,
Labichea cassioides,6,4,M,E,13.156,,100,0.38915,0.0819,78.95468,,,,,,,,
Labichea cassioides,7,4,M,E,13.096,7.126,45.584,0.34337,0.18037,47.46924,,,,,,,,
Labichea cassioides,8,4,M,E,9.299,5.343,42.539,0.25921,0.07439,71.30131,,,,,,,,
Labichea cassioides,9,4,M,E,11.998,6.661,44.485,0.32902,0.09046,72.50659,,,,,,,,
Melaleuca affi. systena,1,4,M,,,,,,,,15.311,26.718,73.463,128.199,10.534,18.382,,
Melaleuca affi. systena,2,4,M,,,,,,,,33.798,64.678,90.847,173.85,9.643,18.454,,
Melaleuca affi. systena,3,4,M,,,,,,,,27.377,56.274,83.616,171.872,7.688,15.803,,
Melaleuca affi. systena,4,4,M,,,,,,,,18.914,41.329,69,150.773,7.09,15.492,,
