Species,Replicate,Stage,LMA (g m-2),FMA (g m-2),DMC (%),N (mg g-1),P (mg g-1),NP ratio,Asat (area) umol m-2 s-1,Amax (area) umol m-2 s-1,Asat (mass) nmol g-1 s-1,Amax (mass) nmol g-1 s-1,Rdark (area) umol m-2 s-1,Rdark28 (area) umol m-2 s-1,Rdark25 (area) umol m-2 s-1,Rdark (mass) nmol g-1 s-1,Rdark28 (mass) nmol g-1 s-1,Rdark25 (mass) nmol g-1 s-1,PNUEsat (umol CO2 g-1 N s-1),PNUEmax (umol CO2 g-1 N s-1),PPUEsat (umol CO2 g-1 P s-1),PPUEmax (umol CO2 g-1 P s-1),Rdark (N based) (umol CO2 g-1 N s-1),Rdark28 (N based) (umol CO2 g-1 N s-1),Rdark25 (N based) (umol CO2 g-1 N s-1),Rdark (P based) umol CO2 g-1 P s-1,Rdark28 (P based) umol CO2 g-1 P s-1,Rdark25 (P based) umol CO2 g-1 P s-1,Rd28/Asat (area),Rd28/Asat (mass),Rd28/Amax (area),Rd28/Amax (mass),Rlight (area) (umol m-2 s-1),RL/RD (area),RL/RD 28 (area),RL/RD 25 (area)
Acacia rostellifera,1,4,144.482,511.706,0.282,15.501,,33.868,15.773,32.488,109.167,224.861,2.484,2.897,2.331,17.194,20.051,16.133,7.043,14.506,238.516,491.294,1.109,1.294,1.041,37.568,43.8,35.249,0.184,0.184,0.089,0.089,1.713,0.689,0.591,0.735
Acacia rostellifera,2,4,151.097,655.172,0.231,20.959,,45.794,23.567,39.969,155.975,264.523,2.816,3.409,2.743,18.635,22.559,18.151,7.442,12.621,340.786,577.949,0.889,1.076,0.866,40.715,49.3,39.658,0.145,0.145,0.085,0.085,2.161,0.768,0.634,0.788
Acacia rostellifera,3,4,162.805,597.561,0.272,17.207,,37.595,21.384,42.037,131.348,258.202,2.911,3.345,2.692,17.883,20.548,16.533,7.633,15.006,286.980,564.140,1.039,1.194,0.961,39.072,44.9,36.123,0.156,0.156,0.080,0.080,2.922,1.003,0.873,1.085
Acacia rostellifera,4,4,161.983,603.306,0.268,18.831,,41.144,34.800,80.771,214.837,498.639,2.897,3.461,2.785,17.884,21.366,17.191,11.409,26.480,469.392,1089.465,0.950,1.135,0.913,39.074,46.7,37.561,0.099,0.099,0.043,0.043,2.997,1.035,0.866,1.076
Acacia rostellifera,5,4,,,,,0.428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia rostellifera,6,4,,,,,0.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia rostellifera,7,4,,,,,0.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia rostellifera,8,4,,,,,0.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia rostellifera,9,4,,,,,0.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthocercis littorea,1,4,107.035,625.628,0.171,23.921,,,21.136,32.759,197.465,306.056,2.667,3.044,2.449,24.915,28.440,22.884,8.255,12.794,,,1.042,1.189,0.957,,,,0.144,0.144,0.093,0.093,,,,
Anthocercis littorea,2,4,129.369,787.387,0.164,12.936,,,12.692,31.459,98.106,243.175,1.699,1.864,1.499,13.136,14.405,11.590,7.584,18.798,,,1.015,1.114,0.896,,,,0.147,0.147,0.059,0.059,,,,
Anthocercis littorea,3,4,96.167,860.000,0.112,13.600,,,9.169,31.530,95.345,327.868,,,,,,,7.011,24.108,,,,,,,,,,,,,,,,
Anthocercis littorea,4,4,114.167,671.667,0.170,15.526,,,,,,,1.969,2.206,1.775,17.247,19.319,15.545,,,,,1.111,1.244,1.001,,,,,,,,,,,
Anthocercis littorea,5,4,124.167,760.000,0.163,16.436,,,17.850,32.390,143.758,260.859,1.515,1.703,1.371,12.201,13.719,11.039,8.747,15.871,,,0.742,0.835,0.672,,,,0.095,0.095,0.053,0.053,,,,
Banksia leptophylla var.  melletica,1,4,189.107,305.357,0.619,5.443,,14.193,8.411,15.600,44.476,82.493,2.586,2.856,2.298,13.677,15.101,12.151,8.171,15.155,115.965,215.089,2.513,2.774,2.232,35.661,39.4,31.681,0.340,0.340,0.183,0.183,,,,
Banksia leptophylla var.  melletica,2,4,127.667,326.667,0.391,8.081,,21.070,4.488,12.508,35.154,97.974,3.374,3.778,3.040,26.428,29.591,23.809,4.350,12.124,91.659,255.454,3.270,3.662,2.946,68.908,77.2,62.080,0.842,0.842,0.302,0.302,,,,
Banksia leptophylla var.  melletica,3,4,150.243,390.777,0.384,8.103,,21.127,4.458,9.299,29.670,61.890,2.946,3.296,2.652,19.609,21.935,17.649,3.662,7.638,77.362,161.370,2.420,2.707,2.178,51.128,57.2,46.018,0.739,0.739,0.354,0.354,,,,
Banksia leptophylla var.  melletica,4,4,175.844,389.610,0.451,6.299,,16.423,8.768,14.361,49.861,81.669,2.157,2.512,2.022,12.266,14.288,11.496,7.916,12.966,130.006,212.941,1.947,2.268,1.825,31.982,37.3,29.975,0.287,0.287,0.175,0.175,,,,
Banksia leptophylla var.  melletica,5,4,,,,,0.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia leptophylla var.  melletica,6,4,,,,,0.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia leptophylla var.  melletica,7,4,,,,,0.340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia leptophylla var.  melletica,8,4,,,,,0.522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia leptophylla var.  melletica,9,4,,,,,0.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia nivea,1,4,263.402,541.237,0.487,6.514,,19.261,24.452,46.732,92.830,177.417,2.067,1.981,1.594,7.848,7.520,6.050,14.251,27.237,274.497,524.620,1.205,1.154,0.929,23.207,22.2,17.891,0.081,0.081,0.042,0.042,,,,
Banksia nivea,2,4,314.362,579.787,0.542,7.058,,20.871,29.687,52.660,94.437,167.513,1.876,1.656,1.332,5.969,5.267,4.238,13.380,23.734,279.248,495.333,0.846,0.746,0.600,17.649,15.6,12.531,0.056,0.056,0.031,0.031,,,,
Banksia nivea,3,4,364.286,623.377,0.584,6.405,,18.941,24.608,22.395,67.551,61.476,1.697,1.621,1.304,4.658,4.449,3.580,10.546,9.598,199.747,181.784,0.727,0.695,0.559,13.773,13.2,10.586,0.066,0.066,0.072,0.072,,,,
Banksia nivea,4,4,259.278,510.309,0.508,6.419,,18.982,13.265,40.082,51.161,154.592,1.431,1.357,1.092,5.519,5.234,4.211,7.970,24.082,151.283,457.128,0.860,0.815,0.656,16.320,15.5,12.452,0.102,0.102,0.034,0.034,,,,
Banksia nivea,5,4,,,,,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia nivea,6,4,,,,,0.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia nivea,7,4,,,,,0.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia nivea,8,4,,,,,0.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia nivea,9,4,,,,,0.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia prionotes ,1,4,226.087,425.629,0.531,10.880,,31.719,21.735,35.945,96.134,158.988,1.007,1.274,1.025,4.456,5.635,4.534,8.836,14.613,280.268,463.514,0.410,0.518,0.417,12.990,16.4,13.219,0.059,0.059,0.035,0.035,0.897,0.891,0.704,0.875
Banksia prionotes ,2,4,216.667,432.900,0.501,10.281,,29.974,22.351,43.779,103.157,202.058,1.069,1.371,1.103,4.935,6.328,5.092,10.033,19.653,300.744,589.080,0.480,0.616,0.495,14.387,18.4,14.845,0.061,0.061,0.031,0.031,1.636,1.530,1.193,1.483
Banksia prionotes ,3,4,214.732,410.714,0.523,9.988,,29.120,22.246,38.799,103.597,180.686,1.181,1.352,1.088,5.500,6.295,5.065,10.372,18.090,302.026,526.773,0.551,0.630,0.507,16.036,18.4,14.766,0.061,0.061,0.035,0.035,0.829,0.702,0.614,0.763
Banksia prionotes ,4,4,243.692,450.935,0.540,13.325,,38.847,26.047,50.762,106.884,208.303,,,,,,,8.022,15.633,311.610,607.287,,,,,,,,,,,0.805,,,
Banksia prionotes ,5,4,,,,,0.380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia prionotes ,6,4,,,,,0.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia prionotes ,7,4,,,,,0.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia prionotes ,8,4,,,,,0.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia prionotes ,9,4,,,,,0.360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conospermum stoechadis,1,4,154.615,753.846,0.205,11.396,,27.678,18.182,18.944,117.597,122.522,3.360,3.303,2.658,21.731,21.363,17.189,10.319,10.752,285.625,297.588,1.907,1.875,1.508,52.782,51.9,41.749,0.182,0.182,0.174,0.174,,,,
Conospermum stoechadis,2,4,302.143,746.429,0.405,8.648,,21.005,16.884,35.207,55.879,116.525,3.223,3.302,2.656,10.667,10.927,8.792,6.461,13.474,135.722,283.021,1.233,1.264,1.017,25.908,26.5,21.355,0.196,0.196,0.094,0.094,,,,
Conospermum stoechadis,3,4,256.146,780.731,0.328,8.820,,21.422,,,,,3.435,3.105,2.498,13.409,12.120,9.752,,,,,1.520,1.374,1.106,32.567,29.4,23.686,,,,,,,,
Conospermum stoechadis,4,4,260.923,707.692,0.369,9.146,,22.214,7.700,20.806,29.512,79.741,2.487,2.436,1.960,9.531,9.334,7.511,3.227,8.719,71.680,193.677,1.042,1.021,0.821,23.148,22.7,18.242,0.316,0.316,0.117,0.117,,,,
Conospermum stoechadis,5,4,,,,,0.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conospermum stoechadis,6,4,,,,,0.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conospermum stoechadis,7,4,,,,,0.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conospermum stoechadis,8,4,,,,,0.421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conospermum stoechadis,9,4,,,,,0.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scaevola crassifolia,1,4,131.842,481.579,0.274,13.160,,,19.168,35.905,145.389,272.335,1.774,1.994,1.604,13.454,15.124,12.169,11.048,20.694,,,1.022,1.149,0.925,,,,0.104,0.104,0.056,0.056,0.704,0.397,0.353,0.439
Scaevola crassifolia,2,4,114.805,464.935,0.247,15.431,,,10.448,32.291,91.005,281.267,1.758,1.997,1.607,15.312,17.393,13.994,5.898,18.228,,,0.992,1.127,0.907,,,,0.191,0.191,0.062,0.062,1.287,0.732,0.644,0.801
Scaevola crassifolia,3,4,170.370,601.140,0.283,15.123,,,19.094,43.094,112.074,252.943,2.362,2.576,2.072,13.866,15.118,12.164,7.411,16.726,,,0.917,1.000,0.804,,,,0.135,0.135,0.060,0.060,1.338,0.567,0.520,0.646
Scaevola crassifolia,4,4,128.413,520.295,0.247,15.395,,,17.070,37.993,132.931,295.862,2.150,2.471,1.988,16.741,19.240,15.481,8.634,19.218,,,1.087,1.250,1.006,,,,0.145,0.145,0.065,0.065,2.676,1.245,1.083,1.346
Hakea incrassata ,1,4,288.841,682.403,0.423,5.870,,21.494,13.223,27.451,45.780,95.037,2.107,2.510,2.019,7.296,8.689,6.991,7.799,16.190,167.631,347.994,1.243,1.480,1.191,26.717,31.8,25.598,0.190,0.190,0.091,0.091,1.550,0.735,0.618,0.768
Hakea incrassata ,2,4,290.196,620.915,0.467,5.512,,20.183,16.643,31.725,57.351,109.324,1.584,1.919,1.544,5.457,6.612,5.320,10.405,19.834,210.002,400.309,0.990,1.200,0.965,19.983,24.2,19.480,0.115,0.115,0.060,0.060,1.514,0.956,0.789,0.981
Hakea incrassata ,3,4,346.606,719.457,0.482,5.560,,20.359,17.449,34.045,50.342,98.225,2.237,2.817,2.266,6.454,8.126,6.538,9.054,17.666,184.336,359.666,1.161,1.462,1.176,23.631,29.8,23.941,0.161,0.161,0.083,0.083,1.429,0.639,0.507,0.631
Hakea incrassata ,4,4,307.037,674.074,0.455,5.932,,21.722,12.864,36.000,41.899,117.250,1.938,2.392,1.925,6.312,7.790,6.268,7.063,19.765,153.419,429.329,1.064,1.313,1.057,23.112,28.5,22.952,0.186,0.186,0.066,0.066,0.786,0.405,0.328,0.408
Hakea incrassata ,5,4,,,,,0.339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hakea incrassata ,6,4,,,,,0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hakea incrassata ,7,4,,,,,0.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hakea incrassata ,8,4,,,,,0.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hakea incrassata ,9,4,,,,,0.240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labichea cassioides,1,4,245.902,514.754,0.478,10.875,,33.902,10.157,20.892,41.304,84.960,2.874,3.322,2.673,11.688,13.511,10.871,3.798,7.812,128.758,264.848,1.075,1.242,1.000,36.435,42.1,33.888,0.327,0.327,0.159,0.159,,,,
Labichea cassioides,2,4,203.731,518.657,0.393,16.246,,50.644,23.664,44.776,116.154,219.780,3.369,3.345,2.691,16.538,16.417,13.209,7.150,13.528,362.090,685.128,1.018,1.011,0.813,51.556,51.2,41.177,0.141,0.141,0.075,0.075,,,,
Labichea cassioides,3,4,132.500,275.000,0.482,11.609,,36.190,16.125,33.450,121.698,252.453,3.588,3.345,2.691,27.075,25.243,20.311,10.483,21.745,379.373,786.979,2.332,2.174,1.750,84.403,78.7,63.316,0.207,0.207,0.100,0.100,,,,
Labichea cassioides,4,4,284.211,605.263,0.470,9.099,,28.363,9.507,20.226,33.450,71.167,2.416,2.223,1.788,8.500,7.820,6.292,3.676,7.822,104.275,221.850,0.934,0.860,0.692,26.497,24.4,19.615,0.234,0.234,0.110,0.110,,,,
Labichea cassioides,5,4,,,,,0.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labichea cassioides,6,4,,,,,0.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labichea cassioides,7,4,,,,,0.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labichea cassioides,8,4,,,,,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labichea cassioides,9,4,,,,,0.329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melaleuca affi. systena,1,4,208.414,631.068,0.330,6.974,,,15.311,26.718,73.463,128.199,3.633,3.205,2.579,17.432,15.378,12.373,10.534,18.382,,,2.499,2.205,1.774,,,,0.209,0.209,0.120,0.120,,,,
Melaleuca affi. systena,2,4,372.034,923.729,0.403,9.421,,,33.798,64.678,90.847,173.850,5.143,4.882,3.928,13.823,13.123,10.559,9.643,18.454,,,1.467,1.393,1.121,,,,0.144,0.144,0.075,0.075,,,,
Melaleuca affi. systena,3,4,327.419,879.032,0.372,10.876,,,27.377,56.274,83.616,171.872,8.579,7.834,6.304,26.202,23.928,19.253,7.688,15.803,,,2.409,2.200,1.770,,,,0.286,0.286,0.139,0.139,,,,
Melaleuca affi. systena,4,4,274.118,711.765,0.385,9.732,,,18.914,41.329,69.000,150.773,3.953,4.068,3.273,14.421,14.839,11.940,7.090,15.492,,,1.482,1.525,1.227,,,,0.215,0.215,0.098,0.098,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
