Species,Replicate,Stage,LMA (g m-2),FMA (g m-2),DMC (%),N (mg g-1),P (mg g-1),NP ratio,Asat (area) umol m-2 s-1,Amax (area) umol m-2 s-1,Asat (mass) nmol g-1 s-1,Amax (mass) nmol g-1 s-1,Rdark (area) umol m-2 s-1,Rdark28 (area) umol m-2 s-1,Rdark25 (area) umol m-2 s-1,Rdark (mass) nmol g-1 s-1,Rdark28 (mass) nmol g-1 s-1,Rdark25 (mass) nmol g-1 s-1,PNUEsat (umol CO2 g-1 N s-1),PNUEmax (umol CO2 g-1 N s-1),PPUEsat (umol CO2 g-1 P s-1),PPUEmax (umol CO2 g-1 P s-1),Rdark (N based) (umol CO2 g-1 N s-1),Rdark28 (N based) (umol CO2 g-1 N s-1),Rdark25 (N based) (umol CO2 g-1 N s-1),Rdark (P based) umol CO2 g-1 P s-1,Rdark28 (P based) umol CO2 g-1 P s-1,Rdark25 (P based) umol CO2 g-1 P s-1,Rd28/Asat (area),Rd28/Asat (mass),Rd28/Amax (area),Rd28/Amax (mass),Rlight (area) (umol m-2 s-1),RL/RD (area),RL/RD 28 (area),RL/RD 25 (area)
Dioscorea hastifolia,2,1,85.561,344.920,0.248,16.182,,,8.750,21.882,102.263,255.750,0.967,1.174,0.928,11.297,13.720,10.842,6.319,15.804,,,0.698,0.848,0.670,,,,0.134,0.134,0.054,0.054,0.911,0.943,0.776,0.982
Dioscorea hastifolia,3,1,68.351,297.872,0.229,20.515,,,12.709,27.303,185.930,399.455,1.205,1.523,1.203,17.633,22.281,17.607,9.063,19.472,,,0.860,1.086,0.858,,,,0.120,0.120,0.056,0.056,0.711,0.590,0.467,0.591
Dioscorea hastifolia,4,1,103.915,412.811,0.252,20.102,,,15.784,29.594,151.890,284.795,0.940,1.146,0.906,9.041,11.032,8.718,7.556,14.167,,,0.450,0.549,0.434,,,,0.073,0.073,0.039,0.039,1.022,1.088,0.892,1.129
Myoporum insulare,1,1,164.225,800.000,0.205,15.323,,7.324,15.779,31.944,96.082,194.511,,,,,,,6.270,12.694,45.924,92.970,,,,,,,,,,,2.576,,,
Myoporum insulare,2,1,165.000,833.929,0.198,17.609,,8.416,14.282,27.600,86.558,167.273,2.508,3.017,2.384,15.201,18.283,14.448,4.916,9.499,41.372,79.951,0.863,1.038,0.820,7.266,8.7,6.905,0.211,0.211,0.109,0.109,2.221,0.885,0.736,0.932
Myoporum insulare,3,1,148.103,844.828,0.175,19.082,,9.121,19.583,39.300,132.224,265.355,1.801,2.196,1.735,12.161,14.827,11.717,6.929,13.906,63.198,126.830,0.637,0.777,0.614,5.812,7.1,5.600,0.112,0.112,0.056,0.056,1.466,0.814,0.668,0.845
Myoporum insulare,4,1,145.870,900.000,0.162,19.963,,9.542,16.604,33.287,113.830,228.197,2.383,2.999,2.370,16.337,20.557,16.245,5.702,11.431,54.407,109.070,0.818,1.030,0.814,7.808,9.8,7.764,0.181,0.181,0.090,0.090,1.961,0.823,0.654,0.827
Myoporum insulare,5,1,120.310,678.141,0.177,22.431,,10.721,6.524,23.566,54.223,195.880,,,,,,,2.417,8.733,25.917,93.624,,,,,,,,,,,,,,
Myoporum insulare,6,1,113.604,597.173,0.190,19.042,,9.101,,,,,2.817,2.970,2.347,24.793,26.146,20.661,,,,,1.302,1.373,1.085,11.850,12.5,9.875,,,,,,,,
Myoporum insulare,7,1,161.977,901.141,0.180,16.184,,7.735,16.734,25.973,103.310,160.352,,,,,,,6.384,9.908,49.379,76.643,,,,,,,,,,,,,,
Myoporum insulare,8,1,148.549,808.511,0.184,15.924,,7.611,,,,,2.698,3.010,2.378,18.164,20.261,16.011,,,,,1.141,1.272,1.005,8.682,9.7,7.652,,,,,,,,
Myoporum insulare,9,1,99.632,681.400,0.146,14.054,,6.717,8.080,25.105,81.094,251.978,1.148,1.216,0.961,11.520,12.205,9.644,5.770,17.930,38.760,120.437,0.820,0.868,0.686,5.506,5.8,4.610,0.151,0.151,0.048,0.048,,,,
