site,name_original,PLANT,growth form,leaf longevity,leaf_type,N_fixer,SLA (mm2/mg),Leaf size (mm2),Lamina_Thickness (mm),leaf N per mass (mg/g),Leaf N per area (g/m2),"Leaf P per mass, %",Leaf P per area (g/m2),punch_strength_MN/m2,punch_strength_adjusted_x103_MN/m2/m,work_to_punch_x102_J/m2,work_to_punch_adjusted_MJ/m2/m,strength_to_tear_MN/m2,work_to_tear_x10-3_J/m,work_to_tear_adjusted_kJ/m2,work_to_shear_J/m,work_to_shear_adjusted_kJ/m2
ReadWilsonsProm_forest,Acacia melanoxylon,,T,E,S,Y,,,,,,0.021,0.0245,4.93,19.12,4.28,1.66,7.22,8.28,4.96,0.31,1.18
ReadWilsonsProm_forest,Acmena smithii,,T,E,S,N,,,,,,0.046,0.0452,3.8,10.56,5.1,1.42,1.01,2.31,1.32,0.89,2.5
ReadWilsonsProm_forest,Banksia marginata,,S/T,E,S,N,,,,,,0.036,0.072,7.05,27.13,10.84,4.15,6.35,13.88,8.51,0.98,3.78
ReadWilsonsProm_forest,Bedfordia arborescens,,T,E,S,N,,,,,,0.102,0.0901,0.49,2.29,0.21,0.1,0.4,0.56,0.38,0.3,1.32
ReadWilsonsProm_forest,Eucalyptus obliqua,,T,E,S,N,,,,,,0.039,0.0725,5.05,12.58,5.38,1.34,1.64,3.67,1.24,0.35,0.86
ReadWilsonsProm_forest,Goodenia ovata,,S,E,S,N,,,,,,0.033,0.0157,0.32,1.48,0.04,0.02,0.39,0.83,0.49,0.09,0.43
ReadWilsonsProm_forest,Hedycarya angustifolia,,T,E,S,N,,,,,,0.1,0.0471,3.02,11.03,4.09,1.5,0.77,1.77,1.19,0.17,0.6
ReadWilsonsProm_forest,Hibbertia aspera,,S,E,S,N,,,,,,0.039,0.0279,1.54,7.41,1.46,0.72,1.17,1.19,0.55,0.19,0.89
ReadWilsonsProm_forest,Olearia argophylla,,T,E,S,N,,,,,,0.026,0.0252,2.52,11.2,3.17,1.4,1.03,1.31,0.86,0.39,1.74
ReadWilsonsProm_forest,Pimelea drupacea,,S,E,S,N,,,,,,0.065,0.0339,1.95,7.36,2.71,1.01,0.53,1.49,0.83,0.24,0.99
ReadWilsonsProm_forest,Pomaderris aspera,,T,E,S,N,,,,,,0.044,0.0418,1.45,11.11,2.1,1.62,0.5,0.93,0.64,0.08,0.63
ReadWilsonsProm_forest,Zieria arborescens,,S,E,C,N,,,,,,0.049,0.0372,0.73,3.29,0.29,0.13,0.44,0.72,0.44,0.08,0.35
ReadWilsonsProm_heath,Acacia suaveolens,,S,E,S,Y,,,,,,0.031,0.0674,2.23,5.08,3.39,0.77,5.12,12.66,4.48,2.69,6.04
ReadWilsonsProm_heath,Banksia marginata,,S,E,S,N,,,,,,0.032,0.0732,8.78,28.62,15.89,5.16,12.32,26.67,12.1,1.35,4.4
