site,species,SLA (cm2/g),Nmass (mg g-1),Water concentration per unit dry mass (g g-1)
Wongabel State Forest,Aglaia sapindina,0.180,,1.9
Wongabel State Forest,Alocasia brisbanensis,0.380,41.4,8.6
Wongabel State Forest,Alpinia caerulea,0.230,21.1,4
Wongabel State Forest,Alpinia modesta,0.250,20.6,3.2
Wongabel State Forest,Calamus caryotoides,0.060,16.9,1.5
Wongabel State Forest,Castanospora alphandii,0.140,23,1.5
Wongabel State Forest,Codiaeum variegatum,0.240,20,4.1
Wongabel State Forest,Dichapetalum papuanum,0.170,20,1.8
Wongabel State Forest,Hodgkinsonia frutescens,0.310,51,5.8
Wongabel State Forest,Neisosperma poweri,0.200,,3.3
Wongabel State Forest,Phaleria octandra,0.150,26,2.4
Wongabel State Forest,Pothos longipes,0.120,22.6,1.9
Wongabel State Forest,Ptychanthus racemiger,0.240,20.7,4.8
Wongabel State Forest,Sauropus macropus,0.270,29,2.9
Wooroonooran National Park,Acacia aulacocarpa,,27.7,
Wooroonooran National Park,Aglaia australiensis,0.120,26.2,
Wooroonooran National Park,Aglaia tomentosa,0.200,31.2,
Wooroonooran National Park,Alphitonia petriei,0.118,22.9,
Wooroonooran National Park,Alpinia arctiflora,0.200,19.9,4
Wooroonooran National Park,Apodytes brevistylis,0.200,19.2,
Wooroonooran National Park,Argyrodendron peralatum,0.090,17.2,
Wooroonooran National Park,Argyrodendron trifoliolatum,0.116,18.5,
Wooroonooran National Park,Austromuellera trinervia,0.156,11,
Wooroonooran National Park,Beilschmiedia brunnea,0.175,26.9,
Wooroonooran National Park,Beilschmiedia tooram,0.127,13.6,
Wooroonooran National Park,Calamus australis,0.170,19.8,1.5
Wooroonooran National Park,Cardwellia sublimis,0.149,9.2,
Wooroonooran National Park,Castanospora alphandii,0.145,19.9,
Wooroonooran National Park,Cinnamomum laubatii,0.169,18.1,
Wooroonooran National Park,Cordyline cannifolia,0.190,16.9,4.1
Wooroonooran National Park,Cryptocarya angulata,0.161,18.4,
Wooroonooran National Park,Cryptocarya corrugata,0.127,13.7,
Wooroonooran National Park,Cryptocarya grandis,0.172,17.7,
Wooroonooran National Park,Cryptocarya melanocarpa,0.204,20,
Wooroonooran National Park,Cryptocarya murrayi,0.118,14.9,
Wooroonooran National Park,Cryptocarya oblata_,0.172,14,
Wooroonooran National Park,Cryptocarya pleurosperma,0.127,13.8,
Wooroonooran National Park,Crytocarya mackinnoniana,0.118,14.1,
Wooroonooran National Park,Cupaniopsis flagelliformis,0.175,24.8,
Wooroonooran National Park,Daphnandra repandula,0.227,32.5,
Wooroonooran National Park,Darlingia ferruginea,0.159,12.2,
Wooroonooran National Park,Dendrocnide cordata,0.435,57.7,
Wooroonooran National Park,Diploglottis bracteata,0.147,17.5,
Wooroonooran National Park,Doryphora aromatica,0.175,27.8,
Wooroonooran National Park,Elaeocarpus grandis,0.000,17.8,
Wooroonooran National Park,Endiandra bessaphila,0.135,15.8,
Wooroonooran National Park,Endiandra insignis,0.130,13.2,
Wooroonooran National Park,Endiandra leptodendron,0.175,17.9,
Wooroonooran National Park,Endiandra monothyra,0.147,18.1,
Wooroonooran National Park,Endiandra sankeyana,0.139,16.5,
Wooroonooran National Park,Flindersia bourjotiana,0.099,9.4,
Wooroonooran National Park,Franciscodendron laurifolium,0.159,13,
Wooroonooran National Park,Freycinetia excelsa,0.190,16.6,3.4
Wooroonooran National Park,Garcinia gibbsiae,0.109,13.4,
Wooroonooran National Park,Gillbeea adenopetala,0.167,13.9,
Wooroonooran National Park,Guioa lasioneura,0.143,16,
Wooroonooran National Park,Hypsophila dielsiana,0.103,21,
Wooroonooran National Park,Litsea leefeana,0.167,16.1,
Wooroonooran National Park,Melicope vitiflora,0.303,41.8,
Wooroonooran National Park,Myristica insipida,0.156,16.8,
Wooroonooran National Park,Neolitsea dealbata,0.169,14.9,
Wooroonooran National Park,Omalanthus novogunieensis,0.175,27.3,
Wooroonooran National Park,Opisthiolepis heterophylla,0.128,15.5,
Wooroonooran National Park,Polyscias murrayi,0.385,48.9,
Wooroonooran National Park,Pouteria castanosperma,0.222,37.4,
Wooroonooran National Park,Prunus turneriana,0.182,16.5,
Wooroonooran National Park,Solanum dallachii,0.333,55.3,
Wooroonooran National Park,Synima macrophylla,0.103,21.1,
Wooroonooran National Park,Syzygium cormiflorum,0.118,11.8,
Wooroonooran National Park,Syzygium wilsonii_ssp_cryptophlebium,0.208,14.8,
Wooroonooran National Park,Xanthophyllum octandrum,0.294,31.8,
