trip identifier,Species,Individual,Replicate,Trait,Value,Unit,latitude (deg),longitude (deg),Coordinate uncertainty (m),site_name
NA,Strangea linearis,1,1,wood.density,0.39,g/cm^3,NA,NA,NA,NA
NA,Strangea linearis,2,1,wood.density,0.4,g/cm^3,NA,NA,NA,NA
NA,Strangea linearis,3,1,wood.density,0.59,g/cm^3,NA,NA,NA,NA
NA,Strangea linearis,4,1,wood.density,0.61,g/cm^3,NA,NA,NA,NA
NA,Eucalyptus latisinensis,1,1,wood.density,0.6,g/cm^3,NA,NA,NA,NA
NA,Eucalyptus latisinensis,2,1,wood.density,0.6,g/cm^3,NA,NA,NA,NA
NA,Eucalyptus latisinensis,3,1,wood.density,0.62,g/cm^3,NA,NA,NA,NA
NA,Eucalyptus latisinensis,4,1,wood.density,0.7,g/cm^3,NA,NA,NA,NA
NA,Philotheca queenslandica,1,1,wood.density,0.66,g/cm^3,NA,NA,NA,NA
NA,Philotheca queenslandica,2,1,wood.density,0.66,g/cm^3,NA,NA,NA,NA
NA,Philotheca queenslandica,3,1,wood.density,0.4,g/cm^3,NA,NA,NA,NA
NA,Philotheca queenslandica,4,1,wood.density,0.32,g/cm^3,NA,NA,NA,NA
NA,Philotheca queenslandica,5,1,wood.density,0.34,g/cm^3,NA,NA,NA,NA
NA,Petrophile shirleyae,6,1,wood.density,0.54,g/cm^3,NA,NA,NA,NA
NA,Petrophile shirleyae,7,1,wood.density,0.49,g/cm^3,NA,NA,NA,NA
NA,Petrophile shirleyae,8,1,wood.density,0.47,g/cm^3,NA,NA,NA,NA
NA,Daviesia umbellulata,1,1,wood.density,0.62,g/cm^3,NA,NA,NA,NA
NA,Daviesia umbellulata,2,1,wood.density,0.7,g/cm^3,NA,NA,NA,NA
NA,Daviesia umbellulata,3,1,wood.density,0.56,g/cm^3,NA,NA,NA,NA
NA,Persoonia virgata,6,1,wood.density,0.55,g/cm^3,NA,NA,NA,NA
NA,Persoonia virgata,7,1,wood.density,0.44,g/cm^3,NA,NA,NA,NA
NA,Astrotricha longifolia,1,1,wood.density,0.41,g/cm^3,NA,NA,NA,NA
NA,Astrotricha longifolia,2,1,wood.density,0.43,g/cm^3,NA,NA,NA,NA
NA,Olax retusa,1,1,wood.density,0.57,g/cm^3,NA,NA,NA,NA
NA,Tylophora paniculata,1,1,wood.density,0.26,g/cm^3,NA,NA,NA,NA
NA,Tylophora paniculata,2,1,wood.density,0.54,g/cm^3,NA,NA,NA,NA
NA,Tylophora paniculata,3,1,wood.density,0.38,g/cm^3,NA,NA,NA,NA
NA,Tylophora paniculata,4,1,wood.density,0.36,g/cm^3,NA,NA,NA,NA
NA,Tylophora paniculata,5,1,wood.density,0.27,g/cm^3,NA,NA,NA,NA
NA,Cissus hypoglauca,1,1,wood.density,0.35,g/cm^3,NA,NA,NA,NA
NA,Dioscorea transversa,1,1,wood.density,0.25,g/cm^3,NA,NA,NA,NA
NA,Cissus antarctica,1,1,wood.density,0.51,g/cm^3,NA,NA,NA,NA
NA,Breynia oblongifolia,6,1,wood.density,0.52,g/cm^3,NA,NA,NA,NA
NA,Breynia oblongifolia,7,1,wood.density,0.58,g/cm^3,NA,NA,NA,NA
NA,Melicope hayesii,1,1,wood.density,0.33,g/cm^3,NA,NA,NA,NA
NA,Murraya ovatifoliolata,1,1,wood.density,0.74,g/cm^3,NA,NA,NA,NA
NA,Murraya ovatifoliolata,2,1,wood.density,0.77,g/cm^3,NA,NA,NA,NA
NA,Murraya ovatifoliolata,3,1,wood.density,0.56,g/cm^3,NA,NA,NA,NA
NA,Murraya ovatifoliolata,4,1,wood.density,0.73,g/cm^3,NA,NA,NA,NA
NA,Murraya ovatifoliolata,5,1,wood.density,0.71,g/cm^3,NA,NA,NA,NA
NA,Hakea actites,1,1,wood.density,0.53,g/cm^3,NA,NA,NA,NA
NA,Hakea actites,2,1,wood.density,0.51,g/cm^3,NA,NA,NA,NA
NA,Hakea actites,3,1,wood.density,0.5,g/cm^3,NA,NA,NA,NA
NA,Hakea actites,4,1,wood.density,0.54,g/cm^3,NA,NA,NA,NA
NA,Hakea actites,5,1,wood.density,0.49,g/cm^3,NA,NA,NA,NA
Littabella etc,Podolobium aciculiferum,1,1,wood.density,0.69,g/cm^3,NA,NA,NA,Littabella etc
Littabella etc,Podolobium aciculiferum,2,1,wood.density,0.66,g/cm^3,NA,NA,NA,Littabella etc
Littabella etc,Podolobium aciculiferum,3,1,wood.density,0.69,g/cm^3,NA,NA,NA,Littabella etc
Littabella etc,Podolobium aciculiferum,4,1,wood.density,0.72,g/cm^3,NA,NA,NA,Littabella etc
Littabella etc,Podolobium aciculiferum,5,1,wood.density,0.72,g/cm^3,NA,NA,NA,Littabella etc
NA,Pultenaea sp. Maryborough,1,1,wood.density,0.98,g/cm^3,NA,NA,NA,NA
NA,Pultenaea sp. Maryborough,2,1,wood.density,0.74,g/cm^3,NA,NA,NA,NA
NA,Pultenaea sp. Maryborough,3,1,wood.density,0.67,g/cm^3,NA,NA,NA,NA
NA,Pultenaea sp. Maryborough,4,1,wood.density,0.66,g/cm^3,NA,NA,NA,NA
NA,Pultenaea sp. Maryborough,5,1,wood.density,0.63,g/cm^3,NA,NA,NA,NA
NA,Abutilon grandifolium,1,1,wood.density,0.52,g/cm^3,NA,NA,NA,NA
NA,Abutilon grandifolium,2,1,wood.density,0.56,g/cm^3,NA,NA,NA,NA
NA,Abutilon grandifolium,3,1,wood.density,0.48,g/cm^3,NA,NA,NA,NA
NA,Abutilon grandifolium,4,1,wood.density,0.54,g/cm^3,NA,NA,NA,NA
NA,Abutilon grandifolium,5,1,wood.density,0.35,g/cm^3,NA,NA,NA,NA
NA,Anredera cordifolia,1,1,wood.density,0.18,g/cm^3,NA,NA,NA,NA
NA,Anredera cordifolia,2,1,wood.density,0.22,g/cm^3,NA,NA,NA,NA
