Species,Grows mostly on,PPFD10%_m/m2d,SLA_cm2/g,LAR_cm2/g,RMF,RGRvolume_/d
Cryptocarya rigida,Rhyolite,1.86,115.2,35.9,0.386,0.0095
Callicoma serratifolia,Rhyolite,2.78,194.7,46.4,0.425,0.0102
Elaeocarpus reticulatus,Rhyolite,2.08,102.9,33.4,0.328,0.0077
Schizomeria ovata,Rhyolite,1.6,152.9,68.5,0.376,0.0072
Cryptocarya glaucescens,Rhyolite,1.31,142.9,62.5,0.301,0.0078
Argyrodendron trifoliatum,Basalt,1.28,137.5,71.5,0.244,0.0095
Diploglottis australis,Basalt,1.82,102,41.1,0.375,0.0078
Mallotus phillipensis,Basalt,1.68,215.6,68.5,0.376,0.0128
Castanospermum australe,Basalt,1.42,136.9,37.3,0.316,0.0055
Polyscias elegans,Basalt,2.85,212.2,124.1,0.217,0.0129
Flindersia schottiana,Basalt,2.84,133.2,55.3,0.325,0.0072
