var_name,character,unit
SLA (mg/mm2),specific leaf area,mg/mm2
longevity,longevity,
Height (cm),plant height,cm
Seed Dispersal,dispersal mechanism,
Seed mass (mg),seed mass,mg
Growth form,growth form,
LDMC (mg/g),LDMC,mg/g
LDMC (%),LDMC,%
Leaf area (mm2),leaf area,mm2
