locality,collector,description,latitude (deg),longitude (deg)
Murrayville S Rd,L.J. Pollock,(not from a park),-35.286745,141.337376
Shearer Quarters,L.J. Pollock,Murray-Sunset,-34.563747,141.07074
Boinka FFG,L.J. Pollock,Boinka FFG,-35.197892,141.603043
Crest Top,L.J. Pollock,Murray-Sunset,-34.459908,141.071919
GS,L.J. Pollock,Murray-Sunset,-34.582726,141.754173
M08502,L.J. Pollock,Murray-Sunset,-34.545508,141.497328
M0901,L.J. Pollock,Murray-Sunset,-34.622469,141.49771
M08501,L.J. Pollock,Murray-Sunset,-34.545508,141.497328
Hattah,L.J. Pollock,Hattah-Kulkyne,-34.725953,142.343272
Little Desert N,L.J. Pollock,Little Desert,-36.560832,141.651596
Dodgeshuns Rd,L.J. Pollock,(not from a park),-35.675311,142.403068
Old Growth,L.J. Pollock,Murray-Sunset,-34.634473,141.581899
Mitre Rock,L.J. Pollock,Mount Arapiles,-36.763193,141.818717
Werners Rd,L.J. Pollock,(not from a park),-36.182621,141.448254
No label,L.J. Pollock,Murray-Sunset,-34.601152,141.140784
Hopepatch,L.J. Pollock,(not from a park),-35.506313,142.293744
