taxon,locality,collector,National Park,latitude (deg),longitude (deg)
Eucalyptus calycogona subsp. trachybasis,?,L.J. Pollock,,,
Eucalyptus calycogona subsp. trachybasis,Murrayville S Rd,L.J. Pollock,,,
Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,,,
Eucalyptus dumosa,Boinka FFG,L.J. Pollock,,,
Eucalyptus dumosa,Crest Top,L.J. Pollock,,,
Eucalyptus dumosa,GS,L.J. Pollock,,,
Eucalyptus dumosa,M08502,L.J. Pollock,,,
Eucalyptus dumosa,M0901,L.J. Pollock,,,
Eucalyptus gracilis,M08501,L.J. Pollock,,,
Eucalyptus costata subsp. murrayana,Hattah,L.J. Pollock,,,
Eucalyptus costata subsp. murrayana,Little Desert N,L.J. Pollock,,,
Eucalyptus largiflorens,Dodgeshuns Rd,L.J. Pollock,,,
Eucalyptus leptophylla,Old Growth,L.J. Pollock,,,
Eucalyptus microcarpa,Mitre Rock,L.J. Pollock,,,
Eucalyptus silvestris,Werners Rd,L.J. Pollock,,,
Eucalyptus oleosa subsp. oleosa,No label,L.J. Pollock,,,
Eucalyptus porosa,Hopepatch,L.J. Pollock,,,
Eucalyptus porosa,Unknown,L.J. Pollock,,,
Eucalyptus calycogona,NA,NA,,,
