taxon,height_max_m
Eucalyptus calycogona,5
Eucalyptus cyanophylla,5
Eucalyptus dumosa,10
Eucalyptus gracilis,7
Eucalyptus costata subsp. murrayana,8
Eucalyptus largiflorens,17
Eucalyptus leptophylla,5
Eucalyptus oleosa subsp. oleosa,8
Eucalyptus porosa,12
Eucalyptus socialis subsp. (socialis|viridans),10
Eucalyptus camaldulensis,31
