name_original,LMA (g m2),stomatal length (um),stomatal number per leaf area (mm-2)
Banksia attenuata,231,24.7,216
Banksia elderiana,507,23.9,184
Banksia ilicifolia,159,23.9,190
Banksia prionotes,182,24.5,208
Banksia quercifolia,215,24.9,116
Banksia serrata,134,25.3,179
Banksia candolleana,354,,
Banksia hookeriana,218,,
Banksia repens,471,,
Banksia victoriae,291,,
