var_name,trait_name,unit
growth form,plant_growth_form,NA
leaf longevity,leaf_phenology,NA
Leaf type,leaf_type,NA
C3C4,photosynthetic_pathway,NA
Nfixer,nitrogen_fixing,NA
SLA (cm2/g),specific_leaf_area,cm2/g
Nmass (%),leaf_N_per_dry_mass,%
Narea (g/m2),leaf_N_per_area,g/m2
Amass (nmol/g/s),photosynthetic_rate_per_dry_mass,nmolCO2/g/s
Aarea (micromol/m2/s),photosynthetic_rate_per_area,umolCO2/m2/s
