species,site,seed_mass_mg,seed_N_content_ug_per_mg,seed_P_content_ug_per_mg,seed_K_content_ug_per_mg,seed_Ca_content_ug_per_mg,seed_Mg_content_ug_per_mg,seed_Na_content_ug_per_mg,seed_Mn_content_ug_per_mg,seed_Fe_content_ug_per_mg,seed_Zn_content_ug_per_mg,seed_Cu_content_ug_per_mg
Eucalyptus loxophleba,Watheroo National Park,0.5, 48.00 , 13.80 , 9.80 , 8.00 , 5.80 , 0.500 , 0.140 , 0.150 , 0.130 , 0.030 
Eucalyptus todtiana,Eneabba,10.2, 39.80 , 15.00 , 10.29 , 21.18 , 5.88 , 0.500 , 0.225 , 0.225 , 0.157 , 0.024 
Hakea circumalata,Watheroo National Park,23.2, 65.52 , 13.62 , 8.10 , 7.59 , 0.52 , 0.517 , 0.121 , 0.082 , 0.099 , 0.028 
Hakea psilorrhyncha,Eneabba,67.1, 79.49 , 14.50 , 7.60 , 10.40 , 6.20 , 0.507 , 0.328 , 0.179 , 0.164 , 0.063 
