running #,date_sampled,Site#,S deg,S min,S sec,E deg,E min,E sec,Site Description,Sample#,Genus,species,working title,leaf type,DN#,Field Remarks,# of leafs for LA,LA (cm),dry weight (g),Lab remarks,species_name,latitude (deg),longitude (deg),leaf_area_cm2,physical_defence,leaf_compoundness,Date,Latitude,Longitude,Life-form,Deciduous,habitat,vegetation,soil,surface/groundwater access,fire,N2 fixing,category,Specific Leaf Area (m2 kg-1),Delta vs. PDB-corr. 13/12 C,Delta vs. air-corr 29/28 N,C (g/kg),N (g/kg),P (mg/kg),Rainfall,site_name,Date_to_use,Date_to_use_edited
309,NA,NA,NA,NA,NA,NA,NA,NA,Currency Creek Arboretum,NA,Eucalyptus,horistes,NA,NA,NA,NA,20,69.723,NA,NA,Eucalyptus horistes,NA,NA,3.48615,NA,NA,8/15/2010,-35.42917,138.76278,woody,evergreen,gentle hillslope,woodland,sand-loam over clay,no,unburnt,non-N2 fixing,2,3.473991031,-27.07,1.33,486.943,9.827,NA,NA,Currency Creek Arboretum,8/15/2010,8/15/2010
310,NA,NA,NA,NA,NA,NA,NA,NA,Currency Creek Arboretum,NA,Eucalyptus,leptopoda ssp. subluta,NA,NA,NA,NA,20,101.923,NA,NA,Eucalyptus leptopoda ssp. subluta,NA,NA,5.09615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Currency Creek Arboretum,NA,8/15/2010
311,NA,NA,NA,NA,NA,NA,NA,NA,Currency Creek Arboretum,NA,Eucalyptus,leucophloia ssp. leucophloia,NA,NA,NA,NA,10,175.238,NA,NA,Eucalyptus leucophloia ssp. leucophloia,NA,NA,17.5238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Currency Creek Arboretum,NA,8/15/2010
312,NA,NA,NA,NA,NA,NA,NA,NA,Currency Creek Arboretum,NA,Eucalyptus,limitaris,NA,NA,NA,NA,10,223.608,NA,NA,Eucalyptus limitaris,NA,NA,22.3608,NA,NA,8/15/2010,-35.42917,138.76278,woody,evergreen,gentle hillslope,woodland,sand-loam over clay,no,unburnt,non-N2 fixing,2,3.234601475,-26.65,2.56,467.855,13.425,NA,NA,Currency Creek Arboretum,8/15/2010,8/15/2010
313,NA,NA,NA,NA,NA,NA,NA,NA,Currency Creek Arboretum,NA,Eucalyptus,longicornis,NA,NA,NA,NA,10,95.923,NA,NA,Eucalyptus longicornis,NA,NA,9.5923,NA,NA,8/15/2010,-35.42917,138.76278,woody,evergreen,gentle hillslope,woodland,sand-loam over clay,no,unburnt,non-N2 fixing,2,3.041312619,-27.82,1.1,507.149,12.12,NA,NA,Currency Creek Arboretum,8/15/2010,8/15/2010
314,NA,NA,NA,NA,NA,NA,NA,NA,Currency Creek Arboretum,NA,Eucalyptus,longissima,NA,NA,NA,NA,10,123.828,NA,NA,Eucalyptus longissima,NA,NA,12.3828,NA,NA,8/15/2010,-35.42917,138.76278,woody,evergreen,gentle hillslope,woodland,sand-loam over clay,no,unburnt,non-N2 fixing,2,2.956027692,-28.49,1.59,519.635,8.592,NA,NA,Currency Creek Arboretum,8/15/2010,8/15/2010
315,NA,NA,NA,NA,NA,NA,NA,NA,Currency Creek Arboretum,NA,Eucalyptus,loxophleba ssp. lissophloia,NA,NA,NA,NA,10,98.727,NA,NA,Eucalyptus loxophleba ssp. lissophloia,NA,NA,9.8727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Currency Creek Arboretum,NA,8/15/2010
316,NA,NA,NA,NA,NA,NA,NA,NA,Currency Creek Arboretum,NA,Eucalyptus,moderata,NA,NA,NA,NA,10,122.469,NA,NA,Eucalyptus moderata,NA,NA,12.2469,NA,NA,8/15/2010,-35.42917,138.76278,woody,evergreen,gentle hillslope,woodland,sand-loam over clay,no,unburnt,non-N2 fixing,2,2.644547614,-27.07,4.48,515.608,14.274,NA,NA,Currency Creek Arboretum,8/15/2010,8/15/2010
317,NA,NA,NA,NA,NA,NA,NA,NA,Currency Creek Arboretum,NA,Eucalyptus,myriadena,NA,NA,NA,NA,20,82.768,NA,NA,Eucalyptus myriadena,NA,NA,4.1384,NA,NA,8/15/2010,-35.42917,138.76278,woody,evergreen,gentle hillslope,woodland,sand-loam over clay,no,unburnt,non-N2 fixing,2,3.941333333,-28.11,2.99,500.923,11.341,1690,NA,Currency Creek Arboretum,8/15/2010,8/15/2010
318,NA,NA,NA,NA,NA,NA,NA,NA,Currency Creek Arboretum,NA,Eucalyptus,obtusiflora,NA,NA,NA,NA,10,162.179,NA,NA,Eucalyptus obtusiflora,NA,NA,16.2179,NA,NA,8/15/2010,-35.42917,138.76278,woody,evergreen,gentle hillslope,woodland,sand-loam over clay,no,unburnt,non-N2 fixing,2,3.676694627,-27.64,0.96,476.68,12.391,NA,NA,Currency Creek Arboretum,8/15/2010,8/15/2010
319,NA,NA,NA,NA,NA,NA,NA,NA,Currency Creek Arboretum,NA,Eucalyptus,oldfieldii,NA,NA,NA,NA,10,128.813,NA,NA,Eucalyptus oldfieldii,NA,NA,12.8813,NA,NA,8/15/2010,-35.42917,138.76278,woody,evergreen,gentle hillslope,woodland,sand-loam over clay,no,unburnt,non-N2 fixing,2,2.486257479,-26.55,0.23,515.286,12.029,NA,NA,Currency Creek Arboretum,8/15/2010,8/15/2010
320,NA,NA,NA,NA,NA,NA,NA,NA,Currency Creek Arboretum,NA,Eucalyptus,pruinosa,NA,NA,NA,NA,10,308.613,NA,NA,Eucalyptus pruinosa,NA,NA,30.8613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Currency Creek Arboretum,NA,8/15/2010
321,NA,NA,NA,NA,NA,NA,NA,NA,Currency Creek Arboretum,NA,Eucalyptus,ravida,NA,NA,NA,NA,10,88.13,NA,NA,Eucalyptus ravida,NA,NA,8.813,NA,NA,8/15/2010,-35.42917,138.76278,woody,evergreen,gentle hillslope,woodland,sand-loam over clay,no,unburnt,non-N2 fixing,2,3.429182879,-28.73,2.25,512.186,12.937,NA,NA,Currency Creek Arboretum,8/15/2010,8/15/2010
322,NA,NA,NA,NA,NA,NA,NA,NA,Currency Creek Arboretum,NA,Eucalyptus,rigidula,NA,NA,NA,NA,10,63.439,NA,NA,Eucalyptus rigidula,NA,NA,6.3439,NA,NA,8/15/2010,-35.42917,138.76278,woody,evergreen,gentle hillslope,woodland,sand-loam over clay,no,unburnt,non-N2 fixing,2,2.189061422,-29.84,2.52,510.943,9.207,NA,NA,Currency Creek Arboretum,8/15/2010,8/15/2010
323,NA,NA,NA,NA,NA,NA,NA,NA,Currency Creek Arboretum,NA,Eucalyptus,salmonophloia,NA,NA,NA,NA,10,147.928,NA,NA,Eucalyptus salmonophloia,NA,NA,14.7928,NA,NA,8/15/2010,-35.42917,138.76278,woody,evergreen,gentle hillslope,woodland,sand-loam over clay,no,unburnt,non-N2 fixing,2,3.341495369,-28.8,2.44,498.185,11.475,NA,NA,Currency Creek Arboretum,8/15/2010,8/15/2010
