Event ID,Accession Number,Scientific Name,Dataset Title,Locality,Decimal Latitude,Decimal Longitude,Seed/gm,Quantity (count),Quantity (g),Thousand Seed Weight,Storage Relative Humidity,Purity,Storage Temperature,Collection Date,Storage Date,Storage Seed Bank,Collector,Pre-Storage Treatment/History,Plant Form,Form in Storage,Cultivated,Duplicates / Replicates,Permit Number,Collection Fill Rate / X-Ray,Publication DOI,Date Tested,Test Length,Number Germinated,Number Full,Number Empty,Number Not Viable,Number Tested,Germination Rate,Adjusted Germination,Viability,Pre-test Processing Notes,Treatment Media/Substrate,Treatment Day Temp,Treatment Night Temp,Treatment Light Hours,Treatment Dark Hours,Treatment Pretreatment,location_name
019393-a,019393-a,Paraserianthes lophantha subsp. lophantha,Tasmanian Seed Conservation Centre,Rodondo Island. Eastern slope of island.,-39.228778,146.389222,,761,,120.1444,,,-20,1/12/2015,6/24/2016,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.228778_lat_and_146.389222_long
019404-a,019404-a,Melaleuca armillaris subsp. armillaris,Tasmanian Seed Conservation Centre,Rodondo Island. Eastern slope of island.,-39.228778,146.389222,,27569,,0.072,,,-20,1/12/2015,6/24/2016,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.228778_lat_and_146.389222_long
019393-a-trial,019393-a,Paraserianthes lophantha subsp. lophantha,Tasmanian Seed Conservation Centre,Rodondo Island. Eastern slope of island.,-39.228778,146.389222,,,,,,,,1/12/2015,6/24/2016,,,,,,,,,,,6/24/2016,,,,,,10,,100,,,,,,,,,seeds_collected_at_-39.228778_lat_and_146.389222_long
019404-a-trial,019404-a,Melaleuca armillaris subsp. armillaris,Tasmanian Seed Conservation Centre,Rodondo Island. Eastern slope of island.,-39.228778,146.389222,,,,,,,,1/12/2015,6/24/2016,,,,,,,,,,,6/24/2016,,,,,,50,,93,,,,,,,,,seeds_collected_at_-39.228778_lat_and_146.389222_long
015433-a,015433-a,Lepidium foliosum,Tasmanian Seed Conservation Centre,King Island. Rocky Point. Bird rookery.,-39.598361,144.002528,,5509,,0.77,,,-20,12/17/2011,,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.598361_lat_and_144.002528_long_2
015444-a,015444-a,Solanum opacum,Tasmanian Seed Conservation Centre,King Island. Lavinia Nature Reserve. Nook Swamp.,-39.598361,144.002528,,598,,0.61,,,-20,12/13/2011,,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.598361_lat_and_144.002528_long
015433-a-trial,015433-a,Lepidium foliosum,Tasmanian Seed Conservation Centre,King Island. Rocky Point. Bird rookery.,-39.598361,144.002528,,,,,,,,12/17/2011,,,,,,,,,,,,,,,,,,20,,100,,,,,,,,,seeds_collected_at_-39.598361_lat_and_144.002528_long_2
015444-a-trial,015444-a,Solanum opacum,Tasmanian Seed Conservation Centre,King Island. Lavinia Nature Reserve. Nook Swamp.,-39.598361,144.002528,,,,,,,,12/13/2011,,,,,,,,,,,,,,,,,,10,,100,,,,,,,,,seeds_collected_at_-39.598361_lat_and_144.002528_long
015378-a,015378-a,Stylidium despectum,Tasmanian Seed Conservation Centre,King Island. Granite Lagoon.,-39.634111,144.048944,,13463,,0.006,,,-20,12/14/2011,,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.634111_lat_and_144.048944_long
015378-a-trial,015378-a,Stylidium despectum,Tasmanian Seed Conservation Centre,King Island. Granite Lagoon.,-39.634111,144.048944,,,,,,,,12/14/2011,,,,,,,,,,,,,,,,,,50,,88,,,,,,,,,seeds_collected_at_-39.634111_lat_and_144.048944_long
015389-a,015389-a,Elaeocarpus reticulatus,Tasmanian Seed Conservation Centre,King Island. Scrub west of Granite Lagoon.,-39.634306,144.044833,,1811,,73.5373333,,,-20,12/14/2011,6/22/2012,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.634306_lat_and_144.044833_long
014289-a,014289-a,Pimelea serpyllifolia subsp. serpyllifolia,Tasmanian Seed Conservation Centre,Inner Sister Island. Small gully above west end on North Beach.,-39.69075,147.903222,,1208,,2.8556,,,-20,,,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.69075_lat_and_147.903222_long
