Species code ,Species name ,Location_written,Latitude,Longitude,PFT_Gosper2012,Veg_type,Time_from_fire_to_fGrounder,Fire_response,Serotiny,Soil_seedbank,Comeditive_stratum,Lifespan,location
ACAALA ,Acacia alata ,"Tutanning Nature Reserve, Western Australia",lo,117.3348,NNshrub ,K ,18,Killed,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan"
ACACEL ,Acacia celastrifolia ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNshrub ,KW ,90,Killed,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
ACALAS ,Acacia lasiocarpa var. sedifolia ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNshrub ,KW ,18,Killed,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
ACAPUL ,Acacia pulchella ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNshrub ,KW ,66,Killed,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
ACASTE ,Acacia stenoptera ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNshrub ,KW ,30,Killed,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
ALLCAM ,Allocasuarina campestris ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NSshrub ,KW ,90,Killed,Yes,No,Mid,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
ALLHUE ,Allocasuarina huegeliana ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NStree ,KW ,126,Killed,Yes,No,Upper,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
ALLHUM ,Allocasuarina humilis ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RSshrub ,K ,66,Resprout,Yes,No,Mid,Long,"Tutanning Nature Reserve, Kwongan"
AMPSTR ,Amphipogon strictus ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,KW ,6,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
AMPTUR ,Amphipogon turbinatus ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,KW ,18,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
ANIHUM ,Anigozanthos humilis subsp. humilis ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,K ,6,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan"
ASTEPA ,Astroloma epacridis ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNshrub ,KW ,66,Resprout,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
ASTPAL ,Astroloma pallidum ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNshrub ,KW ,90,Resprout,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
ASTSER ,Astroloma serratifolium ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNshrub ,W ,54,Resprout,No,Yes,Mid,Long,"Tutanning Nature Reserve, wandoo and she-oak woodland"
AUSELE ,Austrostipa elegantissima ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,KW ,6,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
AUSHEM ,Austrostipa hemipogon ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Ephem ,KW ,66,,No,Yes,Ground,Short,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
AUSMAC ,Austrostipa macalpinei ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Ephem ,KW ,6,,No,Yes,Ground,Short,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
AUSTRI ,Austrostipa trichophylla ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Ephem ,KW ,6,,No,Yes,Ground,Short,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
AUSVAR ,Austrostipa variabilis ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Ephem ,KW ,6,,No,Yes,Ground,Short,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
BAECRI ,Baeckea crispiflora ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNshrub ,K ,54,Resprout,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan"
BAEPRE ,Baeckea preissiana ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNshrub ,K ,30,Resprout,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan"
BANARM ,Banksia armata ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NSshrub ,KW ,54,Killed,Yes,No,Mid,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
BANSPH ,Banksia sphaerocarpa var. caesia ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RSshrub ,K ,42,Resprout,Yes,No,Mid,Long,"Tutanning Nature Reserve, Kwongan"
BANVES ,Banksia vestita ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RSshrub ,K ,18,Resprout,Yes,No,Mid,Long,"Tutanning Nature Reserve, Kwongan"
BEABRA ,Beaufortia bracteosa ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NSshrub ,K ,54,Killed,Yes,No,Mid,Long,"Tutanning Nature Reserve, Kwongan"
BEAINC ,Beaufortia incana ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NSshrub ,K ,30,Killed,Yes,No,Mid,Long,"Tutanning Nature Reserve, Kwongan"
BEAMIC ,Beaufortia micrantha ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NSshrub ,K ,42,Killed,Yes,No,Mid,Long,"Tutanning Nature Reserve, Kwongan"
BORRAMAN ,Boronia ramosa subsp. anethifolia ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNshrub ,KW ,18,Resprout,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
BORSPH ,Borya sphaerocephala ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,KW ,6,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
BOSERI ,Bossiaea eriocarpa ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNshrub ,W ,66,Killed,No,Yes,Mid,Long,"Tutanning Nature Reserve, wandoo and she-oak woodland"
CAEMIC ,Caesia micrantha ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Geo ,KW ,6,Geophyte,No,,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
CALFAL ,Caladenia falcata ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Geo ,KW ,6,Geophyte,No,,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
CALFLAF ,Caladenia flava subsp. flava ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Geo ,KW ,6,Geophyte,No,,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
CALHIR ,Caladenia hirta ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Geo ,W ,66,Geophyte,No,,Ground,Long,"Tutanning Nature Reserve, wandoo and she-oak woodland"
CALINT ,Caladenia integra ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Geo ,KW ,18,Geophyte,No,,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
CALREP ,Caladenia reptans subsp. reptans ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Geo ,KW ,6,Geophyte,No,,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
CALROE ,Caladenia roei ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Geo ,KW ,6,Geophyte,No,,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
CALSTR ,Calochilus stramenicola ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Geo ,K ,18,Geophyte,No,,Ground,Long,"Tutanning Nature Reserve, Kwongan"
CALPRE ,Calothamnus preissii ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RSshrub ,W ,54,Resprout,Yes,No,Mid,Long,"Tutanning Nature Reserve, wandoo and she-oak woodland"
CALANG ,Calytrix angulata ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNshrub ,K ,42,Killed,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan"
CALLES ,Calytrix leschenaultii ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNshrub ,KW ,18,Killed,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
