Species,taxon_name
ACDE,Acacia dealbata
ACME,Acacia melanoxylon
ATMO,Atherosperma moschatum
EUDE,Eucalyptus delegatensis
EUOB,Eucalyptus obliqua
EURE,Eucalyptus regnans
EULU,Eucryphia lucida
LELA,Leptospermum lanigerum
MOGL,Monotoca glauca
NESQ,Nematolepis squamea
NOCU,Nothofagus cunninghamii
OLAR,Olearia argophylla
PHAS,Phyllocladus aspleniifolius
PIBI,Pittosporum bicolor
POAP,Pomaderris apetala
