Site,Location name,latitude (deg),longitude (deg),description,site code,"site code, alternate","temperature, MAT (C)","precipitation, MAP (mm)",elevation (m),Elevated fuel layer pre-fire ,Stand establishment fire year,"crown height, max (m)","DBH, mean - eucalypts (cm)","DBH, mean - understorey (cm) ",fire dates,McArthur Forest Fire Danger Index,"fire char height, mean (m)",fire severity (remotely sensed dNBR),"fire scorch, mean - eucalypt (%)","fire scorch, mean - understory (%)",fire survival - eucalypt (%),fire survival - understory (%)
AR,Arve,-43.1028,146.7472,Rainforest with E. obliqua as the dominant eucalypt,Ausplot ID:TCFTSR005,AR,10.2,1381,284,Shrubs (saplings),1898,66,54,14,21 &22 Jan 2019,4--17,2.7,Low-Moderate,65,93,69,3
BT,Bird Track,-43.0891,146.6435,Rainforest with E. obliqua as the dominant eucalypt,Ausplot ID:TCFTSR001,BT,10.3,1466,212,"Tree ferns (shrubs, saplings)",1934,59,63,19,22 &23 Jan 2019,3--13,1.8,Undamaged canopy,42,98,83,6
Mac,Mackenzie,-41.6299,146.2583,Rainforest (Wet Sclerophyll) with E. delegatensis as the dominant eucalypt,Ausplot ID:TCFTNS003,Mac,7.5,1723,790,Shrubs (tree ferns),Unknown,51,44,23,24-Jan-16,10,2,Low,NA,NA,60,40
Wa,Warra,-43.0959,146.6534,Rainforest with E. obliqua as the dominant eucalypt,Ausplot ID:TCFTSR002,Wa,11.2,1364,111,Tree ferns (shrubs),1898,>60,68,24,28-Jan-19,4--14,3.6,Undamaged canopy,19,82,88,14
Wd,Weld,-43.0411,146.7435,Wet Sclerophyll (Rainforest) with E. regnans as the dominant eucalypt,Ausplot ID:TCTFSR004,Wd,11,1228,87,Tree ferns (shrubs),1934,>60,52,30,26 &27 Jan 2019,3--13,1.6,Low,10,47,91,54
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
