Site,locality,site type,latitude (deg),longitude (deg)
site_01,Goobang NP,TERN,-32.8818,148.4047
site_02,Goobang NP,TERN,-32.8818,148.4047
site_03,Goobang NP,roadside,-32.8818,148.4047
site_04,Goobang NP,roadside,-32.8818,148.4047
site_05,Goobang NP,roadside,-32.8818,148.4047
site_06,Goobang NP,roadside,-32.8818,148.4047
site_07,Warrumbungle NP,roadside,-31.2811,149.0135
site_08,Warrumbungle NP,roadside,-31.2811,149.0135
site_09,Warrumbungle NP,TERN,-31.2811,149.0135
site_10,Warrumbungle NP,TERN,-31.2811,149.0135
site_11,Pilliga,roadside,-30.3518,148.8886
site_12,Pilliga,roadside,-30.3518,148.8886
site_13,Pilliga,TERN,-30.3518,148.8886
site_14,Pilliga,roadside,-30.3518,148.8886
site_15,Mount Kaputar NP,TERN,-30.277,150.1636
site_16,Mount Kaputar NP,roadside,-30.277,150.1636
site_17,Mount Kaputar NP,roadside,-30.277,150.1636
site_18,Mount Kaputar NP,roadside,-30.277,150.1636
site_19,Mount Kaputar NP,roadside,-30.277,150.1636
site_20,Mount Kaputar NP,roadside,-30.277,150.1636
site_21,Mount Kaputar NP,roadside,-30.277,150.1636
