current full name without authority,Endemicity_level,Growth Form,Growth Form_1,Growth Form_2,Raunkier_life_form,Height_max (m),Clonality,Photosynthetic pathway,MIN length Leaf (mm),MAX length Leaf (mm),MIN width Leaf (mm),MAX width Leaf (mm),Leaf_type,Laminar Unit Area (mm2),1_Nutrient_uptake_strategy,1_Dispersal_mode,Fruit_type,Fruit_functional_type,Min_length_fruit(mm),Max_length_fruit(mm),Min_breadth_fruit(mm),Max_breadth_fruit(mm),Seed_mass (g),1_Pollination_syndrome,Sex habit,References,regen_strategy
Aristida burraensis,Queensland,Tussock,NA,NA,Hemicryophyte,0.8,not_vegetative,C4,70,140,1,1,simple,63,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC/NCA 2006,NA
Aristida calycina,Australia,Tussock,NA,NA,Hemicryophyte,1.28,not_vegetative,C4,200,250,1,4,simple,337.5,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,3,5,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Aristida calycina var. calycina,Australia,Tussock,NA,NA,Hemicryophyte,1.28,not_vegetative,C4,200,250,1,4,simple,337.5,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,3,5,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Aristida calycina var. praealta,Australia,Tussock,NA,NA,Hemicryophyte,1.28,not_vegetative,C4,200,250,1,4,simple,337.5,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,3,5,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Aristida caput-medusae,Australia,Tussock,NA,NA,Hemicryophyte,0.85,not_vegetative,C4,20,40,0.5,1,simple,13.5,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,4,6.1,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Aristida contorta,Australia,Tussock,NA,NA,Therophyte Hemicryophyte,0.44,not_vegetative,C4,30,100,1,1,simple,39,arbuscular mycorrhiza,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,3,4.5,NA,NA,0.002926,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC/Wang & Qiu 2006,NA
Aristida dominii,Australia,Tussock,NA,NA,Therophyte,0.5,not_vegetative,C4,80,160,0.5,0.5,simple,36,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,4.5,5.5,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Aristida exserta,Australia,Tussock,NA,NA,Hemicryophyte,0.75,not_vegetative,C4,40,80,0.5,0.5,simple,18,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,5,6,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Aristida gracilipes,Australia,Tussock,NA,NA,Hemicryophyte,1.15,not_vegetative,C4,40,80,0.5,0.5,simple,18,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,6,8,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Aristida granitica,Queensland,Tussock,NA,NA,Hemicryophyte,0.75,not_vegetative,C4,100,210,1.5,1.5,simple,139.5,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992/NCA 2006/EPBC 1999,NA
Aristida helicophylla,Queensland,Tussock,NA,NA,Hemicryophyte,1.5,not_vegetative,C4,100,210,2,3,simple,232.5,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,3,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Aristida holathera,Cosmopolitan,Tussock,NA,NA,Therophyte Hemicryophyte,1.28,not_vegetative,C4,100,250,2,4,simple,315,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,4.8,7.9,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Aristida holathera var. holathera,Cosmopolitan,Tussock,NA,NA,Therophyte Hemicryophyte,1.28,not_vegetative,C4,100,250,1.5,1.5,simple,157.5,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,4.8,7.9,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992,NA
