current full name without authority,Endemicity_level,Growth Form,Growth Form_1,Growth Form_2,Raunkier_life_form,Height_max (m),Clonality,Photosynthetic pathway,MIN length Leaf (mm),MAX length Leaf (mm),MIN width Leaf (mm),MAX width Leaf (mm),Leaf_type,Laminar Unit Area (mm2),1_Nutrient_uptake_strategy,1_Dispersal_mode,Fruit_type,Fruit_functional_type,Min_length_fruit(mm),Max_length_fruit(mm),Min_breadth_fruit(mm),Max_breadth_fruit(mm),Seed_mass (g),1_Pollination_syndrome,Sex habit,References,regen_strategy
Dichanthium queenslandicum,Queensland,Tussock,NA,NA,Hemicryophyte,0.8,not_vegetative,NA,90,180,3,5,simple,324,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,andromonoecious,AusGrass/GrassBase/Flora of NSW 1993/NCA 2006/EPBC 1999,NA
Dichanthium sericeum,Cosmopolitan,Tussock,NA,NA,Therophyte Hemicryophyte,1.2,not_vegetative,NA,80,150,2,4,simple,207,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,0.001384,Wind,andromonoecious,APNI/AusGrass/GrassBase/ePIC/Flora of NSW 1993,NA
Dichanthium sericeum subsp. sericeum,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,1.2,not_vegetative,NA,80,150,2,4,simple,207,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,andromonoecious,AusGrass/GrassBase/Flora of NSW 1993,NA
Dichanthium sericeum subsp. humilius,Cosmopolitan,Tussock,NA,NA,Therophyte,1.2,not_vegetative,NA,80,150,2,4,simple,207,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,andromonoecious,AusGrass/GrassBase/Flora of NSW 1993,NA
Dichanthium sericeum subsp. polystachyum,Cosmopolitan,Tussock,NA,NA,Therophyte,1.2,not_vegetative,NA,80,150,2,4,simple,207,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,andromonoecious,AusGrass/GrassBase/Flora of NSW 1993,NA
Dichanthium setosum,Australia,Tussock,NA,NA,Hemicryophyte,0.7,not_vegetative,NA,70,150,2,3.5,simple,181.5,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,3,NA,NA,NA,Wind,andromonoecious,AusGrass/GrassBase/Flora of NSW 1993/NCA 2006/EPBC 1999,NA
Dichanthium tenue,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,0.7,not_vegetative,NA,70,150,2,3.5,simple,181.5,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,2.5,NA,NA,NA,Wind,andromonoecious,AusGrass/GrassBase/Flora of NSW 1993,NA
Dichelachne micrantha,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,1.2,not_vegetative,C3,70,230,2,5,simple,315,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,2.25,4.45,NA,NA,1.18e-4,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC,NA
Dichelachne sp. (Brisbane B.K.Simon 3221),NA,NA,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Digitaria ammophila,Australia,Tussock,NA,NA,Hemicryophyte,0.6,not_vegetative,NA,10,200,3,7.5,simple,330.75,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Flora of NSW 1993,NA
Digitaria baileyi,Cosmopolitan,Tussock,NA,NA,Therophyte Hemicryophyte,0.9,not_vegetative,NA,30,140,2,5,simple,178.5,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Flora of NSW 1993,NA
Digitaria bicornis,Cosmopolitan,Tussock,NA,NA,Therophyte,0.8,not_vegetative,NA,10,195,2,10,simple,369,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,2,2.5,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Flora of NSW 1993,NA
Digitaria blakei,Queensland,Tussock,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,AusGrass/Flora of NSW 1993,NA
Digitaria breviglumis,Australia,Tussock,NA,NA,Hemicryophyte,0.7,not_vegetative,NA,30,150,1,4,simple,135,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Flora of NSW 1993,NA
Digitaria brownii,Australia,Tussock,NA,NA,Hemicryophyte,1,vegetative,NA,30,120,0.5,7,simple,168.75,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,7.71e-4,Wind,hermaphrodite,APNI/AusGrass/GrassBase/ePIC/Flora of NSW 1993,Clonal below ground
Digitaria ciliaris,Cosmopolitan,Tussock,NA,NA,Therophyte,1,not_vegetative,C4,20,250,3,10,simple,526.5,arbuscular mycorrhiza,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Edwards & Still 2008/Wang & Qiu 2006/Flora of NSW 1993,NA
Digitaria coenicola,Australia,Tussock,NA,NA,Hemicryophyte,0.7,not_vegetative,NA,20,150,2,6,simple,204,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,0.001085,Wind,hermaphrodite,APNI/AusGrass/GrassBase/ePIC/Flora of NSW 1993,NA
Digitaria ctenantha,Australia,Tussock,NA,NA,Therophyte,0.6,not_vegetative,NA,19,110,2,5,simple,135.45,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Flora of NSW 1993,NA
Digitaria didactyla,Cosmopolitan,Tussock,Short Basal,NA,Hemicryophyte,0.6,vegetative,NA,19,100,1,6,simple,124.95,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,1.95e-4,Wind,hermaphrodite,AusGrass/GrassBase/ePIC/APNI/Flora of NSW 1993,Clonal below ground Clonal above ground
Digitaria diffusa,Australia,Tussock,NA,NA,Hemicryophyte,0.4,vegetative,NA,10,80,0.75,5,simple,77.625,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/ePIC/Flora of NSW 1993,Clonal below ground
Digitaria divaricatissima,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,0.6,not_vegetative,NA,40,220,2.5,7,simple,370.5,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Flora of NSW 1993,NA
Digitaria eriantha cv. Pangola,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,1.2,vegetative,C4,50,200,2,7,simple,337.5,arbuscular mycorrhiza,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Edwards & Still 2008/Wang & Qiu 2006/Flora of NSW 1993,Clonal above ground
Digitaria gibbosa,Australia,Tussock,NA,NA,Therophyte,0.4,not_vegetative,NA,25,150,1,4,simple,131.25,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Flora of NSW 1993,NA
Digitaria hystrichoides,Australia,Tussock,NA,NA,Hemicryophyte,0.6,not_vegetative,NA,30,180,3,8,simple,346.5,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Flora of NSW 1993,NA
Digitaria imbricata,Queensland,Tussock,NA,NA,Hemicryophyte,0.6,vegetative,NA,20,75,2.4,3.1,simple,78.375,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Flora of NSW 1993,Clonal below ground
Digitaria leucostachya,Australia,Tussock,NA,NA,Hemicryophyte,1,not_vegetative,NA,50,250,2,8,simple,450,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Flora of NSW 1993,NA
Digitaria longiflora,Cosmopolitan,Tussock,Short Basal,NA,Therophyte Hemicryophyte,0.6,vegetative,NA,25,130,1,5,simple,139.5,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Flora of NSW 1993,Clonal above ground
Digitaria milanjiana cv. Jarra,Gondwanan,Tussock,NA,NA,Hemicryophyte,2.5,vegetative,NA,150,300,3,13,simple,1080,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,GrassBase/Flora of NSW 1993,Clonal below ground Clonal above ground
Digitaria minima,Queensland,Tussock,NA,NA,Hemicryophyte,0.6,vegetative,NA,5,57,1,2,simple,27.9,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,1.58e-4,Wind,hermaphrodite,AusGrass/GrassBase/ePIC/Flora of NSW 1993,Clonal below ground
Digitaria nematostachya,Australia,Tussock,NA,NA,Hemicryophyte,0.55,vegetative,NA,60,250,3.5,7,simple,488.25,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Flora of NSW 1993,Clonal below ground
Digitaria orbata,Australia,Tussock,NA,NA,Hemicryophyte,1.2,not_vegetative,NA,60,300,1.8,7.5,simple,502.2,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Flora of NSW 1993,NA
Digitaria papposa,Australia,Tussock,NA,NA,Hemicryophyte,0.7,vegetative,NA,90,270,3,8,simple,594,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Flora of NSW 1993,Clonal below ground
Digitaria parviflora,Australia,Tussock,NA,NA,Hemicryophyte,0.9,vegetative,NA,30,350,3,8,simple,627,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Flora of NSW 1993,Clonal below ground
Digitaria radicosa,Cosmopolitan,Tussock,NA,NA,Therophyte,0.6,not_vegetative,NA,20,100,2,5,simple,126,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Flora of NSW 1993,NA
Digitaria ramularis,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,0.9,not_vegetative,NA,50,250,1.1,5.5,simple,297,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,1.73e-4,Wind,hermaphrodite,APNI/AusGrass/GrassBase/ePIC/Flora of NSW 1993,NA
Digitaria setigera,Cosmopolitan,Tussock,NA,NA,Therophyte,0.8,not_vegetative,NA,30,250,3,13,simple,672,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Flora of NSW 1993,NA
Digitaria sp. (Mt Mulligan J.R.Clarkson 5821),NA,NA,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,No obvious special uptake strategy,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,NA
Digitaria tonsa,Australia,Tussock,NA,NA,Hemicryophyte,0.6,vegetative,NA,80,220,3.5,6.2,simple,436.5,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Flora of NSW 1993,Clonal below ground
Digitaria violascens,Cosmopolitan,Tussock,Short Basal,NA,Therophyte,0.6,not_vegetative,C4,30,250,2,7,simple,378,arbuscular mycorrhiza,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,1,1.2,NA,NA,4.1e-4,Wind,hermaphrodite,GrassBase/AusGrass/PIER/Edwards & Still 2008/Wang & Qiu 2006/ePIC/APNI/Flora of NSW 1993,NA
Dimeria acinaciformis,Australia,Tussock,NA,NA,Therophyte,0.4,not_vegetative,C4,10,40,1,2,simple,22.5,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Dimeria chloridiformis,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,1,not_vegetative,C4,80,250,2,6,simple,396,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Dimeria ornithopoda,Cosmopolitan,Tussock,NA,NA,Therophyte,0.5,not_vegetative,C4,5,70,0.5,3,simple,39.375,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Dimeria sp. (Mosquito Point J.R.Clarkson+ 9994),NA,NA,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinochloa colona,Cosmopolitan,Tussock,NA,NA,Therophyte,1,vegetative,C4,30,300,2,8,simple,495,No obvious special uptake strategy,Wind,NA,NA,1.7,2,NA,NA,0.001,Wind,hermaphrodite,AusGrass/GrassBase/PIER/ePIC/APNI/Watson & Dallwitz 1992,Clonal above ground
Echinochloa crus-galli,Cosmopolitan,Tussock,NA,NA,Therophyte,1.5,not_vegetative,C4,5,350,6,20,simple,1384.5,arbuscular mycorrhiza,Wind Water,caryopsis,Dry dehiscent or indehsicent without attractant or wing,1.4,2,1.2,1.6,NA,Wind,hermaphrodite,AusGrass/GrassBase/PIER/Edwards & Still 2008/Wang & Qiu 2006/APNI/Watson & Dallwitz 1992,NA
Echinochloa dietrichiana,Australia,Tussock,NA,NA,Therophyte,2,not_vegetative,C4,200,300,10,10,simple,1500,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,AusGrass/Watson & Dallwitz 1992,NA
Echinochloa elliptica,Australia,Tussock,NA,NA,Therophyte,1.5,not_vegetative,C4,70,500,5,15,simple,1710,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,1.9,2.3,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Echinochloa frumentacea,Cosmopolitan,Tussock,NA,NA,Therophyte,1.5,not_vegetative,C4,80,350,5,22,simple,1741.5,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Echinochloa inundata,Australia,Tussock,NA,NA,Therophyte,1.5,not_vegetative,C4,100,400,6,15,simple,1575,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,1.8,2.2,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Echinochloa kimberleyensis,Australia,Tussock,NA,NA,Therophyte,2,not_vegetative,C4,150,420,4,15,simple,1624.5,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,2.75,3.5,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Echinochloa oryzoides,Cosmopolitan,Tussock,NA,NA,Therophyte,1.5,not_vegetative,C4,70,350,4,12,simple,1008,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Echinochloa polystachya cv. Amity,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,3,not_vegetative,C4,250,500,20,35,simple,6187.5,No obvious special uptake strategy,Water,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992/PIER,NA
Echinochloa telmatophila,Gondwanan,Tussock,NA,NA,Therophyte,1.8,not_vegetative,C4,100,350,7,18,simple,1687.5,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,1.8,2.3,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Echinochloa turneriana,Australia,Tussock,NA,NA,Therophyte,1.3,not_vegetative,C4,50,300,4,15,simple,997.5,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Echinopogon nutans var. nutans,Australia,Tussock,NA,NA,Hemicryophyte,1.2,not_vegetative,C3,20,170,2,8,simple,285,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,3,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Echinopogon ovatus var. ovatus,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,NA,not_vegetative,C3,NA,NA,NA,NA,simple,NA,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC,NA
Ectrosia agrostoides,Cosmopolitan,Tussock,NA,NA,Therophyte,0.4,not_vegetative,NA,10,90,0.2,2,simple,33,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,0.6,NA,NA,NA,Wind,andromonoecious,AusGrass/GrassBase,NA
Ectrosia anomala,Queensland,Tussock,NA,NA,Therophyte,0.6,not_vegetative,NA,30,100,0.7,3,simple,72.15,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,1,NA,NA,NA,Wind,andromonoecious,AusGrass/GrassBase,NA
Ectrosia appressa,Australia,Tussock,NA,NA,Therophyte,0.5,not_vegetative,NA,70,130,2,4,simple,180,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,1.4,NA,NA,NA,Wind,andromonoecious,GrassBase,NA
Ectrosia blakei,Australia,Tussock,NA,NA,Therophyte,0.45,not_vegetative,NA,50,100,1,2.5,simple,78.75,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,1.5,2,NA,NA,NA,Wind,andromonoecious,AusGrass/GrassBase/NCA 2006/EPBC 1999,NA
Ectrosia confusa,Australia,Tussock,NA,NA,Therophyte,0.31,not_vegetative,NA,40,80,0.6,2,simple,46.8,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,1,NA,NA,NA,Wind,andromonoecious,AusGrass/GrassBase,NA
Ectrosia danesii,Australia,Tussock,NA,NA,Therophyte,0.4,not_vegetative,NA,40,85,1.5,4,simple,103.125,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,1,1.5,NA,NA,NA,Wind,andromonoecious,AusGrass/GrassBase,NA
Ectrosia gulliveri,Queensland,Tussock,NA,NA,Therophyte,0.55,not_vegetative,NA,50,120,0.7,4,simple,119.85,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,1,NA,NA,NA,Wind,andromonoecious,AusGrass/GrassBase,NA
Ectrosia lasioclada,Cosmopolitan,Tussock,NA,NA,Therophyte Hemicryophyte,0.9,not_vegetative,NA,100,300,1,3.1,simple,246,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,andromonoecious,APNI/AusGrass,NA
Ectrosia laxa,Australia,Tussock,NA,NA,Therophyte,0.6,not_vegetative,NA,70,150,0.8,2.8,simple,118.8,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,1.1,1.7,NA,NA,NA,Wind,andromonoecious,AusGrass/GrassBase,NA
Ectrosia leporina,Cosmopolitan,Tussock,NA,NA,Therophyte Hemicryophyte,0.9,not_vegetative,NA,50,120,1,4,simple,127.5,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,andromonoecious,AusGrass/GrassBase,NA
Ectrosia nervilemma,Australia,Tussock,NA,NA,Therophyte,0.4,not_vegetative,NA,20,100,1,4,simple,90,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,andromonoecious,AusGrass/GrassBase,NA
Ectrosia ovata,Australia,Tussock,NA,NA,Therophyte,0.8,not_vegetative,NA,NA,NA,0.8,4,simple,NA,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,0.7,1,NA,NA,NA,Wind,andromonoecious,APNI/GrassBase/AusGrass,NA
Ectrosia scabrida,Australia,Tussock,NA,NA,Therophyte,0.4,not_vegetative,NA,60,120,0.7,3,simple,99.9,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,1,1.8,NA,NA,NA,Wind,andromonoecious,AusGrass/GrassBase,NA
Ectrosia schultzii,Australia,Tussock,NA,NA,Therophyte Hemicryophyte,0.6,not_vegetative,NA,100,230,2,4.5,simple,321.75,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,1,NA,NA,NA,Wind,andromonoecious,AusGrass/GrassBase,NA
Ectrosia schultzii var. schultzii,Australia,Tussock,NA,NA,Hemicryophyte,0.6,not_vegetative,NA,100,230,2,4.5,simple,321.75,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,1,NA,NA,NA,Wind,andromonoecious,AusGrass/GrassBase,NA
Ectrosia schultzii var. annua,Australia,Tussock,NA,NA,Therophyte,0.6,not_vegetative,NA,100,230,2,4.5,simple,321.75,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,1,NA,NA,NA,Wind,andromonoecious,AusGrass/GrassBase,NA
Eleusine indica,Cosmopolitan,Tussock,NA,NA,Therophyte Hemicryophyte,1,not_vegetative,C4,50,400,2.5,8,simple,708.75,arbuscular mycorrhiza,Water,caryopsis,Dry dehiscent or indehsicent without attractant or wing,1,1.3,NA,NA,3.2e-4,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC/Wang & Qiu 2006,NA
Elionurus citreus,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,1,not_vegetative,C4,200,400,2,5,simple,630,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,andromonoecious,AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Elytrophorus spicatus,Cosmopolitan,Tussock,NA,NA,Therophyte,0.6,not_vegetative,C3,50,250,2,6,simple,360,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Enneapogon avenaceus,Australia,Tussock,NA,NA,Therophyte Hemicryophyte,0.45,not_vegetative,C4,NA,NA,1,3,simple,NA,arbuscular mycorrhiza,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,1,1.6,NA,NA,0.0011,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC/Wang & Qiu 2006,NA
Enneapogon cylindricus,Australia,Tussock,NA,NA,Hemicryophyte,0.51,not_vegetative,C4,NA,NA,1,2,simple,NA,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,1.4,2,NA,NA,4.91e-4,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC,NA
Enneapogon gracilis,Australia,Tussock,NA,NA,Therophyte Hemicryophyte,0.7,not_vegetative,C4,NA,NA,1,2,simple,NA,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,1,1.8,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Enneapogon intermedius,Australia,Tussock,NA,NA,Hemicryophyte,0.7,not_vegetative,C4,NA,NA,1,2,simple,NA,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,1.5,2.4,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Enneapogon lindleyanus,Australia,Tussock,NA,NA,Therophyte Hemicryophyte,0.66,not_vegetative,C4,NA,NA,1,4.4,simple,NA,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,1.3,2,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Enneapogon nigricans,Australia,Tussock,NA,NA,Hemicryophyte,0.55,not_vegetative,C4,NA,NA,1,5,simple,NA,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,1.3,2.2,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Enneapogon pallidus,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,0.88,not_vegetative,C4,NA,NA,1,3,simple,NA,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,1.3,2,NA,NA,6.43e-4,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC,NA
