species,individual,birthtime,deathtime,no_flowers,longevity_days,symmetry,infloheight_m,habit,height_m,inflosize_cm,flowersperplant,budsperplant,florallength_cm,floraldiam_cm,colour,tube,site,latitude,longitude
Astrotricha longifolia,Alon01,2022-10-08T05:03:17Z,2022-10-10T04:42:24Z,12,1.985497685,actinomorphic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yondell Ave, Springwood",-33.717968,150.55742
Astrotricha longifolia,Alon02,2022-10-21T16:22:05Z,2022-10-23T10:40:54Z,14,1.763061343,actinomorphic,1.3,shrub (woody plant branching from the base),1.45,5,1,110,0.7,0.6,white,absent,"Yondell Ave, Springwood",-33.717968,150.55742
Astrotricha longifolia,Alon03,2022-10-12T09:36:43Z,2022-10-14T10:56:36Z,16,2.055477431,actinomorphic,1.25,shrub (woody plant branching from the base),1.46,4,14,1000,0.6,0.6,white,absent,"Yondell Ave, Springwood",-33.717968,150.55742
Astrotricha longifolia,Alon04,2022-10-14T17:29:04Z,2022-10-16T19:50:29Z,8,2.098208912,actinomorphic,1.2,shrub (woody plant branching from the base),1.24,3.5,25,380,0.6,0.6,white,absent,"Yondell Ave, Springwood",-33.717968,150.55742
Astrotricha longifolia,Alon05,2022-10-12T15:13:25Z,2022-10-14T09:07:30Z,7,1.745882937,actinomorphic,1.11,shrub (woody plant branching from the base),1.28,3,0,400,NA,NA,white,absent,"Yondell Ave, Springwood",-33.717968,150.55742
Acacia oxycedrus,Aoxy01,2021-07-25T01:34:15Z,2021-08-10T02:32:44Z,60,16.04061073,actinomorphic,1.43,shrub (woody plant branching from the base),2.3,3,150,1000,0.5,0.8,yellow,absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Acacia oxycedrus,Aoxy02,2021-08-07T07:15:45Z,2021-08-24T01:38:20Z,50,16.76568843,actinomorphic,NA,shrub (woody plant branching from the base),2.5,2.4,1000,1000,0.4,0.5,yellow,absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Acacia oxycedrus,Aoxy03,2021-08-03T04:52:49Z,2021-08-18T00:06:22Z,13,14.80108529,actinomorphic,1.36,shrub (woody plant branching from the base),1.65,1,150,1500,0.5,0.5,yellow,absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Acacia oxycedrus,Aoxy04,2021-08-03T04:56:13Z,2021-08-18T05:37:43Z,35,15.02881944,actinomorphic,2.8,shrub (woody plant branching from the base),4.5,2,1000,3000,0.5,0.5,yellow,absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Acacia oxycedrus,Aoxy05,2021-08-07T14:12:04Z,2021-08-24T03:22:45Z,36,16.54907986,actinomorphic,1.6,shrub (woody plant branching from the base),2.5,2,30,1000,0.5,0.5,yellow,absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Boronia ledifolia,Bled01,2021-07-23T12:09:07Z,2021-08-06T04:15:19Z,24,13.67096981,actinomorphic,NA,shrub (woody plant branching from the base),1.8,15,0,40,NA,NA,NA,NA,"Murrua Trail, North Turramurra",-33.69307,151.1445
Boronia ledifolia,Bled05,2021-07-22T03:33:27Z,2021-08-07T03:06:48Z,16,15.9814945,actinomorphic,NA,shrub (woody plant branching from the base),1.2,10,1,10,0.5,1.4,pink,absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Boronia ledifolia,Bled07,2021-08-06T23:00:01Z,2021-08-20T09:18:25Z,16,13.42943649,actinomorphic,0.2,shrub (woody plant branching from the base),0.5,16,13,26,0.4,2.5,pink,absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Boronia ledifolia,Bled08,2021-08-07T16:05:33Z,2021-08-23T02:52:24Z,6,15.4492091,actinomorphic,0.38,shrub (woody plant branching from the base),0.6,4,100,30,0.4,2,pink,absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Boronia ledifolia,Bled09,2021-08-16T05:04:36Z,2021-08-25T18:08:51Z,6,9.544618056,actinomorphic,0.7,shrub (woody plant branching from the base),0.85,6,250,75,0.4,2.5,pink,absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Bossiaea obcordata,Bobc01,2022-09-16T17:20:21Z,2022-09-19T01:38:26Z,5,2.345888889,zygomorphic,0.52,shrub (woody plant branching from the base),1.03,4,8,35,1.5,1.3,"yellow, red",present (at least at base),"Sassafras Gully, Springwood",-33.702902,150.553083
Bossiaea obcordata,Bobc02,2022-09-19T13:42:33Z,2022-09-22T15:45:04Z,13,3.08508547,zygomorphic,0.45,shrub (woody plant branching from the base),0.83,9,19,80,1.9,1.5,"yellow, red",present (at least at base),"Sassafras Gully, Springwood",-33.702902,150.553083
Bossiaea obcordata,Bobc03,2022-09-19T08:40:34Z,2022-09-22T20:06:26Z,8,3.476291956,zygomorphic,0.51,shrub (woody plant branching from the base),0.73,5.5,0,7,NA,NA,"yellow, red","absent, present (at least at base)","Sassafras Gully, Springwood",-33.702902,150.553083
Bossiaea obcordata,Bobc04,2022-09-19T19:03:13Z,2022-09-22T02:08:37Z,23,2.295422202,zygomorphic,0.08,shrub (woody plant branching from the base),0.2,8,2,80,1.4,1.5,"yellow, red","absent, present (at least at base)","Sassafras Gully, Springwood",-33.702902,150.553083
Bossiaea obcordata,Bobc05,2022-09-19T13:21:36Z,2022-09-21T18:38:58Z,13,2.220393519,zygomorphic,0.92,shrub (woody plant branching from the base),1.38,5,15,220,1.7,1.8,"yellow, red","absent, present (at least at base)","Sassafras Gully, Springwood",-33.702902,150.553083
Boronia pinnata,Bpin01,2021-08-28T12:58:59Z,2021-09-03T23:12:56Z,25,6.426351389,actinomorphic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murrua Trail, North Turramurra",-33.69307,151.1445
Boronia pinnata,Bpin02,2021-09-05T00:58:40Z,2021-09-14T18:04:12Z,20,9.712173611,actinomorphic,0.5,shrub (woody plant branching from the base),1.15,8,1,350,0.6,2,pink,absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Boronia pinnata,Bpin03,2021-08-30T18:09:47Z,2021-09-04T21:16:27Z,11,5.129630682,actinomorphic,1,shrub (woody plant branching from the base),1,4,3,180,0.6,2.7,pink,absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Boronia pinnata,Bpin04,2021-08-27T22:28:55Z,2021-09-04T20:41:21Z,9,7.92530607,actinomorphic,1.2,shrub (woody plant branching from the base),1.2,8,5,200,0.5,2.6,pink,absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Boronia pinnata,Bpin05,2021-09-06T17:14:34Z,2021-09-11T06:45:08Z,24,4.562886767,actinomorphic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murrua Trail, North Turramurra",-33.69307,151.1445
Boronia pinnata,Bpin06,2021-09-24T08:44:50Z,2021-10-01T16:57:07Z,7,7.341863426,actinomorphic,0.95,shrub (woody plant branching from the base),1.25,6.5,40,80,0.5,2.7,pink,absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Bossiaea scolopendria,Bsco01,2021-08-27T01:09:25Z,2021-08-28T01:28:46Z,18,1.013435571,zygomorphic,1.3,shrub (woody plant branching from the base),1.9,15,15,650,1.5,1.8,"yellow, red",present (at least at base),"Murrua Trail, North Turramurra",-33.69307,151.1445
Bossiaea scolopendria,Bsco02,2021-09-04T02:19:15Z,2021-09-06T15:34:32Z,8,2.552287326,zygomorphic,1.1,shrub (woody plant branching from the base),1.15,5,1,150,1.8,1.7,"yellow, red",present (at least at base),"Murrua Trail, North Turramurra",-33.69307,151.1445
Bossiaea scolopendria,Bsco04,2021-08-28T16:09:39Z,2021-08-30T21:53:57Z,8,2.239092882,zygomorphic,0.75,shrub (woody plant branching from the base),2.3,4,30,500,1.8,1.6,yellow,present (at least at base),"Murrua Trail, North Turramurra",-33.69307,151.1445
Bossiaea scolopendria,Bsco05,2021-09-07T12:52:52Z,2021-09-09T20:43:01Z,5,2.326488426,zygomorphic,0.15,shrub (woody plant branching from the base),0.65,4.5,100,50,1.5,1.5,"yellow, red",present (at least at base),"Murrua Trail, North Turramurra",-33.69307,151.1445
Bossiaea scolopendria,Bsco06,2021-09-04T21:20:17Z,2021-09-06T23:17:13Z,10,2.081204861,zygomorphic,0.85,shrub (woody plant branching from the base),1.1,12,8,30,1.6,1.9,"yellow, red",present (at least at base),"Murrua Trail, North Turramurra",-33.69307,151.1445
Bossiaea scolopendria,Bsco07,2021-09-07T16:13:26Z,2021-09-10T20:43:45Z,12,3.187719907,zygomorphic,0.2,shrub (woody plant branching from the base),0.8,9,70,170,1.6,1.5,"yellow, red",present (at least at base),"Murrua Trail, North Turramurra",-33.69307,151.1445
Bossiaea scolopendria,Bsco08,2021-09-11T14:24:31Z,2021-09-14T03:49:13Z,6,2.558815586,zygomorphic,0.55,shrub (woody plant branching from the base),0.77,7,18,40,1.4,1.8,yellow,"absent, present (at least at base)","Murrua Trail, North Turramurra",-33.69307,151.1445
Comesperma ericinum,Ceri01,2021-10-14T04:17:46Z,2021-10-16T12:25:17Z,45,2.338552469,zygomorphic,1.35,shrub (woody plant branching from the base),1.45,7,0,350,NA,NA,purple,absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Comesperma ericinum,Ceri02,2021-10-06T04:49:34Z,2021-10-08T15:41:43Z,22,2.452878788,zygomorphic,0.6,shrub (woody plant branching from the base),0.75,7.5,10,130,0.6,1.4,purple,absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Comesperma ericinum,Ceri03,2021-10-04T08:38:38Z,2021-10-06T18:02:58Z,20,2.391905093,zygomorphic,0.8,shrub (woody plant branching from the base),1,6,22,600,0.6,1.5,purple,absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Comesperma ericinum,Ceri04,2021-09-28T03:44:19Z,2021-09-29T19:24:49Z,9,1.653126286,zygomorphic,0.56,shrub (woody plant branching from the base),0.62,6,0,70,NA,NA,purple,absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Comesperma ericinum,Ceri05,2021-10-12T10:05:36Z,2021-10-14T13:41:29Z,32,2.149917896,zygomorphic,0.68,shrub (woody plant branching from the base),0.71,4.3,2,80,0.6,1.3,purple,absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Conospermum longifolium,Clon01,2022-10-14T00:31:14Z,2022-10-14T23:13:25Z,16,0.945961372,zygomorphic,0.7,shrub (woody plant branching from the base),0.73,1.9,2,20,0.9,0.5,white,present (at least at base),"Yondell Ave, Springwood",-33.717968,150.55742
Conospermum longifolium,Clon03,2022-10-11T10:59:56Z,2022-10-16T00:20:47Z,12,4.556140046,zygomorphic,1.21,shrub (woody plant branching from the base),1.28,3.5,250,400,0.9,0.6,white,present (at least at base),"Yondell Ave, Springwood",-33.717968,150.55742
Conospermum longifolium,Clon04,2022-10-12T08:33:49Z,2022-10-14T03:35:28Z,16,1.79281033,zygomorphic,0.8,shrub (woody plant branching from the base),0.91,2.5,120,220,0.9,0.6,white,present (at least at base),"Yondell Ave, Springwood",-33.717968,150.55742
Conospermum longifolium,Clon05,2022-10-13T23:47:43Z,2022-10-15T16:10:31Z,13,1.68250089,zygomorphic,1,shrub (woody plant branching from the base),1.17,2,250,600,0.9,0.5,white,present (at least at base),"Yondell Ave, Springwood",-33.717968,150.55742
Conospermum longifolium,Clon06,2022-10-15T06:29:54Z,2022-10-19T10:25:01Z,14,4.163266369,zygomorphic,0.56,shrub (woody plant branching from the base),0.65,1.8,50,90,0.9,0.6,white,present (at least at base),"Yondell Ave, Springwood",-33.717968,150.55742
Dianella caerulea,Dian01,2022-11-08T06:42:22Z,2022-11-08T23:30:50Z,14,0.70031746,actinomorphic,0.4,herb,0.75,16,6,400,1,1.5,"purple, blue",absent,"Yondell Ave, Springwood",-33.717968,150.55742
Dianella caerulea,Dian02,2022-11-09T10:05:26Z,2022-11-10T19:24:23Z,7,1.388166336,actinomorphic,0.24,herb,0.54,15,8,250,0.9,1.2,"purple, blue",absent,"Yondell Ave, Springwood",-33.717968,150.55742
Dianella caerulea,Dian03,2022-11-08T23:16:58Z,2022-11-10T06:04:42Z,13,1.283140135,actinomorphic,0.8,herb,0.86,10,1,80,1,2,"purple, blue",absent,"Yondell Ave, Springwood",-33.717968,150.55742
Dianella caerulea,Dian04,2022-11-08T17:55:20Z,2022-11-09T19:49:12Z,11,1.079081439,actinomorphic,0.2,herb,0.6,8,60,1000,1,1,"purple, blue",absent,"Yondell Ave, Springwood",-33.717968,150.55742
Dianella caerulea,Dian05,2022-11-10T04:26:15Z,2022-11-11T06:40:23Z,9,1.093145576,actinomorphic,0.48,herb,0.6,10,0,350,1,1.9,"purple, blue",absent,"Yondell Ave, Springwood",-33.717968,150.55742
