name_original,site,AusTraits_site_name,AusTraits_key,LMA (g/m2),LfSize (cm2)
Banksia aemula,Westman&Rogers1977_Stradbroke,Westman_1977_Stradbroke,Westman_1977,533.863,6.42
Eucalyptus signata,Westman&Rogers1977_Stradbroke,Westman_1977_Stradbroke,Westman_1977,162.771,14
Eucalyptus umbra ssp. Umbra,Westman&Rogers1977_Stradbroke,Westman_1977_Stradbroke,Westman_1977,284.69,7.74
