Taxa,Authority,Family,Latitude,Longitude,Altitude,Sampling date,Maturity,Plant condition,Growing conditions,Tree,Forb,Gram,Terrestrial,Tda,Tdr,Amphibious,Submerged,Native nonweed,Native,Native weed,Exotic,Perennial,Biennial,Annual,clonality,stolons,rhizomes,prostrate/decumbent,plant height min (m),Plant height max (m),Seed mass (g),Dispersal,dispersal 2,dispersal 3,Leaf size (cm^2),SLA (mm2/mg),Specific leaf mass (mg/mm2)
Acacia mearnsii,De Wild.,MIMOSACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),1,,,1,,1,,,,1,1,,1,,,,,,,3,10.0,13.2,Animal,,,,7.072581697,
Acaena xanserovina,Orchard,ROSACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,,1,,,1,1,,,1,,,1,1,,,0.2,0.4,1.26,animal,,,4.212666667,14.04222222,0.0712138
Alternanthera denticulata,R. Br.,AMARANTHACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,1,,,,1,1,,,,,1,,,,,,0.4,0.23,,,,2.096,18.71428571,0.053435115
Amphibromus neesii,Steud.,POACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,,,,natural wetlands (field conditions),,,1,,,,1,,1,1,,,1,,,1,,1,,1.2,1.5,1.165,,,,,,
Anthoxanthum odaratum,L.,POACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,,,,natural wetlands (field conditions),,,1,1,,1,,,,,,1,1,,,0,,,,,1.0,0.53,,,,,,
Arenaria serpyllifolia subsp. serpyllifolia,L.,CARYOPHYLLACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,,,,natural wetlands (field conditions),,1,,1,,1,,,,,,1,,,1,0,,,,,0.3,0.07,,,,,,
Aster novi-belgii,L.,ASTERACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,1,,,,1,1,,,1,,,1,,1,,0.2,1.4,0.4,,,,10.68266667,16.53663571,0.060471792
Austrodanthonia sp. 1,,POACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,1,,1,,,1,1,,,1,,,0,,,,0.4,1.0,0.324,animal??,,,,13.3899411,
Austrodanthonia sp. 2 var. a,,POACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,1,,1,,,1,1,,,1,,,0,,,,0.4,1.0,0.324,animal??,,,1.270588235,9.6,0.104166667
Austrodanthonia sp. 2 var. b,,POACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,1,,1,,,1,1,,,1,,,0,,,,0.4,1.0,0.324,animal??,,,0.51375,12.84375,0.077858881
Austrodanthonia sp. 3,,POACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,1,,1,,,1,1,,,1,,,0,,,,0.4,1.0,0.324,animal??,,,,11.22,
Austrodanthonia sp. 3 var. b,,POACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,1,,1,,,1,1,,,1,,,0,,,,0.4,1.0,0.324,animal??,,,,11.22,
Austrodanthonia sp. 4,,POACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,1,,1,,,1,1,,,1,,,0,,,,0.4,1.0,0.324,animal??,,,,11.22,
