sort,site_conditions,site,Genus species,species_abb,Stem wood density,leaf size,SLA,leaf_area_ratio,LASA10,LASA250,LASA50,LASA1000
23,hiRhiP,Gosford High P,Acacia elata,Acaela,0.57,272,11.4,7.3,7234,,,
24,hiRhiP,Gosford High P,Acmena smithii,acmsmi,0.66,2785,13.3,7.46,6286,,,
25,hiRhiP,Gosford High P,Alectryon subcinereus,,,10169,13,11.5,3633,,,
26,hiRhiP,Gosford High P,Astrotricha floccosa,Astflo_ghp,0.41,5832,20.8,11.83,4844,,,
27,hiRhiP,Gosford High P,Backhousia myrtifolia,,,1157,10.6,6.5,7624,,,
28,hiRhiP,Gosford High P,Callicoma serratifolia,calser,0.54,4020,10.2,7.91,5835,,,
29,hiRhiP,Gosford High P,Ceratopetalum apetalum,cerape,0.54,5757,12.3,8.6,6548,,,
30,hiRhiP,Gosford High P,Citriobatus pauciflorus,,0.69,50,17.3,6.82,2607,,,
31,hiRhiP,Gosford High P,Doryphora sassafras,dorsas,0.52,3163,10.5,7.11,6552,,,
32,hiRhiP,Gosford High P,Lomatia myricoides,lommyr,0.56,3226,8.9,6.7,5433,,,
33,hiRhiP,Gosford High P,Neolitsea dealbata,neodea,0.46,5684,11.5,8.56,6386,,,
34,hiRhiP,Gosford High P,Notelaea venosa,,,4510,8.4,6.08,5573,,,
35,hiRhiP,Gosford High P,Palmeria scandens,palsca,0.39,4421,23.3,13.09,4507,,,
36,hiRhiP,Gosford High P,Quintinia sieberi,,,2355,8.7,5.47,2838,,,
37,hiRhiP,Gosford High P,Rapanea variabilis,rapvar,0.49,3395,11.8,7.31,5161,,,
38,hiRhiP,Gosford High P,Rhodamnia rubescens,Rhorub,0.62,1687,12.8,8.1,6006,,,
39,hiRhiP,Gosford High P,Schizomeria ovata,Schova,0.37,7542,21.7,16.33,4783,,,
40,hiRhiP,Gosford High P,Scolopia braunii,Scobra,0.66,2035,10.3,5.73,5117,,,
41,hiRhiP,Gosford High P,Tasmannia insipida,Tasins,0.43,2296,14.4,9.85,7683,,,
42,hiRhiP,Gosford High P,Trochocarpa laurina,,0.58,2210,13.3,9.52,2710,,,
