Species,Tree,number,Aa,gs,WUEi,CiCa,Amass,Leaf N,PNUE,Ci,WUE,date_leaf,Fresh Weight,Dry Weight,LDMC,AreaTotal,SLA,Petiole Width,Petiole Height,Lamina,Density,S_true15N,S_per.N,S_true13C,S_per.C,L_true13C,L_true15N,L_per.C,L_per.N,L_C.N,Outer Phloem,Outer Xylem,Outer Heartood,Xylem,X_Tot_Ratio,Date_d18O,d18O,Date,Individual,Sun/Shade,Tree ID,Notes,Species_name,Growth.Form
TET STIG,TET STIG_1,2,13.474418,0.13292468,101.35102,0.5407478,165.6598335,1.8550149,101.7364866,206.9493776,7.026474674,13/06/2014,1.506666667,0.364175,0.236333333,46.47,136.745501,1.99,1.9975,0.2875,0.376440092,3.894842209,0.688856822,-28.70214169,47.55093461,-30.21020809,4.044982502,48.26203964,1.855014882,26.01706331,72.315,38.746,2.732,36.014,0.498015626,13/06/2014,-2.21,NA,NA,NA,NA,NA,Tetrastigma crenatum,L
TET STIG,TET STIG_3,3,10.389578,0.08673218,120.41405,0.4675689,140.1128311,2.0305077,71.66504686,180.6505055,7.066639164,9/5/2014,1.586666667,0.425333333,0.268,57.53,135.5029734,2.606666667,2.603333333,0.273333333,NA,NA,NA,NA,NA,-29.49348443,2.354684384,46.66801742,2.03050767,22.98342336,43.164,22.388,5.073,17.315,0.401144472,NA,NA,NA,NA,NA,NA,NA,Tetrastigma crenatum,NA
TET STIG,TET STIG_4,3,10.249743,0.08170706,125.43332,0.4467498,112.6242785,1.5536017,92.40328487,172.5726401,7.129738045,9/5/2014,2.136666667,0.585033333,0.273333333,64.23,109.8886054,3.17,2.936666667,0.35,0.344909951,3.611702032,0.534478564,-29.10443668,43.41033975,-30.65991706,2.461159856,47.25165393,1.55360174,30.4142643,66.575,36.04,5.117,30.923,0.464483665,9/5/2014,-2.83,NA,NA,NA,NA,NA,Tetrastigma crenatum,NA
TET STIG,TET STIG_6,3,18.759679,0.19546927,96.0182,0.5486759,201.8631448,1.8715527,140.390417,205.824231,7.173382686,22/05/2014,2.01,0.5786,0.296,63.33,109.6604354,3.013333333,2.8,0.343333333,0.29712766,1.729696381,0.53136206,-30.27540247,44.22192835,-30.44911598,3.083851232,45.93308949,1.87155266,24.54277161,50.106,25.199,3.816,21.383,0.426755279,NA,NA,NA,NA,NA,NA,NA,Tetrastigma crenatum,NA
AGY,AGY_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20/06/2014,1.453333333,0.7306,0.502666667,44.51666667,61.06952916,1.76,1.953333333,0.313333333,0.585625409,1.562346025,0.440893169,-30.7649298,42.38351668,-31.25286524,0.886026326,49.03957452,1.238805447,39.58617929,100.599,39.941,2.43,37.511,0.37287647,20/06/2014,-3.4,NA,NA,NA,NA,NA,Agyrodendron peralatum,NA
AGY,AGY_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/06/2014,1.19,0.6076,0.510333333,41.15333333,67.84888788,1.91,2.08,0.283333333,0.531981505,2.608514375,0.456882051,-30.82855809,42.55159931,-30.71579205,2.346653149,47.52277708,1.373060016,34.61085205,56.206,22.255,2.555,19.7,0.350496388,NA,NA,NA,NA,NA,NA,NA,Agyrodendron peralatum,NA
ALS,ALS_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/5/2014,1.34,0.5104,0.379666667,40.77333333,80.81904861,2.65,1.813333333,0.323333333,0.320711744,3.422328828,0.972850928,-28.03776278,42.56687702,-28.11629669,3.35596394,50.02017318,1.772031515,28.22758667,79.413,43.434,5.596,37.838,0.476471107,9/5/2014,-5.3,5/9/2014,3,Sun,6028,NA,Alstonia scholaris,NA
ALS,ALS_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13/06/2014,1.49,0.44564,0.2976,37.272,83.88171994,2.428,1.564,0.37,0.295015144,4.247025753,0.938439058,-28.88173767,45.20957501,-28.50656956,3.566724027,48.95904224,2.043333134,23.9603819,94.025,48.648,6.97,41.678,0.443265089,13/06/2014,-5.08,NA,NA,NA,NA,NA,Alstonia scholaris,NA
CAL,CAL_9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13/06/2014,NA,0.68636,NA,82.448,120.3793852,NA,NA,1.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calamus  sp,NA
CAR,CAR_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19/06/2014,1.473333333,0.675233333,0.460333333,43.84666667,65.14421293,1.77,1.603333333,0.273333333,0.492687584,5.728729768,0.305473735,-27.27563647,45.33452288,-27.43732515,5.463017542,47.79324115,0.919808803,51.95997365,90.937,59.13,3.837,55.293,0.608036333,19/06/2014,-3.8,NA,NA,NA,NA,NA,Cardwelia sublimis,NA
