Species,Site Code,Regenerative Mechanisms,bud_bank_location,resprouting_capacity,post_fire_recruitment
Acacia alpina,"PF82,83",N,none,fire_killed,post_fire_recruitment_absent
Acacia dealbata,"PF4,5,18,20,21,44,45,49,50,70,74,7
5,76,NA07","L, Se, Su, N",basal_buds none bud-bearing_root none,resprouts,post_fire_recruitment_absent post_fire_recruitment post_fire_recruitment_absent post_fire_recruitment_absent
Acacia dealbata,"PF4,5,18,20,21,44,45,49,50,70,74,7
5,76,NA07","L, Se, Su, N",basal_buds none bud-bearing_root none,fire_killed,post_fire_recruitment_absent post_fire_recruitment post_fire_recruitment_absent post_fire_recruitment_absent
Acacia melanoxylon,"PF1,4,23,25,27,28,32,45,52,59,70","L, E, Se, Su",basal_buds epicormic_buds none bud-bearing_root,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent post_fire_recruitment post_fire_recruitment_absent
Acacia melanoxylon,"PF1,4,23,25,27,28,32,45,52,59,70","L, E, Se, Su",basal_buds epicormic_buds none bud-bearing_root,fire_killed,post_fire_recruitment_absent post_fire_recruitment_absent post_fire_recruitment post_fire_recruitment_absent
Acacia obliquinervia,PF47,L,basal_buds,resprouts,post_fire_recruitment_absent
Acacia rubida,"PF15,16,85",Se,none,fire_killed,post_fire_recruitment
Acacia siculiformis,PF65,Su,bud-bearing_root,resprouts,post_fire_recruitment_absent
Acacia sp.,"PF1,7,17,22,24,29,30,35,38,42,53,5
9","L, Se, Su, N",basal_buds none bud-bearing_root none,resprouts,post_fire_recruitment_absent post_fire_recruitment post_fire_recruitment_absent post_fire_recruitment_absent
Acacia sp.,"PF1,7,17,22,24,29,30,35,38,42,53,5
9","L, Se, Su, N",basal_buds none bud-bearing_root none,fire_killed,post_fire_recruitment_absent post_fire_recruitment post_fire_recruitment_absent post_fire_recruitment_absent
Acetosella sp,PF72,L,basal_buds,resprouts,post_fire_recruitment_absent
Adiantum aethiopicum,PF1,L,basal_buds,resprouts,post_fire_recruitment_absent
Allocasuarina verticillata,"PF17,41,42,52","L, E, Se, Su, N",basal_buds epicormic_buds none bud-bearing_root none,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent post_fire_recruitment post_fire_recruitment_absent post_fire_recruitment_absent
Allocasuarina verticillata,"PF17,41,42,52","L, E, Se, Su, N",basal_buds epicormic_buds none bud-bearing_root none,fire_killed,post_fire_recruitment_absent post_fire_recruitment_absent post_fire_recruitment post_fire_recruitment_absent post_fire_recruitment_absent
Apiaceae sp.,PF78,L,basal_buds,resprouts,post_fire_recruitment_absent
Aristida ramosa,PF15,L,basal_buds,resprouts,post_fire_recruitment_absent
Aristida sp.,"PF15,17",L,basal_buds,resprouts,post_fire_recruitment_absent
Arthropodium milleflorum,"PF57,58,62,78,80","L, Se",basal_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment
Arthropodium milleflorum,"PF57,58,62,78,80","L, Se",basal_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment
Asperula conferta,PF53,L,basal_buds,resprouts,post_fire_recruitment_absent
Asperula gunnii,"PF47,57,78","L, Se",basal_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment
Asperula gunnii,"PF47,57,78","L, Se",basal_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment
Asperula pusilla,"PF6,71",L,basal_buds,resprouts,post_fire_recruitment_absent
Asperula sp.,PF30,L,basal_buds,resprouts,post_fire_recruitment_absent
Asterolasia fimelioches,PF83,N,none,fire_killed,post_fire_recruitment_absent
Astroloma humifusum,PF49,L,basal_buds,resprouts,post_fire_recruitment_absent
Baeckea sp,"PF71,82,83",N,none,fire_killed,post_fire_recruitment_absent
Baeckea utilis,"PF40,58,69,79",L,basal_buds,resprouts,post_fire_recruitment_absent
Banksia marginata,"PF50,60,66","L, E, N",basal_buds epicormic_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent post_fire_recruitment_absent
