name_original,metadata_id,primary_source,raw_trait_value,trait,units
Abrus precatorius subsp. africanus,19,10,74.79,seed mass,mg
Austrosteenisia blackii,19,10,18.43,seed mass,mg
Austrosteenisia blackii var. astipella,19,10,18.43,seed mass,mg
Austrosteenisia blackii var. blackii,19,10,18.43,seed mass,mg
Billardiera scandens,19,10,1.09,seed mass,mg
Billardiera scandens var. brachyantha,19,10,1.09,seed mass,mg
Billardiera scandens var. scandens,19,10,1.09,seed mass,mg
Billardiera scandens var. sericata,19,10,1.09,seed mass,mg
Caesalpinia bonduc,19,10,2108.8,seed mass,mg
Calamus australis,19,10,410,seed mass,mg
Calamus caryotoides,19,10,97.71,seed mass,mg
Calystegia marginata,19,10,12.62,seed mass,mg
Canavalia rosea,19,10,609.71,seed mass,mg
Carissa ovata,19,10,50.76,seed mass,mg
Cassytha filiformis,19,10,43.65,seed mass,mg
Cassytha pubescens,19,10,48.6,seed mass,mg
Cephalaralia cephalobotrys,19,10,4,seed mass,mg
Cissus antarctica,19,10,65.4,seed mass,mg
Cissus hypoglauca,19,10,39.11,seed mass,mg
Cissus repens,19,10,32,seed mass,mg
Clematis aristata,19,10,0.29,seed mass,mg
Clematis aristata var. longisepala,19,10,0.29,seed mass,mg
Clematis aristata var. occidentalis,19,10,3.85,seed mass,mg
Clematis glycinoides,19,10,1.87,seed mass,mg
Clematis glycinoidesvar. glycinoides,19,10,1.87,seed mass,mg
Clematis glycinoidesvar. submutica,19,10,1.87,seed mass,mg
Coelospermum paniculatum,19,10,16.99,seed mass,mg
Coelospermum paniculatum var. paniculatum,19,10,16.99,seed mass,mg
Coelospermum paniculatum var. syncarpum,19,10,16.99,seed mass,mg
Colubrina asiatica,19,10,26.7,seed mass,mg
Colubrina asiatica var. asiatica,19,10,26.7,seed mass,mg
Comesperma volubile,19,10,1.609,seed mass,mg
Deeringia amaranthoides,19,10,0.19,seed mass,mg
Deeringia arborescens,19,10,0.17,seed mass,mg
Derris involuta,19,10,22.45,seed mass,mg
Desmodium rhytidophyllum,19,10,2.11,seed mass,mg
Desmodium rhytidophyllum subsp. rhytidophyllum,19,10,2.11,seed mass,mg
Desmodium rhytidophyllumsubsp. acutifoliolum,19,10,2.11,seed mass,mg
Diplocyclos palmatus,19,10,10.42,seed mass,mg
Diplocyclos palmatus subsp. affinis,19,10,10.42,seed mass,mg
Diplocyclos palmatus subsp. palmatus,19,10,10.42,seed mass,mg
