genus,spp,binomial,longevity,growth form ,min height (m),max height (m),leaf length min (mm) ,leaf length max (mm) ,leaf width min (mm) ,leaf width max (mm) ,flowering month begin,flowering month end,,,,
Calytrix,pimeleoides,Calytrix pimeleoides,p,s,,1.4,7,9,2,3,8,10,,,,
Calytrix,ecalycata,Calytrix ecalycata,p,s,,1.6,3,9,0.5,0.75,8,10,,,,
