climate,plantID,who,spp,site_spp,abs400_700,absLCF,PRI,Rred/Rgreen,R400-700
loRhiP,EucFib1,ian,EucFib,loRhiP_EucFib,0.87,0.88,-0.012,0.777,0.087
loRhiP,EucFib2,ian,EucFib,loRhiP_EucFib,0.87,0.871,0.009,0.747,0.085
loRhiP,EucHae1,ian,EucHae,loRhiP_EucHae,0.862,0.871,0.002,0.686,0.109
loRhiP,EucHae2,ian,EucHae,loRhiP_EucHae,0.831,0.843,-0.026,0.709,0.125
loRhiP,MacSpi1,ian,MacSpi,loRhiP_MacSpi,0.934,0.943,-0.003,0.706,0.059
loRhiP,MacSpi1b,ian,MacSpi,loRhiP_MacSpi,0.931,0.94,0,0.765,0.062
loRhiP,PerLauU1,ian,PerLau,loRhiP_PerLau,0.717,0.699,0.033,0.777,0.197
loRhiP,PerLauU2,ian,PerLau,loRhiP_PerLau,0.631,0.62,-0.048,0.623,0.199
loRloP,BanAem1,ian,BanAem,loRloP_BanAem,0.832,0.844,-0.012,0.75,0.098
loRloP,BanAem2,ian,BanAem,loRloP_BanAem,0.881,0.89,-0.016,0.66,0.07
loRloP,BanAem3,ian,BanAem,loRloP_BanAem,0.81,0.821,-0.002,0.724,0.105
loRloP,EucScl1,ian,EucScl,loRloP_EucScl,0.856,0.868,-0.019,0.7,0.129
loRloP,EucScl2,ian,EucScl,loRloP_EucScl,0.861,0.877,-0.016,0.614,0.109
MUcamp,AgaRob1,ian,AgaRob,MUcamp_AgaRob,0.919,0.935,-0.005,0.613,0.064
MUcamp,AgaRob2,ian,AgaRob,MUcamp_AgaRob,0.894,0.908,0.035,0.671,0.079
MUcamp,AraBid1,ian,AraBid,MUcamp_AraBid,0.929,0.938,0.003,0.638,0.067
MUcamp,AraBid2,ian,AraBid,MUcamp_AraBid,0.923,0.935,-0.028,0.773,0.07
MUcamp,BanInt1,ian,BanInt,MUcamp_BanInt,0.931,0.936,-0.021,0.735,0.065
MUcamp,BanInt2,ian,BanInt,MUcamp_BanInt,0.923,0.93,-0.034,0.656,0.065
MUcamp,BanRob1,ian,BanRob,MUcamp_BanRob,0.911,0.918,-0.001,0.628,0.052
MUcamp,BanRob2,ian,BanRob,MUcamp_BanRob,0.907,0.919,-0.125,0.689,0.061
MUcamp,CepFor,ian,CepFor,MUcamp_CepFor,0.936,0.943,-0.012,0.7,0.06
MUcamp,MacTer1,ian,MacTer,MUcamp_MacTer,0.848,0.856,-0.074,0.649,0.13
MUcamp,MacTer2,ian,MacTer,MUcamp_MacTer,0.911,0.921,-0.005,0.685,0.066
MUcamp,PodEla1,ian,PodEla,MUcamp_PodEla,0.855,0.869,-0.012,0.813,0.062
MUcamp,PodEla2,ian,PodEla,MUcamp_PodEla,0.942,0.948,0.018,,0.056
