ID,sppsite,Species,Spp,site,site2,corr,ChlAarea(umol m-2),ChlBarea,Chl(tot)area,carots_area,Chla/b,ChlAmass(mmol/kg),ChlBmass,Chl(tot)mass,carots_mass(umol/m2),SLAchl(cm2/g),SLAall
1,AgaRob_MUcampus,Agathis robusta,AgaRob,MUcampus,MUcampus,n,299,123,422,98,2.44,2.28,0.94,3.22,0.75,76.4,76.4
2,BanInt_MUcampus,Banksia integrifolia,BanInt,MUcampus,MUcampus,n,587,184,772,165,3.19,2.58,0.81,3.39,0.73,44,45.7
3,BanRob_MUcampus,Banksia robur,BanRob,MUcampus,MUcampus,n,141,40,181,78,3.51,0.71,0.2,0.91,0.39,50.2,49.2
4,BanSer_MUcampus,Banksia serrata,BanSer,MUcampus,MUcampus,n,199,82,282,101,2.42,1.06,0.44,1.5,0.54,53.4,58.7
5,AngHis_hiRloP,Angophora hispida,AngHis,Murrua,hiRloP,n,365,119,484,214,3.06,1.76,0.57,2.33,1.03,48.2,48.2
6,AgaRob_MUcampus,Agathis robusta,AgaRob,MUcampus,MUcampus,n,330,127,457,143,2.6,2.53,0.97,3.5,1.09,76.8,76.8
7,BanObl_hiRloP,Banksia oblongifolia,BanObl,Murrua,hiRloP,n,426,136,562,122,3.14,1.77,0.56,2.34,0.51,41.6,43.4
8,PerLev_hiRloP,Persoonia levis,PerLev,Murrua,hiRloP,n,294,96,390,98,3.06,1.72,0.56,2.28,0.58,58.5,60.3
9,AngHis_hiRloP,Angophora hispida,AngHis,Murrua,hiRloP,n,371,135,506,158,2.75,2.92,1.06,3.98,1.24,78.6,78.6
10,PerLev_hiRloP,Persoonia levis,PerLev,Murrua,hiRloP,n,338,105,443,165,3.2,1.79,0.56,2.35,0.87,53.1,56.1
11,PerLan_hiRloP,Persoonia lanceolata,PerLan,Murrua,hiRloP,n,239,75,314,167,3.19,1.47,0.46,1.93,1.03,61.4,61.5
12,PerLev_hiRloP,Persoonia levis,PerLev,Murrua,hiRloP,n,247,72,319,115,3.44,1.4,0.41,1.8,0.65,56.5,54
13,AngHis_hiRloP,Angophora hispida,AngHis,Murrua,hiRloP,n,219,95,314,165,2.3,1.08,0.47,1.55,0.81,49.3,56
14,AngHis_hiRloP,Angophora hispida,AngHis,Murrua,hiRloP,n,330,108,438,171,3.04,1.68,0.55,2.23,0.87,50.9,49.6
15,PerLan_hiRloP,Persoonia lanceolata,PerLan,Murrua,hiRloP,y,272,58,330,142,4.73,1.54,0.33,1.87,0.8,56.6,55.1
16,BanSer_hiRloP,Banksia serrata,BanSer,Murrua,hiRloP,n,391,137,528,206,2.85,1.61,0.56,2.17,0.84,41.1,41.3
17,PodEla_MUcampus,Podocarpus elatus,PodEla,MUcampus,MUcampus,n,497,189,686,209,2.62,2.38,0.91,3.28,1,47.9,44.3
18,BanSer_hiRloP,Banksia serrata,BanSer,Murrua,hiRloP,n,392,129,521,111,3.05,1.65,0.54,2.19,0.47,42.1,41.7
