Leaf no,Species,Conifer,N-fixing,site,Site 2,site2,Gm,gm/mass,Rd,Rd/mass,Amax for Ci=250,Amax/mass,A/Ci-curve data,TPU/area,TPU/mass,Jmax/area,Jmax/mass,Jmax/TPU mass,average ETR,Last point lower ETR,Last/previous (Jmax),Last/previous (ETR),Jmax/Vcmax,Vcmax/mass,FR,Average Vcmax,Modelled Cc-ci,Ci,Cc-modelled,Cc/Ci-modelled,Ci-Cc-modelled,Measured Ci-Cc -less reliable!,AvGtc,av-CA,av A,Av-Ci,av Ci/CA,av-Cc,Cc/Ci,Ci-Cc,Cc/Ca,Cc-modelled,GE-LMA,dC13,dN15,N%,C%,P%,P/N,GE-N/area,GE-P/area
28,Astrotrichia floccosa,,,hiRhiP,hiRhiP,HiR,0.132,2.242,-1.041,-0.018,9.947,0.168,,6.05,0.102,97.904,1.657,16.184,92.408,Y,0.949,0.923,2.273,0.729,0.274,43.066,,250,174.886,0.7,75.114,,0.114,380.643,10.284,290.745,0.764,213.083,0.733,77.662,0.56,,59.075,-30.1,-3.788,2.08,46.8,0.07,0.015,1.229,0.041
30,Astrotrichia floccosa,,,hiRhiP,hiRhiP,HiR,0.1,1.571,-1.209,-0.019,8.947,0.14,,4.103,0.064,81.576,1.277,19.883,82.132,Y,0.917,0.904,1.956,0.653,0.404,41.709,,250,160.839,0.643,89.161,,0.115,366.42,8.487,291.693,0.796,207.109,0.71,84.584,0.565,,63.89,-29.82,-1.718,1.26,48.1,0.046,0.016,0.805,0.029
31,Astrotrichia floccosa,,,hiRhiP,hiRhiP,HiR,0.1,1.481,-0.705,-0.01,8.987,0.133,,4.528,0.067,90.149,1.336,19.908,88.84,Y,0.918,0.903,2.203,0.606,0.296,40.918,,250,160.121,0.64,89.879,,0.105,382.167,8.805,296.007,0.775,207.948,0.703,88.059,0.544,,67.496,-29.15,-1.65,1.6,46.9,0.055,0.016,1.08,0.037
55,Breynia oblongifolia,,,hiRhiP,hiRhiP,HiR,,,-1.025,-0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.187,-32.2,-3.95,1.61,50,0.029,0.008,1.935,0.035
51,Eucalyptus umbra,,,hiRhiP,hiRhiP,HiR,0.065,0.282,-1.449,-0.006,8.737,0.038,,5.045,0.022,126.712,0.545,25.119,103.626,Y,0.812,0.739,2.406,0.227,0.246,52.657,,250,116.477,0.466,133.523,,0.059,365.75,8.168,226.889,0.62,102.067,0.076,7.547,10.496,,232.316,-31.575,-1.89,0.72,53.9,0.028,0.017,1.673,0.064
52,Eucalyptus umbra,,,hiRhiP,hiRhiP,HiR,0.035,0.252,-0.747,-0.005,3.373,0.024,,2.055,0.015,44.068,0.315,21.441,55.231,N,0.843,1.067,2.613,0.12,0.1,16.864,,250,154.255,0.617,95.745,,0.017,370.46,2.656,213.659,0.577,138.28,0.217,2.079,34.067,,139.967,-32.2,-1.804,0.94,53.3,0.055,0.026,1.316,0.077
53,Lambertia formosa,,,hiRhiP,hiRhiP,HiR,0.085,0.401,-1.568,-0.007,6.657,0.032,,3.382,0.016,93.443,0.443,27.629,110.755,Y,0.948,0.903,3.008,0.147,0.371,31.067,,250,171.264,0.685,78.736,,0.087,383.07,10.593,261.884,0.684,136.581,0.065,9.91,7.855,,211.073,-31.7,-2,0.31,50.5,0.018,0.027,0.654,0.039
44,Macrozamia communis,,Y,hiRhiP,hiRhiP,HiR,0.165,0.82,-1.218,-0.006,9.424,0.047,,6.668,0.033,104.8,0.52,15.716,102.721,N,0.964,1.079,2.718,0.191,0.11,38.553,,250,193.01,0.772,56.99,,0.035,368.1,6.67,176.108,0.478,135.769,0.072,6.192,13.701,,201.579,-27.662,-1.255,1.36,51.7,0.068,0.022,2.741,0.136
45,Macrozamia communis,,Y,hiRhiP,hiRhiP,HiR,0.088,0.366,-1.522,-0.006,6.984,0.029,,6.074,0.025,92.609,0.387,15.248,86.646,N,1.186,1.114,2.853,0.136,0.071,32.455,,250,170.402,0.682,79.598,,0.024,385.9,4.694,182.271,0.472,128.766,0.101,4.222,19.877,,239.424,-26.8,-2.2,1.5,51.1,0.061,0.018,3.591,0.145
37,Notelaea longifolia,,,hiRhiP,hiRhiP,HiR,0.045,0.26,-0.872,-0.005,3.415,0.02,,2.597,0.015,36.321,0.211,13.983,38.395,N,1.133,1.095,2.284,0.092,0.114,15.905,,250,173.948,0.696,76.052,,0.034,370.715,3.652,261.86,0.706,180.541,0.193,2.945,21.056,,172.462,-32.996,-1.8,0.63,50.7,0.027,0.02,1.087,0.047
