spp,Species
AcaFal,Acacia falcata
AcaMyr,Acacia myrtifolia
Acasua,Acacia suaveolens
AgaRob,Agathis robusta
AngHis,Angophora hispida
AraBid,Araucaria bidwilii
AstFlo,Astrotrichia floccosa
BanAem,Banskia aemula
BanInt,Banksia integrifolia
BanMar,Banksia marginata
BanObl,Banksia oblongifolia
BanRob,Banksia robur
BanSer,Banksia serrata
BanSpi,Banksia spinulosa
BreObl,Breynia oblongifolia
CepFor,Cephalotaxus fortunei
CorGum,Corymbia gummifera
EriAus,Eriostemon australasius
EucFib,Eucalyptus fibrosa
EucHae,Eucalyptus haemostoma
EucScl,Eucalyptus sclerophylla
EucUmb,Eucalyptus umbra
GreSpe,Grevillea speciosa
HakDac,Hakea dactyloides
LamFor,Lambertia formosa
MacCom,Macrozamia communis
MacSpi,Macrozamia spiralis
MacTer,Macadamia ternifolia
NotLon,Notelaea longifolia
PerLan,Persoonia lanceolata
PerLau,Persoonia laurina
PerLev,Persoonia levis
PitUnd,Pittosporum undulatum
PodEla,Podocarpus elatus
PolSam,Polyscias sambucifolia
SynGla,Synoum glandulosum
SynGlo,Syncarpia glomulifera
XylPyr,Xylomelum pyriforme
