Species,Year,Month,Chamber,Season,Rep,Duration,Psi_initial_Mpa,Psi_final_Mpa,Psi_average_Mpa,Initial Leaf mass_g,Final leaf mass_g,change_leaf_mass_g,change_umol{H20},LA_m2,FWU_mol H2O/m^2,Ksurf.avg_Psi_umol H2O/m^2/s/Mpa,Cleaf_mol H2O/ m^2/Mpa,Ksurf.LN_umol H2O m-2 s-1 MPa-1,change_psi_Mpa,experiment
Sonneratia alba,2019,April,1,,1,2,-1.64,-1.50,-1.57,0.841,0.843,0.002,88.884,0.002,0.053,-4.726,0.376,4.729,,Dehydration treatments
Sonneratia alba,2019,April,1,,1,4,-1.64,-1.36,-1.50,0.730,0.733,0.004,205.544,0.001,0.160,-7.433,0.568,7.455,,Dehydration treatments
Sonneratia alba,2019,April,1,,1,6,-1.64,-1.16,-1.40,1.976,2.017,0.042,2310.983,0.003,0.717,-23.686,1.512,23.916,,Dehydration treatments
Sonneratia alba,2019,April,1,,1,8,-1.64,-1.07,-1.35,0.871,0.880,0.008,455.530,0.002,0.276,-7.066,0.486,7.172,,Dehydration treatments
Sonneratia alba,2019,April,1,,2,2,-1.75,-1.60,-1.68,1.155,1.158,0.002,122.215,0.002,0.057,-4.750,0.367,4.753,,Dehydration treatments
Sonneratia alba,2019,April,1,,2,4,-1.75,-1.49,-1.62,1.653,1.665,0.012,638.853,0.003,0.219,-9.373,0.819,9.395,,Dehydration treatments
Sonneratia alba,2019,April,1,,2,6,-1.75,-1.24,-1.49,0.817,0.822,0.004,244.431,0.002,0.154,-4.777,0.298,4.826,,Dehydration treatments
Sonneratia alba,2019,April,1,,2,8,-1.75,-0.93,-1.34,0.909,0.925,0.016,888.840,0.002,0.538,-13.945,0.653,14.412,,Dehydration treatments
Sonneratia alba,2019,April,1,,2,10,-1.75,-0.98,-1.37,1.285,1.306,0.021,1172.157,0.002,0.480,-9.760,0.620,10.034,,Dehydration treatments
Sonneratia alba,2019,April,1,,3,2,-2.09,-1.70,-1.90,1.000,1.001,0.001,77.773,0.002,0.040,-2.940,0.104,2.950,,Dehydration treatments
Sonneratia alba,2019,April,1,,3,4,-2.09,-1.53,-1.81,1.189,1.202,0.013,711.072,0.002,0.300,-11.502,0.541,11.594,,Dehydration treatments
Sonneratia alba,2019,April,1,,3,8,-2.09,-1.29,-1.69,0.942,0.957,0.016,883.284,0.002,0.483,-9.937,0.600,10.132,,Dehydration treatments
Sonneratia alba,2019,April,1,,3,10,-2.09,-0.88,-1.48,0.850,0.874,0.025,1372.146,0.002,0.805,-15.061,0.665,15.990,,Dehydration treatments
Sonneratia alba,2019,April,1,,4,4,-1.99,-1.56,-1.78,0.839,0.843,0.004,238.876,0.002,0.130,-5.066,0.304,5.090,,Dehydration treatments
Sonneratia alba,2019,April,1,,4,6,-1.99,-0.85,-1.42,1.203,1.254,0.051,2822.065,0.002,1.341,-43.692,1.179,46.278,,Dehydration treatments
Sonneratia alba,2019,April,1,,4,8,-1.99,-1.08,-1.54,0.726,0.742,0.015,855.508,0.002,0.529,-11.950,0.584,12.315,,Dehydration treatments
Sonneratia alba,2019,April,1,,4,10,-1.99,-0.75,-1.37,0.682,0.700,0.018,977.723,0.002,0.641,-12.998,0.518,14.007,,Dehydration treatments
Sonneratia alba,2019,April,1,,5,2,-1.66,-1.59,-1.62,1.720,1.722,0.002,127.771,0.003,0.042,-3.576,0.686,3.576,,Dehydration treatments
Sonneratia alba,2019,April,1,,5,4,-1.66,-1.35,-1.50,1.003,1.015,0.012,672.185,0.002,0.361,-16.680,1.171,16.739,,Dehydration treatments
Sonneratia alba,2019,April,1,,5,6,-1.66,-1.06,-1.36,0.888,0.904,0.016,872.174,0.002,0.528,-18.029,0.887,18.328,,Dehydration treatments
Sonneratia alba,2019,April,1,,5,8,-1.66,-1.02,-1.34,0.928,0.938,0.010,561.080,0.002,0.302,-7.851,0.475,8.005,,Dehydration treatments
Sonneratia alba,2019,April,1,,5,10,-1.66,-0.99,-1.32,1.475,1.496,0.021,1144.381,0.003,0.417,-8.758,0.631,8.948,,Dehydration treatments
Sonneratia alba,2019,April,2,,1,2,-2.19,-1.81,-2.00,1.208,1.223,0.015,855.508,0.002,0.354,-24.577,0.938,24.651,,Dehydration treatments
Sonneratia alba,2019,April,2,,1,4,-2.19,-1.68,-1.93,1.509,1.524,0.015,833.287,0.003,0.308,-11.070,0.605,11.135,,Dehydration treatments
Sonneratia alba,2019,April,2,,1,6,-2.19,-1.43,-1.81,2.051,2.087,0.036,1994.334,0.004,0.554,-14.201,0.728,14.417,,Dehydration treatments
Sonneratia alba,2019,April,2,,1,8,-2.19,-1.05,-1.62,1.927,1.996,0.069,3822.010,0.003,1.200,-25.737,1.058,26.876,,Dehydration treatments
Sonneratia alba,2019,April,2,,1,10,-2.19,-1.25,-1.72,0.537,0.548,0.011,616.632,0.001,0.531,-8.573,0.568,8.794,,Dehydration treatments
Sonneratia alba,2019,April,2,,2,2,-2.30,-1.82,-2.06,0.971,0.980,0.009,472.196,0.002,0.267,-17.984,0.560,18.065,,Dehydration treatments
Sonneratia alba,2019,April,2,,2,4,-2.30,-1.63,-1.97,1.263,1.277,0.015,816.621,0.002,0.350,-12.340,0.525,12.460,,Dehydration treatments
Sonneratia alba,2019,April,2,,2,6,-2.30,-1.22,-1.76,1.130,1.158,0.028,1538.803,0.002,0.715,-18.805,0.662,19.431,,Dehydration treatments
Sonneratia alba,2019,April,2,,2,8,-2.30,-1.00,-1.65,1.173,1.208,0.035,1927.671,0.002,0.908,-19.103,0.700,20.190,,Dehydration treatments
Sonneratia alba,2019,April,2,,2,10,-2.30,-0.85,-1.57,1.493,1.535,0.042,2344.314,0.003,0.905,-15.978,0.622,17.291,,Dehydration treatments
Sonneratia alba,2019,April,2,,3,2,-2.39,-2.00,-2.19,0.843,0.849,0.006,338.870,0.002,0.189,-12.001,0.483,12.033,,Dehydration treatments
Sonneratia alba,2019,April,2,,3,4,-2.39,-1.91,-2.15,1.592,1.606,0.014,755.514,0.003,0.236,-7.627,0.494,7.658,,Dehydration treatments
Sonneratia alba,2019,April,2,,3,6,-2.39,-1.72,-2.05,0.854,0.864,0.011,588.856,0.002,0.354,-7.981,0.528,8.053,,Dehydration treatments
Sonneratia alba,2019,April,2,,3,8,-2.39,-1.45,-1.92,0.890,0.911,0.022,1199.933,0.002,0.666,-12.070,0.706,12.323,,Dehydration treatments
Sonneratia alba,2019,April,2,,3,10,-2.39,-1.30,-1.84,0.994,1.021,0.028,1544.359,0.002,0.753,-11.343,0.691,11.692,,Dehydration treatments
Sonneratia alba,2019,April,2,,4,2,-2.22,-2.05,-2.13,1.273,1.280,0.008,422.199,0.002,0.179,-11.668,1.053,11.674,,Dehydration treatments
Sonneratia alba,2019,April,2,,4,4,-2.22,-1.75,-1.98,0.797,0.805,0.008,449.975,0.002,0.287,-10.066,0.618,10.112,,Dehydration treatments
Sonneratia alba,2019,April,2,,4,6,-2.22,-1.54,-1.88,0.902,0.916,0.014,777.735,0.002,0.450,-11.110,0.666,11.233,,Dehydration treatments
Sonneratia alba,2019,April,2,,4,8,-2.22,-1.30,-1.76,1.136,1.158,0.022,1238.820,0.002,0.560,-11.065,0.614,11.324,,Dehydration treatments
Sonneratia alba,2019,April,2,,4,10,-2.22,-1.38,-1.80,1.011,1.031,0.021,1138.826,0.001,0.774,-11.958,0.929,12.179,,Dehydration treatments
Sonneratia alba,2019,April,2,,5,2,-2.19,-2.04,-2.12,1.337,1.340,0.003,177.768,0.003,0.067,-4.382,0.460,4.383,,Dehydration treatments
Sonneratia alba,2019,April,2,,5,6,-2.19,-1.57,-1.88,1.440,1.465,0.026,1433.254,0.003,0.526,-12.979,0.845,13.100,,Dehydration treatments
Sonneratia alba,2019,April,2,,5,8,-2.19,-0.76,-1.47,0.827,0.869,0.042,2344.314,0.002,1.349,-31.816,0.942,34.758,,Dehydration treatments
Sonneratia alba,2019,April,2,,5,10,-2.19,-1.37,-1.78,0.756,0.771,0.016,861.063,0.001,0.585,-9.128,0.718,9.292,,Dehydration treatments
Sonneratia alba,2019,April,3,,1,2,-3.91,-3.64,-3.77,1.020,1.027,0.007,416.644,0.002,0.195,-7.190,0.728,7.193,,Dehydration treatments
Sonneratia alba,2019,April,3,,1,4,-3.91,-3.65,-3.78,1.550,1.590,0.040,2216.544,0.003,0.693,-12.741,2.664,12.746,,Dehydration treatments
Sonneratia alba,2019,April,3,,1,6,-3.91,-3.51,-3.71,1.222,1.255,0.033,1811.010,0.003,0.661,-8.245,1.690,8.253,,Dehydration treatments
Sonneratia alba,2019,April,3,,1,8,-3.91,-3.44,-3.67,0.866,0.911,0.045,2516.527,0.002,1.364,-12.899,2.921,12.916,,Dehydration treatments
Sonneratia alba,2019,April,3,,2,2,-3.75,-3.75,-3.75,1.073,1.092,0.020,1094.384,0.002,0.465,-17.221,92.981,17.221,,Dehydration treatments
Sonneratia alba,2019,April,3,,2,4,-3.75,-3.10,-3.42,0.757,0.807,0.050,2788.734,0.002,1.571,-31.856,2.394,31.954,,Dehydration treatments
Sonneratia alba,2019,April,3,,2,6,-3.75,-3.76,-3.76,0.986,1.037,0.050,2783.179,0.002,1.256,-15.484,-139.600,15.484,,Dehydration treatments
Sonneratia alba,2019,April,3,,2,8,-3.75,-3.49,-3.62,1.023,1.120,0.097,5410.811,0.002,2.381,-22.830,9.087,22.840,,Dehydration treatments
Sonneratia alba,2019,April,3,,3,2,-3.94,-3.52,-3.73,0.627,0.648,0.021,1177.712,0.002,0.692,-25.745,1.640,25.772,,Dehydration treatments
Sonneratia alba,2019,April,3,,3,4,-3.94,-3.69,-3.82,0.901,0.927,0.026,1438.809,0.002,0.587,-10.689,2.304,10.693,,Dehydration treatments
