Species,cone_age,flowering_time,resprouting_capacity,bud_bank_location,serotiny,germination_%,seed_dry_mass_mg,seed_length_min_mm,seed_length_max_mm,seed_width_min_mm,seed_width_max_mm,reproductive_maturity_min,reproductive_maturity_max,reproductive_maturity_mean,post_fire_recruitment,seedbank_location,seedling_establishment_conditions,seed_dormancy_class
Banksia attenuata,,YYNNNNNNNNNY,resprouts,lignotuber,serotiny_high,,105.2,11,16,10,15,2,4,,post_fire_recruitment,canopy_seedbank soil_seedbank_absent,establish_post_fire,non_dormant
Banksia leptophylla,,NNYYYYYYNNNN,fire_killed,,serotiny_high,,25.4,12,15,3,4,,,3,post_fire_recruitment,canopy_seedbank soil_seedbank_absent,establish_post_fire,non_dormant
Banksia menziesii,,NNYYYYYYYNNN,resprouts,epicormic_buds,serotiny_low,,86.7,11,14,10,11,5,7,,post_fire_recruitment,canopy_seedbank soil_seedbank_absent,establish_post_fire,non_dormant
Banksia prionotes,,NYYYYYYYNNNN,fire_killed,,serotiny_low,,19.8,8,10,5,6,4,5,,post_fire_recruitment,canopy_seedbank soil_seedbank_absent,establish_post_fire,non_dormant
Banksia attenuata,all ages,,,,,42,,,,,,,,,,,,
Banksia leptophylla,all ages,,,,,63,,,,,,,,,,,,
Banksia menziesii,all ages,,,,,3,,,,,,,,,,,,
Banksia prionotes,all ages,,,,,31,,,,,,,,,,,,
Banksia attenuata,2,,,,,75,,,,,,,,,,,,
Banksia attenuata,5,,,,,60,,,,,,,,,,,,
Banksia attenuata,8,,,,,51,,,,,,,,,,,,
Banksia leptophylla,2,,,,,96,,,,,,,,,,,,
Banksia leptophylla,5,,,,,96,,,,,,,,,,,,
Banksia leptophylla,8,,,,,96,,,,,,,,,,,,
Banksia leptophylla,11,,,,,65,,,,,,,,,,,,
Banksia menziesii,2,,,,,11,,,,,,,,,,,,
Banksia menziesii,5,,,,,8,,,,,,,,,,,,
Banksia menziesii,8,,,,,7,,,,,,,,,,,,
Banksia prionotes,2,,,,,76,,,,,,,,,,,,
Banksia prionotes,5,,,,,42,,,,,,,,,,,,
Banksia prionotes,8,,,,,40,,,,,,,,,,,,
