treatment_name,Temp,CO2,Potnum,Replicate
Amb_280_252_1,Amb,280,252,1
Amb_280_252_2,Amb,280,252,2
Amb_280_264_1,Amb,280,264,1
Amb_280_264_2,Amb,280,264,2
Amb_280_265_1,Amb,280,265,1
Amb_280_265_2,Amb,280,265,2
Amb_280_273_1,Amb,280,273,1
Amb_280_273_2,Amb,280,273,2
Amb_280_295_1,Amb,280,295,1
Amb_280_295_2,Amb,280,295,2
Amb_400_165_1,Amb,400,165,1
Amb_400_165_2,Amb,400,165,2
Amb_400_168_1,Amb,400,168,1
Amb_400_168_2,Amb,400,168,2
Amb_400_172_1,Amb,400,172,1
Amb_400_172_2,Amb,400,172,2
Amb_400_176_1,Amb,400,176,1
Amb_400_176_2,Amb,400,176,2
Amb_400_194_1,Amb,400,194,1
Amb_400_194_2,Amb,400,194,2
Amb_640_51_1,Amb,640,51,1
Amb_640_51_2,Amb,640,51,2
Amb_640_52_1,Amb,640,52,1
Amb_640_52_2,Amb,640,52,2
Amb_640_56_1,Amb,640,56,1
Amb_640_56_2,Amb,640,56,2
Amb_640_57_1,Amb,640,57,1
Amb_640_57_2,Amb,640,57,2
Amb_640_84_1,Amb,640,84,1
Amb_640_84_2,Amb,640,84,2
Elv_280_355_1,Elv,280,355,1
Elv_280_355_2,Elv,280,355,2
Elv_280_360_1,Elv,280,360,1
Elv_280_360_2,Elv,280,360,2
Elv_280_370_1,Elv,280,370,1
Elv_280_370_2,Elv,280,370,2
Elv_280_373_1,Elv,280,373,1
Elv_280_373_2,Elv,280,373,2
Elv_280_386_1,Elv,280,386,1
Elv_280_386_2,Elv,280,386,2
Elv_400_467_1,Elv,400,467,1
Elv_400_467_2,Elv,400,467,2
Elv_400_470_1,Elv,400,470,1
Elv_400_470_2,Elv,400,470,2
Elv_400_471_1,Elv,400,471,1
Elv_400_471_2,Elv,400,471,2
Elv_400_482_1,Elv,400,482,1
Elv_400_482_2,Elv,400,482,2
Elv_400_494_1,Elv,400,494,1
Elv_400_494_2,Elv,400,494,2
Elv_640_554_1,Elv,640,554,1
Elv_640_554_2,Elv,640,554,2
Elv_640_558_1,Elv,640,558,1
Elv_640_558_2,Elv,640,558,2
Elv_640_561_1,Elv,640,561,1
Elv_640_561_2,Elv,640,561,2
Elv_640_590_1,Elv,640,590,1
Elv_640_590_2,Elv,640,590,2
Elv_640_597_1,Elv,640,597,1
Elv_640_597_2,Elv,640,597,2
