Species,Temp,CO2,Potnum,Replicate,AirSpace (%),Pali (%),Pali2Air,EpiT (um),LaminaT (um),PaliCellL (um),PaliCellW (um),PaliLayNum,EpiDen (mm-2),StomDen (mm-2),SI (%),LeafpercentN (%),LeafNarea (g m-2),LeafpercentC (%),LSolSugA (g m-2),LStarchA (g m-2),LSolProA (g m-2),LInsolProA (g m-2),ChlAandB (umol m-2),ChlAB,percentCellWall (%),LMA (g m-2),Density (g cm-3),Photo_Amax_umol_per_m2_s,gs_at_Amax_mol_per_m2_s,ci_at_Amax_umol_per_mol,transpiration_at_A_max_mmol_per_m2_s,Photo_Asat_umol_per_m2_s,gs_at_Asat_mol_per_m2_s,ci_at_Asat_umol_per_mol,transpiration_at_A_sat_mmol_per_m2_s,context
Eucalyptus sideroxylon,Amb,280,252,1,24.19578887833333,75.80421112166667,3.567484874333333,18.373264444444445,249.109176,34.4541162,7.55953208,5,2004.3859648333334,439.69298246666665,17.986798183333335,2.24,2.8,54.49,9.6,4,8.95,6.83,724.03,2.56,32.47,124.91,0.5,32.32,0.3039,978.1,3.333,16.23,0.3003,173.2,3.879,Amb_temperature_and_280_ppm_CO2
Eucalyptus sideroxylon,Amb,280,252,2,23.786925786666668,76.21307421333333,3.2326292836666664,19.031289,251.12420833333334,33.88933725,8.504494,5.2,2048.245614,337.71929825,14.158424056666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amb_temperature_and_280_ppm_CO2
Eucalyptus sideroxylon,Amb,280,264,1,21.355929742,78.644070258,3.778480235,15.939079,269.42595416666666,38.9483932,9.20986092,5.2,1746.7105263333333,378.2894736833333,17.798233978333332,2.14,2.79,54.46,10.37,5.11,9.97,15.57,572.1,2.38,29.82,130.69,0.49,31.84,0.1895,866.7,3.39,15.139999999999999,0.398,197.9,6.107,Amb_temperature_and_280_ppm_CO2
Eucalyptus sideroxylon,Amb,280,264,2,21.595195336,78.404804664,4.2537036702,15.305254,262.099948,38.2565976,8.69625834,5.8,1610.745614,336.6228070166667,17.218247560000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amb_temperature_and_280_ppm_CO2
Eucalyptus sideroxylon,Amb,280,265,1,25.102313752,74.897686248,3.0374088908,15.591569,239.255164,36.1749694,9.13086854,5.6,1615.1315789999999,255.48245615,13.614566593333333,2.25,2.54,54.98,6.01,9.01,7.89,15.06,791.97,0.17,30.09,112.95,0.48,31.89,0.10025,629.4,1.52,11.99,0.2491,183.2,2.6670000000000003,Amb_temperature_and_280_ppm_CO2
Eucalyptus sideroxylon,Amb,280,265,2,30.517340918,69.482659082,2.6315994628,15.943824,227.618032,37.0341992,9.65772504,5.6,1994.517544,330.04385965,14.135978891666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amb_temperature_and_280_ppm_CO2
Eucalyptus sideroxylon,Amb,280,273,1,30.84104859,69.15895141,2.5819826318,16.819054,244.79146,33.4102966,9.448144,5.2,1624.9999998333333,315.78947368333337,16.269523983333332,2.01,2.34,54.87,13.45,7.13,8.31,1.98,547.72,2.57,26.42,116.33,0.47,26.95,0.1322,815.8,2.664,11.2,0.21559999999999999,180,3.415,Amb_temperature_and_280_ppm_CO2
Eucalyptus sideroxylon,Amb,280,273,2,34.139549122,65.86045087800001,2.0247906824,17.428155,248.660668,34.8061132,8.8622171,5.6,1939.6929823333335,396.9298245666667,16.919358161666665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amb_temperature_and_280_ppm_CO2
Eucalyptus sideroxylon,Amb,280,295,1,31.75776772,68.24223228,2.5660740844,17.979673000000002,226.410808,35.79373,8.82290972,5,1664.4736841666668,257.6754386,13.348071366666666,1.83,2.17,55.57,8.36,4.67,3.99,10.11,413.49,2.46,29.9,118.8,0.52,31.87,0.09925,637.6,1.4609999999999999,11.6,0.1462,139.2,1.95,Amb_temperature_and_280_ppm_CO2
Eucalyptus sideroxylon,Amb,280,295,2,39.028377684,60.971622316,1.5729772002,18.695981,229.84312,33.4090124,9.05404238,5,1759.8684211666666,376.0964912333333,17.55796814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amb_temperature_and_280_ppm_CO2
