find,replace
aril,aril
caruncle,eliasome
indehiscent,NA
seed unilaterally winged,wings
seed winged,wings
fruit winged,wings
seed containing a sac of air,inflated_parts
"pericarp, aril, arillode",aril
thick and succulent pericarp; aril,aril
bladdery wings,wings
nut winged,wings
fleshy wings/capsule,wings
"indehiscent, woody",NA
strophiole on seed,eliasome
fleshy dehiscent capsule,NA
fruit separates into fleshy nutlets,NA
seed wing obsolete,none
receptacle,receptacle
receptacle (small and inconspicuous),receptacle
woody bract scales; fertile scales not fleshy at maturity,woody_bract_scales
fleshy seeds,NA
sarcotesta,sarcotesta
