Accepted taxon name in Plant List www.theplantlist.org,growth habit,growth habit source,climbing type,climbing type source,dispersal appendage/syndrome,dispersal source ,SLA (mm2/mg),SLA source,leaf size (cm2),leaf size source,seed mass (mg) ,seed mass source,,,,,,,,
Abrus precatorius,woody,25,twiner,9,water,57,28.97,57,0.63,9,75.79,57,,,,,,,,
Abuta grandifolia,woody,26,twiner,62,berry,57,,,101.91,"34, 57",923.68,53,,,,,,,,
Abuta imene,,,twiner,62,drupe,63,,,70.00,4,,,,,,,,,,
Abuta panamensis,woody,5,twiner,5,drupe,"5,57",15.3482755,57,58.64,"3,33,57",,,,,,,,,,
Abuta racemosa,woody,5,twiner,5,drupe,5,,,34.30,"3,5",579.00,53,,,,,,,,
Abuta rufescens,,,,,drupe,5,5.555555556,57,,,,,,,,,,,,
Acacia adhaerens,,,,,,,,,,,,,,,,,,,,
Acacia alemquerensis,,,,,,,,,,,,,,,,,,,,
Acacia ataxacantha,woody,97,hooks,97,,,,,0.02,21,87.77,53,,,,,,,,
Acacia brevispica,woody,25,hooks,72,unassisted,53,,,0.00,83,202.16,53,,,,,,,,
Acacia caesia,woody,25,hooks,"9,26",unassisted,75,,,1.76,9,,,,,,,,,,
Acacia erythrocalyx,woody,26,hooks,26,,,,,0.02,26,,,,,,,,,,
Acacia grandistipula,,,,,,,,,,,,,,,,,,,,
Acacia hayesii,woody,5,hooks,5,wind,43,,,0.21,5,,,,,,,,,,
Acacia hohenackeri,,,,,,,,,,,,,,,,,,,,
Acacia intsia,,,scrambler,76,unassisted,76,,,,,,,,,,,,,,
Acacia kamerunensis,woody,67,hooks,67,wind,67,,,0.00,21,0.06,53,,,,,,,,
Acacia lacerans,,,,,,,,,,,,,,,,,,,,
Acacia montigena,woody,25,hooks,25,elaiosome,"53,57",,,0.05,25,16.94,53,,,,,,,,
Acacia pentagona,woody,97,twiner,97,,,,,0.02,21,172.06,100,,,,,,,,
Acacia plumosa,,,hooks,92,,,,,,,,,,,,,,,,
Acacia riparia,,43,hooks,5,bird mammal ,43,,,0.03,"3,17",127.12,53,,,,,,,,
Acacia rugata,,,,,,,,,,,,,,,,,,,,
Acacia tenuifolia,woody,43,spines,17,wind,"53,57",,,0.01,17,49.31,100,,,,,,,,
Acacia torta,,,hooks,12,unassisted,76,,,0.11,12,,,,,,,,,,
Acacia tucumanensis,,,,,,,,,,,,,,,,,,,,
Acacia velutina,,,,,,,,,,,,,,,,,,,,
Actinidia arguta,woody,10,scrambler,9,berry,10,,,47.25,9,1.60,53,,,,,,,,
Actinidia callosa,woody,25,twiner,77,berry,10,,,35.70,9,3.47,100,,,,,,,,
Actinidia rufa,woody,10,scrambler,9,berry,10,,,45.50,9,,,,,,,,,,
Adelia triloba,woody,5,scrambler,5,ballistic,5,,,28.05,"5,57",129.00,53,,,,,,,,
Adelobotrys adscendens,woody,5,scrambler,5,wind,"5,57",12.5994,57,50.46,"5,57",,,,,,,,,,
Adelphia hiraea,,,,,,,,,,,,,,,,,,,,
Adenia cissampeloides,woody,21,tendrils,9,,,,,59.85,21,11.74,100,,,,,,,,
Adenia hondala,woody,24,tendrils,9,aril,24,,,176.40,24,,,,,,,,,,
Adenia kigogoensis,herbaceous,23,tendrils,9,fleshy,23,,,56.00,23,63.49,100,,,,,,,,
Adenia litoralis,herbaceous,23,tendrils,9,,,,,42.00,23,,,,,,,,,,
Adenia lobata,woody,36,tendrils,9,animal,36,,,115.50,36,33.73,100,,,,,,,,
