Family,Original taxon in paper ,Accepted taxon name in Plant List www.theplantlist.org/,Specific Location,Latitude,Longitude ,Country,Original source
Vitaceae,Cissus hypoglauca,unresolved,"Cooloola National Park, Queensland, Australia",-25.93,153.08,Australia,"Carsten, L. D., Juola, F. A., Male, T. D., & Cherry, S. (2002). Host associations of lianas in a south-east Queensland rain forest. Journal of Tropical Ecology,18(1), 107-120."
Vitaceae,Cissus sterculiifolia,Nothocissus sterculiifolia,"Cooloola National Park, Queensland, Australia",-25.93,153.08,Australia,"Carsten, L. D., Juola, F. A., Male, T. D., & Cherry, S. (2002). Host associations of lianas in a south-east Queensland rain forest. Journal of Tropical Ecology,18(1), 107-120."
Rubiaceae,Coelospermum paniculatum,Coelospermum paniculatum,"Cooloola National Park, Queensland, Australia",-25.93,153.08,Australia,"Carsten, L. D., Juola, F. A., Male, T. D., & Cherry, S. (2002). Host associations of lianas in a south-east Queensland rain forest. Journal of Tropical Ecology,18(1), 107-120."
Flagellariaceae,Flagellaria indica,Flagellaria indica,"Cooloola National Park, Queensland, Australia",-25.93,153.08,Australia,"Carsten, L. D., Juola, F. A., Male, T. D., & Cherry, S. (2002). Host associations of lianas in a south-east Queensland rain forest. Journal of Tropical Ecology,18(1), 107-120."
Apocynaceae,Marsdenia glandulifera,unresolved,"Cooloola National Park, Queensland, Australia",-25.93,153.08,Australia,"Carsten, L. D., Juola, F. A., Male, T. D., & Cherry, S. (2002). Host associations of lianas in a south-east Queensland rain forest. Journal of Tropical Ecology,18(1), 107-120."
Apocynaceae,Melodinus australis,Melodinus australis,"Cooloola National Park, Queensland, Australia",-25.93,153.08,Australia,"Carsten, L. D., Juola, F. A., Male, T. D., & Cherry, S. (2002). Host associations of lianas in a south-east Queensland rain forest. Journal of Tropical Ecology,18(1), 107-120."
Annonaceae,Melodorum leichhardtii,unresolved,"Cooloola National Park, Queensland, Australia",-25.93,153.08,Australia,"Carsten, L. D., Juola, F. A., Male, T. D., & Cherry, S. (2002). Host associations of lianas in a south-east Queensland rain forest. Journal of Tropical Ecology,18(1), 107-120."
Fabaceae,Millettia megasperma,Callerya megasperma,"Cooloola National Park, Queensland, Australia",-25.93,153.08,Australia,"Carsten, L. D., Juola, F. A., Male, T. D., & Cherry, S. (2002). Host associations of lianas in a south-east Queensland rain forest. Journal of Tropical Ecology,18(1), 107-120."
Rubiaceae,Morinda jasminoides,Morinda jasminoides,"Cooloola National Park, Queensland, Australia",-25.93,153.08,Australia,"Carsten, L. D., Juola, F. A., Male, T. D., & Cherry, S. (2002). Host associations of lianas in a south-east Queensland rain forest. Journal of Tropical Ecology,18(1), 107-120."
Piperaceae,Piper novae-hollandiae,unresolved,"Cooloola National Park, Queensland, Australia",-25.93,153.08,Australia,"Carsten, L. D., Juola, F. A., Male, T. D., & Cherry, S. (2002). Host associations of lianas in a south-east Queensland rain forest. Journal of Tropical Ecology,18(1), 107-120."
Rubiaceae,Caelospermum paniculatum,unresolved,Iluka Nature Reserve,-29.41,153.36,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035
Moraceae,Trophis scandens,Alchornea scandens,Iluka Nature Reserve,-29.41,153.36,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035
Moraceae,Trophis scandens,Alchornea scandens,Green point,-35.02,150.77,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2036
Moraceae,Trophis scandens,Alchornea scandens,Wooyung Nature Reserve,-28.44,153.55,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2037
Moraceae,Trophis scandens,Alchornea scandens,Sea Acres Nature Reserve,-31.47,152.93,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2038
Moraceae,Trophis scandens,Alchornea scandens,Bass Point Reserve,-34.60,150.90,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2039
Moraceae,Trophis scandens,Alchornea scandens,Seal Rocks,-32.43,152.53,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2040
Aphanopetalaceae,Aphanopetalum resinosum,Aphanopetalum resinosum,Bunga Head ,-36.58,150.05,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2047
Arecaceae,Calamus muelleri,Calamus muelleri,Bongil Bongil NP,-30.44,153.06,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Fabaceae,Callerya australis,Callerya australis,Sea Acres Nature Reserve,-31.47,152.93,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Vitaceae,Cayratia clematidea,Cayratia clematidea,Bass Point Reserve,-34.60,150.90,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
