species_name,seed_mass_max_Kew_2019_1,seed_mass_max_Mokany_2015,seed_mass_max_RBGK_2014,seed_mass_to_keep_max,seed_mass_mean_Kew_2019_1,seed_mass_mean_Mokany_2015,seed_mass_mean_RBGK_2014,seed_mass_to_keep_mean,original_name,seed_mass_unique
Carex raleighii,0.98,0.63,NA,keep,0.81,0.63,NA,keep,Carex raleighii,seed_mass_to_keep
Carex tasmanica,2.3,1.28,NA,keep,1.57,1.28,NA,keep,Carex tasmanica,seed_mass_to_keep
Carex tereticaulis,1.47,1.27,NA,keep,1.24,1.27,NA,keep,Carex tereticaulis,seed_mass_to_keep
Carex viridula subsp. brachyrhyncha,NA,1.43,NA,keep,NA,1.43,NA,keep,Carex lepidocarpa,seed_mass_to_keep
Carex viridula subsp. oedocarpa,NA,1.43,NA,keep,NA,1.43,NA,keep,Carex demissa,seed_mass_to_keep
Carpha alpina,0.84,1.45,NA,keep,0.84,1.45,NA,keep,Carpha alpina,seed_mass_to_keep
Carpha curvata,1.82,1.82,NA,omit,1.82,1.82,NA,omit,Carpha curvata,NA
Carpha rodwayi,1.92,1.55,NA,keep,1.68,1.55,NA,keep,Carpha rodwayi,seed_mass_to_keep
Carpobrotus rossii,0.22,32.98,NA,keep,0.22,32.98,NA,keep,Carpobrotus rossii,seed_mass_to_keep
Cassinia aculeata,0.08,0.08,NA,omit,0.07,0.08,NA,keep,Cassinia aculeata,seed_mass_to_keep
Cassytha glabella,41.73,5.26,NA,keep,28.26,5.26,NA,keep,Cassytha glabella,seed_mass_to_keep
Cassytha melantha,73.03,72.97,NA,keep,73.03,72.97,NA,keep,Cassytha melantha,seed_mass_to_keep
Cassytha pubescens,60.58,23.69,NA,keep,38.97,23.69,NA,keep,Cassytha pubescens,seed_mass_to_keep
Catapodium rigidum,NA,1.09,NA,keep,NA,1.09,NA,keep,Catapodium rigidum,seed_mass_to_keep
Celmisia asteliifolia,2.18,0.83,NA,keep,2.18,0.83,NA,keep,Celmisia asteliifolia,seed_mass_to_keep
Celmisia saxifraga,0.82,0.83,NA,keep,0.82,0.83,NA,keep,Celmisia saxifraga,seed_mass_to_keep
Cenarrhenes nitida,235.3,235.3,NA,omit,235.3,235.3,NA,omit,Cenarrhenes nitida,NA
Centaurium tenuiflorum,NA,0.09,NA,keep,NA,0.09,NA,keep,Centaurium tenuiflorum,seed_mass_to_keep
Centella cordifolia,NA,1.26,NA,keep,NA,1.26,NA,keep,Centella cordifolia,seed_mass_to_keep
Centipeda elatinoides,0.14,0.14,NA,omit,0.14,0.14,NA,omit,Centipeda elatinoides,NA
Centipeda minima,0.02,0.14,NA,keep,0.02,0.14,NA,keep,Centipeda minima,seed_mass_to_keep
Centrolepis aristata,0.05,0.08,NA,keep,0.05,0.08,NA,keep,Centrolepis aristata,seed_mass_to_keep
Centrolepis fascicularis,0.13,0.14,NA,keep,0.13,0.14,NA,keep,Centrolepis fascicularis,seed_mass_to_keep
Centrolepis monogyna,0.08,0.08,NA,omit,0.08,0.08,NA,omit,Centrolepis monogyna,NA
Centrolepis muscoides,NA,0.08,NA,keep,NA,0.08,NA,keep,Centrolepis muscoides,seed_mass_to_keep
Centrolepis polygyna,0.09,0.09,NA,omit,0.06,0.09,NA,keep,Centrolepis polygyna,seed_mass_to_keep
Centrolepis strigosa,0.03,0.03,NA,omit,0.03,0.03,NA,omit,Centrolepis strigosa,NA
Chaerophyllum australianum,2.19,0.79,NA,keep,2.19,0.79,NA,keep,Oreomyrrhis ciliata,seed_mass_to_keep
Chaerophyllum eriopodum,2.01,1.67,NA,keep,2.01,1.67,NA,keep,Oreomyrrhis eriopoda,seed_mass_to_keep
Chamaescilla corymbosa,0.82,0.79,NA,keep,0.7,0.79,NA,keep,Chamaescilla corymbosa,seed_mass_to_keep
Cheesemania radicata,1.49,1.49,NA,omit,1.49,1.49,NA,omit,Cheesemania radicata,NA
Cheilanthes austrotenuifolia,NA,3.3,NA,keep,NA,3.3,NA,keep,Cheilanthes austrotenuifolia,seed_mass_to_keep
Cheilanthes sieberi,NA,3.3,NA,keep,NA,3.3,NA,keep,Cheilanthes sieberi,seed_mass_to_keep
Chiloglottis cornuta,NA,0.01,NA,keep,NA,0.01,NA,keep,Chiloglottis cornuta,seed_mass_to_keep
Chiloglottis grammata,NA,0.01,NA,keep,NA,0.01,NA,keep,Chiloglottis grammata,seed_mass_to_keep
Chiloglottis gunnii,NA,0.01,NA,keep,NA,0.01,NA,keep,Chiloglottis gunnii,seed_mass_to_keep
Chiloglottis reflexa,NA,0.01,NA,keep,NA,0.01,NA,keep,Chiloglottis reflexa,seed_mass_to_keep
Chiloglottis triceratops,NA,0.01,NA,keep,NA,0.01,NA,keep,Chiloglottis triceratops,seed_mass_to_keep
Chordifex hookeri,NA,1.46,NA,keep,NA,1.46,NA,keep,Chordifex hookeri,seed_mass_to_keep
Chordifex hookeri,NA,1.46,NA,keep,NA,1.46,NA,keep,Restio hookeri,seed_mass_to_keep
Chordifex monocephalus,NA,1.46,NA,keep,NA,1.46,NA,keep,Restio monocephalus,seed_mass_to_keep
Chrysocephalum apiculatum,0.15,0.07,NA,keep,0.07,0.07,NA,omit,Chrysocephalum apiculatum,seed_mass_to_keep
Chrysocephalum semipapposum,0.07,0.07,NA,omit,0.05,0.07,NA,keep,Chrysocephalum semipapposum,seed_mass_to_keep
Clematis aristata,3.85,2.95,NA,keep,2.07,2.95,NA,keep,Clematis aristata,seed_mass_to_keep
Clematis gentianoides,2.97,2.97,NA,omit,2.97,2.97,NA,omit,Clematis gentianoides,NA
Clematis microphylla,NA,2.96,2.68,keep,NA,2.96,2.68,keep,Clematis microphylla,seed_mass_to_keep
Colobanthus apetalus,0.08,0.09,NA,keep,0.07,0.09,NA,keep,Colobanthus apetalus,seed_mass_to_keep
Comesperma calymega,0.56,1.11,NA,keep,0.56,1.11,NA,keep,Comesperma calymega,seed_mass_to_keep
Comesperma defoliatum,NA,1.11,NA,keep,NA,1.11,NA,keep,Comesperma defoliatum,seed_mass_to_keep
Comesperma ericinum,1.16,1.11,NA,keep,1.07,1.11,NA,keep,Comesperma ericinum,seed_mass_to_keep
Comesperma retusum,1.04,1.03,NA,keep,1.03,1.03,NA,omit,Comesperma retusum,seed_mass_to_keep
Comesperma volubile,1.19,1.19,NA,omit,1.19,1.19,NA,omit,Comesperma volubile,NA
Convolvulus angustissimus,15.82,2.25,NA,keep,12.16,2.25,NA,keep,Convolvulus angustissimus,seed_mass_to_keep
Convolvulus erubescens,6.1,2.25,NA,keep,4.1,2.25,NA,keep,Convolvulus erubescens,seed_mass_to_keep
Coprosma hirtella,36.89,33.33,NA,keep,34.06,33.33,NA,keep,Coprosma hirtella,seed_mass_to_keep
Coprosma moorei,1.19,18.13,NA,keep,1.19,18.13,NA,keep,Coprosma moorei,seed_mass_to_keep
Coprosma nitida,10.09,17.55,NA,keep,10.09,17.55,NA,keep,Coprosma nitida,seed_mass_to_keep
Coprosma perpusilla,1.46,18.13,NA,keep,1.46,18.13,NA,keep,Coprosma perpusilla,seed_mass_to_keep
Coprosma pumila,NA,18.13,NA,keep,NA,18.13,NA,keep,Coprosma pumila,seed_mass_to_keep
Coprosma quadrifida,16.58,3.5,NA,keep,9.96,3.5,NA,keep,Coprosma quadrifida,seed_mass_to_keep
Coronidium scorpioides,1.89,0.15,NA,keep,0.51,0.15,NA,keep,Coronidium scorpioides,seed_mass_to_keep
Correa alba,7.21,1.27,NA,keep,7.21,1.27,NA,keep,Correa alba,seed_mass_to_keep
Correa backhouseana,6.11,1.27,NA,keep,6.11,1.27,NA,keep,Correa backhousiana,seed_mass_to_keep
Correa lawrenceana,10.79,1.27,NA,keep,10.79,1.27,NA,keep,Correa lawrenceana,seed_mass_to_keep
Correa reflexa,4.6,1.27,NA,keep,4.6,1.27,NA,keep,Correa reflexa,seed_mass_to_keep
Corybas aconitiflorus,NA,0.01,NA,keep,NA,0.01,NA,keep,Corybas aconitiflorus,seed_mass_to_keep
Corybas diemenicus,NA,0.01,NA,keep,NA,0.01,NA,keep,Corybas diemenicus,seed_mass_to_keep
Corybas incurvus,NA,0.01,NA,keep,NA,0.01,NA,keep,Corysanthes incurva,seed_mass_to_keep
Cotula alpina,0.31,0.29,NA,keep,0.28,0.29,NA,keep,Cotula alpina,seed_mass_to_keep
Cotula australis,0.08,0.06,NA,keep,0.06,0.06,NA,omit,Cotula australis,seed_mass_to_keep
Craspedia alpina,NA,0.78,0.55,keep,NA,0.78,0.55,keep,Craspedia alpina,seed_mass_to_keep
Craspedia glauca,0.86,0.78,NA,keep,0.62,0.78,NA,keep,Craspedia glauca,seed_mass_to_keep
Craspedophyllum marginatum,NA,3.3,NA,keep,NA,3.3,NA,keep,Hymenophyllum marginatum,seed_mass_to_keep
Crassula decumbens,0.01,0.01,NA,omit,0.01,0.01,NA,omit,Crassula decumbens,NA
Crassula helmsii,0.21,0.21,NA,omit,0.21,0.21,NA,omit,Crassula helmsii,NA
Crassula peduncularis,0,0.01,NA,keep,0,0.01,NA,keep,Crassula peduncularis,seed_mass_to_keep
Crassula sieberiana,0.08,0.04,NA,keep,0.03,0.04,NA,keep,Crassula sieberiana,seed_mass_to_keep
Crepidomanes venosum,NA,3.3,NA,keep,NA,3.3,NA,keep,Crepidomanes venosum,seed_mass_to_keep
Crocosmia x crocosmiiflora,NA,2.11,NA,keep,NA,2.11,NA,keep,Crocosmia Xcrocosmiiflora,seed_mass_to_keep
Cryptandra amara,1.45,1.02,NA,keep,1.07,1.02,NA,keep,Cryptandra amara,seed_mass_to_keep
Cryptostylis subulata,NA,0.01,NA,keep,NA,0.01,NA,keep,Cryptostylis subulata,seed_mass_to_keep
Ctenopteris heterophylla,NA,3.3,NA,keep,NA,3.3,NA,keep,Ctenopteris heterophylla,seed_mass_to_keep
Cyathea australis,NA,3.3,NA,keep,NA,3.3,NA,keep,Cyathea australis,seed_mass_to_keep
Cyathodes glauca,NA,81.7,106.21,keep,NA,81.7,106.21,keep,Cyathodes glauca,seed_mass_to_keep
Cyathodes straminea,NA,26.29,26,keep,NA,26.29,26,keep,Cyathodes straminea,seed_mass_to_keep
Cycnogeton procerum,8.25,2.08,16.63,keep,8.25,2.08,16.63,keep,Triglochin procera,seed_mass_to_keep
Cycnogeton procerum,8.25,2.08,16.63,keep,8.25,2.08,16.63,keep,Triglochin procerum,seed_mass_to_keep
Cycnogeton rheophilum,3.82,3.82,3.82,omit,3.82,3.82,3.82,omit,Triglochin rheophilum,NA
Cymbonotus preissianus,NA,0.4,NA,keep,NA,0.4,NA,keep,Cymbonotus preissianus,seed_mass_to_keep
Cynoglossum suaveolens,NA,0.72,NA,keep,NA,0.72,NA,keep,Cynoglossum suaveolens,seed_mass_to_keep
Cyperus gunnii,0.23,1.44,NA,keep,0.21,1.44,NA,keep,Cyperus gunnii,seed_mass_to_keep
Cyphanthera tasmanica,2.24,2.24,NA,omit,2.24,2.24,NA,omit,Cyphanthera tasmanica,NA
Cyrtostylis reniformis,NA,0.01,NA,keep,NA,0.01,NA,keep,Cyrtostylis reniformis,seed_mass_to_keep
Cystopteris tasmanica,NA,3.3,NA,keep,NA,3.3,NA,keep,Cystopteris tasmanica,seed_mass_to_keep
Dampiera stricta,NA,1.25,NA,keep,NA,1.25,NA,keep,Dampiera stricta,seed_mass_to_keep
Danthonia decumbens,NA,1.21,NA,keep,NA,1.21,NA,keep,Danthonia decumbens,seed_mass_to_keep
Daucus glochidiatus,2.19,1.26,NA,keep,2.19,1.26,NA,keep,Daucus glochidiatus,seed_mass_to_keep
Daviesia latifolia,5.34,5.34,NA,omit,4.28,5.34,NA,keep,Daviesia latifolia,seed_mass_to_keep
Daviesia ulicifolia,8.4,5.34,NA,keep,8.4,5.34,NA,keep,Daviesia ulicifolia,seed_mass_to_keep
Deyeuxia innominata,NA,0.33,NA,keep,NA,0.33,NA,keep,Deyeuxia innominata,seed_mass_to_keep
Deyeuxia monticola,NA,0.46,NA,keep,NA,0.46,NA,keep,Deyeuxia monticola,seed_mass_to_keep
Dianella amoena,5.19,5.1,NA,keep,5.19,5.1,NA,keep,Dianella amoena,seed_mass_to_keep
Dianella brevicaulis,3.55,3.56,NA,keep,3.55,3.56,NA,keep,Dianella brevicaulis,seed_mass_to_keep
Dianella revoluta,6.02,4.83,NA,keep,5.32,4.83,NA,keep,Dianella revoluta,seed_mass_to_keep
Dianella tasmanica,7.36,5.84,NA,keep,5.62,5.84,NA,keep,Dianella tasmanica,seed_mass_to_keep
Dichelachne crinita,0.4,0.35,NA,keep,0.39,0.35,NA,keep,Dichelachne crinita,seed_mass_to_keep
Dichelachne inaequiglumis,0.63,0.52,NA,keep,0.48,0.52,NA,keep,Dichelachne inaequiglumis,seed_mass_to_keep
Dichelachne micrantha,0.4,0.41,NA,keep,0.23,0.41,NA,keep,Dichelachne micrantha,seed_mass_to_keep
Dichelachne rara,0.37,0.35,NA,keep,0.36,0.35,NA,keep,Dichelachne rara,seed_mass_to_keep
Dichondra repens,NA,2.25,NA,keep,NA,2.25,NA,keep,Dichondra repens,seed_mass_to_keep
Dichopogon strictus,1.92,1.51,NA,keep,1.86,1.51,NA,keep,Arthropodium strictum,seed_mass_to_keep
Dichosciadium ranunculaceum,NA,3.04,NA,keep,NA,3.04,NA,keep,Dichosciadium ranunculaceum var tasmanicum,seed_mass_to_keep
Digitaria sanguinalis,NA,1.21,NA,keep,NA,1.21,NA,keep,Digitaria sanguinalis,seed_mass_to_keep
Dillwynia cinerascens,3.81,3.81,NA,omit,3.02,3.81,NA,keep,Dillwynia cinerascens,seed_mass_to_keep
Dillwynia glaberrima,2.27,3.81,NA,keep,2.27,3.81,NA,keep,Dillwynia glaberrima,seed_mass_to_keep
Dillwynia sericea,1.81,3.81,NA,keep,1.44,3.81,NA,keep,Dillwynia sericea,seed_mass_to_keep
Diplarrena latifolia,NA,2.41,NA,keep,NA,2.41,NA,keep,Diplarrena latifolia,seed_mass_to_keep
Diplarrena moraea,NA,4.15,NA,keep,NA,4.15,NA,keep,Diplarrena moraea,seed_mass_to_keep
Diplaspis cordifolia,NA,0.87,NA,keep,NA,0.87,NA,keep,Diplaspis cordifolia,seed_mass_to_keep
Diplaspis hydrocotylea,0.87,0.87,NA,omit,0.87,0.87,NA,omit,Diplaspis hydrocotyle,NA
Dipodium roseum,NA,0,NA,keep,NA,0,NA,keep,Dipodium roseum,seed_mass_to_keep
Dipsacus fullonum,NA,3.3,NA,keep,NA,3.3,NA,keep,Dipsacus fullonum,seed_mass_to_keep
Diselma archeri,0.95,1.55,NA,keep,0.95,1.55,NA,keep,Diselma archeri,seed_mass_to_keep
Disphyma crassifolium,0.14,32.98,NA,keep,0.12,32.98,NA,keep,Disphyma crassifolium,seed_mass_to_keep
Distichlis distichophylla,1.42,1.42,NA,omit,1.42,1.42,NA,omit,Distichlis distichophylla,NA
Dittrichia graveolens,NA,0.4,NA,keep,NA,0.4,NA,keep,Dittrichia graveolens,seed_mass_to_keep
Diuris chryseopsis,NA,0.08,NA,keep,NA,0.08,NA,keep,Diuris chryseopsis,seed_mass_to_keep
Diuris orientis,NA,0.04,NA,keep,NA,0.04,NA,keep,Diuris orientis,seed_mass_to_keep
Diuris pardina,NA,0,NA,keep,NA,0,NA,keep,Diuris pardina,seed_mass_to_keep
Diuris sulphurea,NA,0.04,NA,keep,NA,0.04,NA,keep,Diuris sulphurea,seed_mass_to_keep
Dodonaea filiformis,2.13,2.16,NA,keep,2.13,2.16,NA,keep,Dodonaea filiformis,seed_mass_to_keep
Dodonaea viscosa,15.94,2.16,NA,keep,7.73,2.16,NA,keep,Dodonaea viscosa,seed_mass_to_keep
Donatia novae-zelandiae,NA,0.12,NA,keep,NA,0.12,NA,keep,Donatia novae-zelandiae,seed_mass_to_keep
Dracophyllum milligani,0.06,0.05,NA,keep,0.06,0.05,NA,keep,Dracophyllum milliganii,seed_mass_to_keep
Dracophyllum minimum,0.03,0.16,NA,keep,0.03,0.16,NA,keep,Dracophyllum minimum,seed_mass_to_keep
Drosera arcturi,0.06,0.1,NA,keep,0.05,0.1,NA,keep,Drosera arcturi,seed_mass_to_keep
Drosera binata,0.01,0.04,NA,keep,0.01,0.04,NA,keep,Drosera binata,seed_mass_to_keep
Drosera macrantha,NA,0.04,NA,keep,NA,0.04,NA,keep,Drosera macrantha,seed_mass_to_keep
Drosera peltata,0.02,0.01,0.01,omit,0.01,0.01,0.01,omit,Drosera peltata,NA
Drosera pygmaea,0.02,0.02,NA,omit,0.02,0.02,NA,omit,Drosera pygmaea,NA
Drosera spatulata,0.01,0.02,NA,keep,0.01,0.02,NA,keep,Drosera spatulata,seed_mass_to_keep
Drymophila cyanocarpa,4.12,4.12,NA,omit,4.12,4.12,NA,omit,Drymophila cyanocarpa,NA
Ehrharta acuminata,NA,1.21,NA,keep,NA,1.21,NA,keep,Ehrharta acuminata,seed_mass_to_keep
Ehrharta distichophylla,NA,1.21,NA,keep,NA,1.04,NA,keep,Ehrharta distichophylla,seed_mass_to_keep
Ehrharta distichophylla,NA,1.21,NA,keep,NA,1.04,NA,keep,Tetrarrhena distichophylla,seed_mass_to_keep
Ehrharta juncea,NA,1.21,NA,keep,NA,1.21,NA,keep,Ehrharta juncea,seed_mass_to_keep
Ehrharta oreophila,NA,1.21,NA,keep,NA,1.21,NA,keep,Ehrharta oreophila,seed_mass_to_keep
Ehrharta stipoides,NA,2.13,NA,keep,NA,2.13,NA,keep,Microlaena stipoides,seed_mass_to_keep
Ehrharta tasmanica,NA,2.13,NA,keep,NA,2.13,NA,keep,Microlaena tasmanica,seed_mass_to_keep
Einadia nutans,1.65,6.14,NA,keep,0.91,6.14,NA,keep,Einadia nutans,seed_mass_to_keep
Elatine gratioloides,0.05,0.1,NA,keep,0.05,0.1,NA,keep,Elatine gratioloides,seed_mass_to_keep
Eleocharis acuta,0.72,1.44,NA,keep,0.57,1.44,NA,keep,Eleocharis acuta,seed_mass_to_keep
Eleocharis gracilis,0.51,0.51,NA,omit,0.35,0.51,NA,keep,Eleocharis gracilis,seed_mass_to_keep
Eleocharis pusilla,0.48,0.48,NA,omit,0.32,0.48,NA,keep,Eleocharis pusilla,seed_mass_to_keep
Eleocharis sphacelata,4.2,3.32,NA,keep,3.35,3.32,NA,keep,Eleocharis sphacelata,seed_mass_to_keep
Elymus repens,NA,1.21,NA,keep,NA,1.21,NA,keep,Elymus repens,seed_mass_to_keep
Elymus scabrus,NA,1.21,4.14,keep,NA,1.21,4.14,keep,Elymus scaber,seed_mass_to_keep
Empodisma minus,NA,1.46,NA,keep,NA,1.46,NA,keep,Empodisma minus,seed_mass_to_keep
Epacris acuminata,0.05,0.05,NA,omit,0.05,0.05,NA,omit,Epacris acuminata,NA
Epacris corymbiflora,0.06,0.06,NA,omit,0.06,0.06,NA,omit,Epacris corymbiflora,NA
Epacris curtisiae,0.04,0.04,NA,omit,0.04,0.04,NA,omit,Epacris curtisiae,NA
Epacris glabella,0.07,0.07,NA,omit,0.07,0.07,NA,omit,Epacris glabella,NA
Epacris gunnii,0.03,0.03,NA,omit,0.03,0.03,NA,omit,Epacris gunnii,NA
Epacris heteronema,0.03,0.03,NA,omit,0.03,0.03,NA,omit,Epacris heteronema,NA
Epacris impressa,0.09,0.05,NA,keep,0.07,0.05,NA,keep,Epacris impressa,seed_mass_to_keep
Epacris lanuginosa,0.03,0.03,NA,omit,0.03,0.03,NA,omit,Epacris lanuginosa,NA
Epacris obtusifolia,0.03,0.05,NA,keep,0.02,0.05,NA,keep,Epacris obtusifolia,seed_mass_to_keep
Epacris serpyllifolia,0.04,0.04,NA,omit,0.04,0.04,NA,omit,Epacris serpyllifolia,NA
Epacris squarrosa,0.07,0.07,NA,omit,0.07,0.07,NA,omit,Epacris tasmanica,NA
Epacris virgata,0.04,0.07,NA,keep,0.04,0.07,NA,keep,Epacris virgata,seed_mass_to_keep
Epilobium billardierianum,NA,0.05,NA,keep,NA,0.05,NA,keep,Epilobium billardierianum,seed_mass_to_keep
Epilobium curtisiae,NA,0.05,0.15,keep,NA,0.05,0.15,keep,Epilobium curtisiae,seed_mass_to_keep
Epilobium gunnianum,0.07,0.06,NA,keep,0.06,0.06,NA,omit,Epilobium gunnianum,seed_mass_to_keep
Epilobium hirtigerum,0.09,0.05,NA,keep,0.08,0.05,NA,keep,Epilobium hirtigerum,seed_mass_to_keep
Epilobium sarmentaceum,0.11,0.07,NA,keep,0.09,0.07,NA,keep,Epilobium sarmentaceum,seed_mass_to_keep
Epilobium tasmanicum,0.02,0.05,NA,keep,0.02,0.04,NA,keep,Epilobium perpusillum,seed_mass_to_keep
Epilobium tasmanicum,0.02,0.05,NA,keep,0.02,0.04,NA,keep,Epilobium tasmanicum,seed_mass_to_keep
Erechtites minima,0.15,0.18,NA,keep,0.15,0.18,NA,keep,Senecio minimus,seed_mass_to_keep
Erigeron bellidioides,0.77,0.62,0.7,keep,0.7,0.62,0.7,keep,Erigeron bellidioides,seed_mass_to_keep
Erigeron gunnii,NA,0.33,0.33,omit,NA,0.33,0.33,omit,Erigeron gunnii,NA
Erigeron pappocromus,NA,0.24,0.37,keep,NA,0.24,0.37,keep,Erigeron pappocromus,seed_mass_to_keep
Erigeron stellatus,NA,0.52,0.51,keep,NA,0.52,0.51,keep,Erigeron stellatus,seed_mass_to_keep
Erigeron tasmanicus,NA,0.43,NA,keep,NA,0.43,NA,keep,Erigeron tasmanicus,seed_mass_to_keep
Eriochilus cucullatus,NA,0.01,NA,keep,NA,0.01,NA,keep,Eriochilus cucullatus,seed_mass_to_keep
Eriostemon verrucosus,6.46,1.27,NA,keep,6.46,1.27,NA,keep,Eriostemon verrucosus,seed_mass_to_keep
Eriostemon verrucosus,6.46,1.27,NA,keep,6.46,1.27,NA,keep,Philotheca verrucosa,seed_mass_to_keep
Eriostemon virgatus,NA,1.27,NA,keep,NA,1.27,NA,keep,Eriostemon virgatus,seed_mass_to_keep
Eriostemon virgatus,NA,1.27,NA,keep,NA,1.27,NA,keep,Philotheca virgata,seed_mass_to_keep
Eryngium ovinum,1.95,1.51,NA,keep,1.92,1.51,NA,keep,Eryngium ovinum,seed_mass_to_keep
Eryngium vesiculosum,NA,1.51,1.04,keep,NA,1.51,1.04,keep,Eryngium vesiculosum,seed_mass_to_keep
Eucalyptus ambigua,6.62,0.31,NA,keep,1.94,0.31,NA,keep,Eucalyptus nitida,seed_mass_to_keep
Eucalyptus amygdalina,8.3,0.44,NA,keep,5.24,0.44,NA,keep,Eucalyptus amygdalina,seed_mass_to_keep
Eucalyptus archeri,4.2,2.28,NA,keep,2.83,2.28,NA,keep,Eucalyptus archeri,seed_mass_to_keep
Eucalyptus barberi,2.57,1.07,NA,keep,1.18,1.07,NA,keep,Eucalyptus barberi,seed_mass_to_keep
Eucalyptus brookeriana,2.93,0.65,NA,keep,1.3,0.65,NA,keep,Eucalyptus brookeriana,seed_mass_to_keep
Eucalyptus coccifera,6.4,1.12,NA,keep,4.06,1.12,NA,keep,Eucalyptus coccifera,seed_mass_to_keep
Eucalyptus dalrympleana,65,1.23,NA,keep,12.3,1.23,NA,keep,Eucalyptus dalrympleana,seed_mass_to_keep
Eucalyptus delegatensis,13.08,0.93,NA,keep,8.91,0.93,NA,keep,Eucalyptus delegatensis,seed_mass_to_keep
Eucalyptus globulus,200,2.97,NA,keep,22.63,2.97,NA,keep,Eucalyptus globulus,seed_mass_to_keep
Eucalyptus gunnii,3.5,0.39,NA,keep,1.72,0.39,NA,keep,Eucalyptus gunnii,seed_mass_to_keep
Eucalyptus morrisbyi,0.97,0.97,NA,omit,0.8,0.97,NA,keep,Eucalyptus morrisbyi,seed_mass_to_keep
Eucalyptus obliqua,11.63,0.75,NA,keep,7.85,0.75,NA,keep,Eucalyptus obliqua,seed_mass_to_keep
Eucalyptus ovata,1.8,0.43,NA,keep,0.95,0.43,NA,keep,Eucalyptus ovata var ovata,seed_mass_to_keep
Eucalyptus pauciflora,16.95,0.82,NA,keep,6.7,0.82,NA,keep,Eucalyptus pauciflora,seed_mass_to_keep
Eucalyptus pulchella,12.65,0.86,NA,keep,8.29,0.86,NA,keep,Eucalyptus pulchella,seed_mass_to_keep
Eucalyptus regnans,10.3,0.6,NA,keep,3.15,0.6,NA,keep,Eucalyptus regnans,seed_mass_to_keep
Eucalyptus risdonii,5,1.12,NA,keep,3.43,1.12,NA,keep,Eucalyptus risdonii,seed_mass_to_keep
Eucalyptus rodwayi,1.3,0.24,NA,keep,0.77,0.24,NA,keep,Eucalyptus rodwayi,seed_mass_to_keep
Eucalyptus rubida,4.85,1.04,NA,keep,2.96,1.04,NA,keep,Eucalyptus rubida,seed_mass_to_keep
Eucalyptus sieberi,9.01,3.41,NA,keep,5.16,3.41,NA,keep,Eucalyptus sieberi,seed_mass_to_keep
Eucalyptus subcrenulata,1.16,0.82,NA,keep,0.99,0.82,NA,keep,Eucalyptus subcrenulata,seed_mass_to_keep
Eucalyptus tenuiramis,13.51,1.45,NA,keep,8.42,1.45,NA,keep,Eucalyptus tenuiramis,seed_mass_to_keep
Eucalyptus urnigera,6000,0.84,NA,keep,1241.92,0.84,NA,keep,Eucalyptus urnigera,seed_mass_to_keep
Eucalyptus vernicosa,NA,0.43,NA,keep,NA,0.43,NA,keep,Eucalyptus vernicosa,seed_mass_to_keep
Eucalyptus viminalis,600,0.73,NA,keep,58.93,0.73,NA,keep,Eucalyptus viminalis,seed_mass_to_keep
Euchiton collinus,NA,0.02,NA,keep,NA,0.02,NA,keep,Euchiton collinus,seed_mass_to_keep
Euchiton involucratus,0.02,0.04,NA,keep,0.02,0.03,NA,keep,Euchiton involucratus,seed_mass_to_keep
Euchiton involucratus,0.02,0.04,NA,keep,0.02,0.03,NA,keep,Gnaphalium involucratum,seed_mass_to_keep
Euchiton litticola,NA,0.03,NA,keep,NA,0.03,NA,keep,Euchiton litticola,seed_mass_to_keep
Euchiton traversii,0.04,0.04,NA,omit,0.04,0.04,NA,omit,Euchiton traversii,NA
Euchiton traversii,0.04,0.04,NA,omit,0.04,0.04,NA,omit,Gnaphalium traversii,NA
Euchiton umbricola,NA,0.04,NA,keep,NA,0.03,NA,keep,Euchiton umbricola,seed_mass_to_keep
Euchiton umbricola,NA,0.04,NA,keep,NA,0.03,NA,keep,Gnaphalium umbricola,seed_mass_to_keep
Eucryphia lucida,1.18,1.07,NA,keep,1.18,1.07,NA,keep,Eucryphia lucida,seed_mass_to_keep
Eucryphia milliganii,0.95,1.07,NA,keep,0.72,1.07,NA,keep,Eucryphia milliganii,seed_mass_to_keep
Euphrasia collina,0.05,0.23,NA,keep,0.05,0.23,NA,keep,Euphrasia collina,seed_mass_to_keep
Euphrasia collina var. striata,0.32,0.32,NA,omit,0.24,0.32,NA,keep,Euphrasia striata,seed_mass_to_keep
Euphrasia gibbsiae,0.29,0.33,NA,keep,0.29,0.33,NA,keep,Euphrasia gibbsiae,seed_mass_to_keep
Euphrasia scabra,0.19,0.05,NA,keep,0.08,0.05,NA,keep,Euphrasia scabra,seed_mass_to_keep
Eurychorda complanata,0.65,1.46,NA,keep,0.41,1.46,NA,keep,Eurychorda complanata,seed_mass_to_keep
Eurychorda complanata,0.65,1.46,NA,keep,0.41,1.46,NA,keep,Restio complanatus,seed_mass_to_keep
Euryomyrtus ramosissima,0.84,0.84,NA,omit,0.56,0.48,NA,keep,Baeckea ramosissima,seed_mass_to_keep
Euryomyrtus ramosissima,0.84,0.84,NA,omit,0.56,0.48,NA,keep,Euryomyrtus ramosissima,seed_mass_to_keep
Ewartia catipes,0.11,0.11,NA,omit,0.11,0.11,NA,omit,Ewartia catipes,NA
Ewartia meredithae,NA,0.11,NA,keep,NA,0.11,NA,keep,Ewartia meredithiae,seed_mass_to_keep
