species_name,seed_mass_max_Kew_2019_1,seed_mass_max_Mokany_2015,seed_mass_max_RBGK_2014,seed_mass_to_keep_max,seed_mass_mean_Kew_2019_1,seed_mass_mean_Mokany_2015,seed_mass_mean_RBGK_2014,seed_mass_to_keep_mean,original_name,seed_mass_unique
Agrostis avenacea,NA,1.21,NA,keep,NA,0.69,NA,keep,Lachnagrostis filiformis,seed_mass_to_keep
Agrostis billardierei,NA,1.21,NA,keep,NA,0.69,NA,keep,Agrostis billardierei,seed_mass_to_keep
Agrostis billardierei,NA,1.21,NA,keep,NA,0.69,NA,keep,Lachnagrostis billardierei,seed_mass_to_keep
Agrostis parviflora,0.09,1.21,NA,keep,0.07,1.21,NA,keep,Agrostis aff parviflora,seed_mass_to_keep
Agrostis pilosula,NA,0.17,NA,keep,NA,0.17,NA,keep,Lachnagrostis scabra subsp scabra,seed_mass_to_keep
Agrostis venusta,0.14,1.21,NA,keep,0.14,1.21,NA,keep,Agrostis venusta,seed_mass_to_keep
Ajuga australis,3.85,3.69,NA,keep,3.73,3.69,NA,keep,Ajuga australis,seed_mass_to_keep
Allittia cardiocarpa,0.51,0.33,NA,keep,0.37,0.33,NA,keep,Brachyscome cardiocarpa,seed_mass_to_keep
Allocasuarina littoralis,3.14,1.78,NA,keep,2.26,1.78,NA,keep,Allocasuarina littoralis,seed_mass_to_keep
Allocasuarina monilifera,2.97,2,NA,keep,2.14,2,NA,keep,Allocasuarina monilifera,seed_mass_to_keep
Allocasuarina verticillata,NA,1.78,4.19,keep,NA,1.78,4.19,keep,Allocasuarina verticillata,seed_mass_to_keep
Allocasuarina zephyrea,1.48,1.56,NA,keep,1.48,1.56,NA,keep,Allocasuarina zephyrea,seed_mass_to_keep
Almaleea subumbellata,1.98,1.98,NA,omit,1.98,1.98,NA,omit,Almaleea subumbellata,NA
Alternanthera sessilis,0.72,0.21,NA,keep,0.31,0.21,NA,keep,Alternanthera denticulata,seed_mass_to_keep
Alyxia buxifolia,69.71,1.84,NA,keep,69.71,1.84,NA,keep,Alyxia buxifolia,seed_mass_to_keep
Ammophila arenaria,NA,1.21,NA,keep,NA,1.21,NA,keep,Ammophila arenaria,seed_mass_to_keep
Amperea xiphoclada,1.38,29.58,NA,keep,1.38,29.58,NA,keep,Amperea xiphoclada var xiphoclada,seed_mass_to_keep
Amphibromus archeri,NA,0.46,NA,keep,NA,0.46,NA,keep,Amphibromus archeri,seed_mass_to_keep
Anemone crassifolia,NA,1.67,NA,keep,NA,1.67,NA,keep,Anemone crassifolia,seed_mass_to_keep
Anodopetalum biglandulosum,NA,1.07,NA,keep,NA,1.07,NA,keep,Anodopetalum biglandulosum,seed_mass_to_keep
Anopterus glandulosus,0.96,0.83,NA,keep,0.89,0.83,NA,keep,Anopterus glandulosus,seed_mass_to_keep
Aotus ericoides,5.1,3.29,NA,keep,3.24,3.29,NA,keep,Aotus ericoides,seed_mass_to_keep
Apalochlamys spectabilis,NA,0.4,NA,keep,NA,0.4,NA,keep,Apalochlamys spectabilis,seed_mass_to_keep
Aphanes australiana,0.3,0.15,NA,keep,0.23,0.15,NA,keep,Aphanes australiana,seed_mass_to_keep
Aphelia gracilis,0.11,0.04,NA,keep,0.07,0.04,NA,keep,Aphelia gracilis,seed_mass_to_keep
Aphelia pumilio,0.13,0.13,NA,omit,0.12,0.13,NA,keep,Aphelia pumilio,seed_mass_to_keep
Apium insulare,0.93,1.09,NA,keep,0.93,1.09,NA,keep,Apium insulare,seed_mass_to_keep
Apium prostratum,1.31,1.46,NA,keep,1.31,1.46,NA,keep,Apium prostratum,seed_mass_to_keep
Apodasmia brownii,0.82,0.82,NA,omit,0.82,0.58,NA,keep,Apodasmia brownii,seed_mass_to_keep
Apodasmia brownii,0.82,0.82,NA,omit,0.82,0.58,NA,keep,Leptocarpus brownii,seed_mass_to_keep
Apteropteris applanata,NA,3.3,NA,keep,NA,3.3,NA,keep,Apteropteris applanata,seed_mass_to_keep
Archeria comberi,NA,0.03,NA,keep,NA,0.03,NA,keep,Archeria comberi,seed_mass_to_keep
Archeria eriocarpa,NA,0.03,NA,keep,NA,0.03,NA,keep,Archeria eriocarpa,seed_mass_to_keep
Archeria hirtella,NA,0.03,NA,keep,NA,0.03,NA,keep,Archeria hirtella,seed_mass_to_keep
Archeria serpyllifolia,0.03,0.03,NA,omit,0.03,0.03,NA,omit,Archeria serpyllifolia,NA
Argentipallium dealbatum,0.23,0.34,NA,keep,0.23,0.32,NA,keep,Argentipallium dealbatum,seed_mass_to_keep
Argentipallium dealbatum,0.23,0.34,NA,keep,0.23,0.32,NA,keep,Helichrysum dealbatum,seed_mass_to_keep
Argyrotegium fordianum,0.08,0.05,NA,keep,0.08,0.05,NA,keep,Argyrotegium fordianum,seed_mass_to_keep
Argyrotegium mackayi,NA,0.04,NA,keep,NA,0.04,NA,keep,Gnaphalium argentifolium,seed_mass_to_keep
Argyrotegium poliochlorum,0.07,0.05,NA,keep,0.07,0.05,NA,keep,Argyrotegium poliochlorum,seed_mass_to_keep
Aristotelia peduncularis,6.96,6.96,NA,omit,6.96,6.96,NA,omit,Aristotelia peduncularis,NA
Arrhenatherum elatius,NA,1.21,NA,keep,NA,1.21,NA,keep,Arrhenatherum elatius,seed_mass_to_keep
Arthropodium milleflorum,1.9,1.11,NA,keep,1.59,1.11,NA,keep,Arthropodium milleflorum,seed_mass_to_keep
