species_name,original_name,Tasmania,Tasmania_rounded,Kew,Kew_rounded,Kew_yes,Kew_rounded_yes,sum_matches,seed_mass_outcome
Abrotanella forsterioides,Abrotanella forsteroides,0.3972,0.4,0.3972,0.4,1,1,2,omit
Abrotanella scapigera,Abrotanella scapigera,0.5008,0.5,0.5008,0.5,1,1,2,omit
Acacia dealbata,Acacia dealbata,15.1856,15.19,12.663054545454546,12.66,0,0,0,keep
Acacia genistifolia,Acacia genistifolia,15.0168,15.02,18.262266666666665,18.26,0,0,0,keep
Acacia gunnii,Acacia gunnii,9.7957,9.8,9.67,9.67,0,0,0,keep
Acacia longifolia,Acacia longifolia,15.7312,15.73,14.86,14.86,0,0,0,keep
Acacia mearnsii,Acacia mearnsii,15.7312,15.73,13.246599999999999,13.25,0,0,0,keep
Acacia melanoxylon,Acacia melanoxylon,15.7312,15.73,13.57944,13.58,0,0,0,keep
Acacia mucronata,Acacia mucronata,8.198,8.2,9.145999999999999,9.15,0,0,0,keep
Acacia myrtifolia,Acacia myrtifolia,15.7312,15.73,9.50929,9.51,0,0,0,keep
Acacia riceana,Acacia riceana,12.0056,12.01,10.9626,10.96,0,0,0,keep
Acacia longifolia subsp. sophorae,Acacia sophorae,15.7312,15.73,23.983,23.98,0,0,0,keep
Acacia stricta,Acacia stricta,15.7312,15.73,5.729375,5.73,0,0,0,keep
Acacia suaveolens,Acacia suaveolens,34.7812,34.78,30.046104615384614,30.05,0,0,0,keep
Acacia terminalis,Acacia terminalis,21.81,21.81,30.897885714285714,30.9,0,0,0,keep
Acacia ulicifolia,Acacia ulicifolia,15.7312,15.73,12.193866666666667,12.19,0,0,0,keep
Acacia verniciflua,Acacia verniciflua,15.7312,15.73,13.458983333333332,13.46,0,0,0,keep
Acacia verticillata,Acacia verticillata,9.0568,9.06,10.175799999999999,10.18,0,0,0,keep
Acaena agnipila,Acaena agnipila,1.20107,1.2,NA,NA,NA,NA,0,keep
Acaena echinata,Acaena echinata,1.20107,1.2,8.291,8.29,0,0,0,keep
Acaena montana,Acaena montana,0.9024,0.9,0.9012,0.9,0,1,1,omit
Acaena novae-zelandiae,Acaena novae-zelandiae,1.0392,1.04,1.7854,1.79,0,0,0,keep
Acaena ovina,Acaena ovina,1.20107,1.2,10.3348,10.33,0,0,0,keep
Acaena pallida,Acaena pallida,1.6616,1.66,2.3209999999999997,2.32,0,0,0,keep
Acaena anserovina,Acaena Xanserovina,1.20107,1.2,NA,NA,NA,NA,0,keep
Rumex acetosella,Acetosella vulgaris,2.90512,2.91,NA,NA,NA,NA,0,keep
Acianthus caudatus,Acianthus caudatus,0.0124,0.01,NA,NA,NA,NA,0,keep
Acianthus exsertus,Acianthus exsertus,0.0124,0.01,NA,NA,NA,NA,0,keep
Acianthus exsertus,Acianthus pusillus,0.0124,0.01,NA,NA,NA,NA,0,keep
Acrothamnus hookeri,Acrothamnus hookeri,2.0486,2.05,NA,NA,NA,NA,0,keep
Acrotriche serrulata,Acrotriche serrulata,7.07748,7.08,NA,NA,NA,NA,0,keep
Actinotus bellidioides,Actinotus bellidioides,0.8076,0.81,2.19,2.19,0,0,0,keep
Actinotus moorei,Actinotus moorei,0.5816,0.58,NA,NA,NA,NA,0,keep
