error,dataset_id,species_name,site_name,context_name,observation_id,trait_name,value,unit,date,value_type,replicates,original_name
Kew_2019_1_03047,Mokany_2015,Eleocharis sphacelata,NA,NA,Mokany_2015_0413,seed_mass,3.3184,mg,NA,expert_mean,NA,Eleocharis sphacelata
Kew_2019_1_03158,Mokany_2015,Gahnia grandis,NA,NA,Mokany_2015_0497,seed_mass,6.4264,mg,NA,expert_mean,NA,Gahnia grandis
Kew_2019_1_03190,Mokany_2015,Isolepis fluitans,NA,NA,Mokany_2015_0622,seed_mass,0.128,mg,NA,expert_mean,NA,Isolepis fluitans
Kew_2019_1_03203,Mokany_2015,Isolepis montivaga,NA,NA,Mokany_2015_0626,seed_mass,0.2,mg,NA,expert_mean,NA,Isolepis montivaga
Kew_2019_1_03219,Mokany_2015,Oreobolus oligocephalus,NA,NA,Mokany_2015_0833,seed_mass,0.86,mg,NA,expert_mean,NA,Oreobolus oligocephalus
Kew_2019_1_03307,Mokany_2015,Uncinia compacta,NA,NA,Mokany_2015_1169,seed_mass,3.1604,mg,NA,expert_mean,NA,Uncinia compacta
Kew_2019_1_03310,Mokany_2015,Uncinia riparia,NA,NA,Mokany_2015_1172,seed_mass,1.824,mg,NA,expert_mean,NA,Uncinia riparia
Kew_2019_1_03317,Mokany_2015,Hibbertia basaltica,NA,NA,Mokany_2015_0573,seed_mass,1.1752,mg,NA,expert_mean,NA,Hibbertia basaltica
Kew_2019_1_03409,Mokany_2015,Drosera peltata,NA,NA,Mokany_2015_0400,seed_mass,0.0116,mg,NA,expert_mean,NA,Drosera peltata
Kew_2019_1_03431,Mokany_2015,Aristotelia peduncularis,NA,NA,Mokany_2015_0077,seed_mass,6.9592,mg,NA,expert_mean,NA,Aristotelia peduncularis
Kew_2019_1_03495,Mokany_2015,Archeria serpyllifolia,NA,NA,Mokany_2015_0073,seed_mass,0.0312,mg,NA,expert_mean,NA,Archeria serpyllifolia
Kew_2019_1_03502,Mokany_2015,Epacris acuminata,NA,NA,Mokany_2015_0417,seed_mass,0.0452,mg,NA,expert_mean,NA,Epacris acuminata
Kew_2019_1_03512,Mokany_2015,Epacris curtisiae,NA,NA,Mokany_2015_0419,seed_mass,0.0448,mg,NA,expert_mean,NA,Epacris curtisiae
Kew_2019_1_03522,Mokany_2015,Epacris gunnii,NA,NA,Mokany_2015_0421,seed_mass,0.0324,mg,NA,expert_mean,NA,Epacris gunnii
Kew_2019_1_03524,Mokany_2015,Epacris heteronema,NA,NA,Mokany_2015_0422,seed_mass,0.0312,mg,NA,expert_mean,NA,Epacris heteronema
Kew_2019_1_03527,Mokany_2015,Epacris lanuginosa,NA,NA,Mokany_2015_0424,seed_mass,0.03,mg,NA,expert_mean,NA,Epacris lanuginosa
Kew_2019_1_03547,Mokany_2015,Epacris squarrosa,NA,NA,Mokany_2015_0427,seed_mass,0.0676,mg,NA,expert_mean,NA,Epacris tasmanica
Kew_2019_1_03555,Mokany_2015,Gaultheria hispida,NA,NA,Mokany_2015_0511,seed_mass,0.0448,mg,NA,expert_mean,NA,Gaultheria hispida
