Taxon name,Year,Month start,Month end,Notes,canonical_name
Alternanthera philoxeroides (Mart.) Griseb.,2021,January,NA,NA,Alternanthera philoxeroides
Rorippa nasturtium-aquaticum (L.) Hayek,2020,September,October,NA,Rorippa nasturtium-aquaticum
Rorippa nasturtium-aquaticum (L.) Hayek,2021,October,NA,NA,Rorippa nasturtium-aquaticum
Rorippa nasturtium-aquaticum (L.) Hayek,2022,October,NA,NA,Rorippa nasturtium-aquaticum
Araujia sericifera Brot.,2022,December,NA,NA,Araujia sericifera
Vincetoxicum barbatum (R.Br.) Kuntze,2020,November,NA,NA,Vincetoxicum barbatum
Vincetoxicum barbatum (R.Br.) Kuntze,2021,November,NA,NA,Vincetoxicum barbatum
Asparagus asparagoides (L.) W.Wight,2020,September,NA,NA,Asparagus asparagoides
Asparagus asparagoides (L.) W.Wight,2021,August,NA,NA,Asparagus asparagoides
Eustrephus latifolius R.Br.,2020,September,October,NA,Eustrephus latifolius
Eustrephus latifolius R.Br.,2021,October,November,NA,Eustrephus latifolius
Delairea odorata Lem.,2021,June,NA,NA,Delairea odorata
Anredera cordifolia (Ten.) Steenis,2021,February,March,NA,Anredera cordifolia
Campsis x tagliabuana (Vis.) Rehder,2021,January,NA,NA,Campsis x tagliabuana
Campsis x tagliabuana (Vis.) Rehder,2021,November,NA,NA,Campsis x tagliabuana
Pandorea pandorana (Andrews) Steenis subsp. pandorana,2020,September,NA,NA,Pandorea pandorana subsp. pandorana
Pandorea pandorana (Andrews) Steenis subsp. pandorana,2022,September,NA,NA,Pandorea pandorana subsp. pandorana
Lonicera japonica Thunb.,2021,January,NA,NA,Lonicera japonica
Lonicera japonica Thunb.,2021,October,NA,NA,Lonicera japonica
Lonicera japonica Thunb.,2022,October,NA,NA,Lonicera japonica
Convolvulus erubescens Sims,2020/2021,November,January,NA,Convolvulus erubescens
Convolvulus erubescens Sims,2021,November,NA,NA,Convolvulus erubescens
Convolvulus farinosus L.,2020,November,NA,NA,Convolvulus farinosus
Convolvulus farinosus L.,2021,December,NA,NA,Convolvulus farinosus
Ipomoea indica (Burm.) Merr.,2020,September,November,NA,Ipomoea indica
Ipomoea purpurea (L.) Roth,2020,September,NA,NA,Ipomoea purpurea
Ipomoea purpurea (L.) Roth,2021,February,NA,NA,Ipomoea purpurea
Polymeria calycina R.Br.,2020/2021,September,May,NA,Polymeria calycina
Polymeria calycina R.Br.,2021/2022,September,May,NA,Polymeria calycina
Polymeria calycina R.Br.,2022,September,November,NA,Polymeria calycina
Desmodium varians (Labill.) G.Don,2021,April,NA,NA,Desmodium varians
Dipogon lignosus (L.) Verdc.,2022,September,NA,NA,Dipogon lignosus
Glycine clandestina J.C.Wendl.,2020,September,NA,NA,Glycine clandestina
Glycine clandestina J.C.Wendl.,2021,October,November,NA,Glycine clandestina
Glycine microphylla (Benth.) Tindale,2021,February,NA,NA,Glycine microphylla
Glycine tabacina (Labill.) Benth.,2020,October,NA,NA,Glycine tabacina
Glycine tabacina (Labill.) Benth.,2021,May,NA,NA,Glycine tabacina
Hardenbergia violacea (Schneev.) Stearn,2020,September,October,NA,Hardenbergia violacea
Hardenbergia violacea (Schneev.) Stearn,2021,August,October,NA,Hardenbergia violacea
Hardenbergia violacea (Schneev.) Stearn,2022,September,October,NA,Hardenbergia violacea
Kennedia rubicunda (Schneev.) Vent.,2020,September,NA,NA,Kennedia rubicunda
Kennedia rubicunda (Schneev.) Vent.,2021,August,October,NA,Kennedia rubicunda
Pullenia gunnii (Benth. ex Hook.f.) H.Ohashi & K.Ohashi,2021,April,NA,NA,Pullenia gunnii
Pullenia gunnii (Benth. ex Hook.f.) H.Ohashi & K.Ohashi,2021,December,NA,NA,Pullenia gunnii
Cassytha paniculata R.Br.,2021,July,NA,NA,Cassytha paniculata
Sarcopetalum harveyanum F.Muell.,2022,October,NA,NA,Sarcopetalum harveyanum
Passiflora edulis Sims,2021,October,NA,NA,Passiflora edulis
Passiflora suberosa L.,2021,March,NA,NA,Passiflora suberosa
Clematis aristata R.Br. ex Ker Gawl.,2021,October,NA,NA,Clematis aristata
Clematis glycinoides DC.,2020,September,NA,NA,Clematis glycinoides
Clematis glycinoides DC.,2021,August,October,NA,Clematis glycinoides
Cardiospermum grandiflorum Sw.,2020,April,NA,NA,Cardiospermum grandiflorum
Cardiospermum grandiflorum Sw.,2021,February,NA,NA,Cardiospermum grandiflorum
Solanum seaforthianum Andrews,2020,October,November,NA,Solanum seaforthianum
Solanum seaforthianum Andrews,2021,April,NA,NA,Solanum seaforthianum
Solanum seaforthianum Andrews,2022,May,NA,NA,Solanum seaforthianum
Cayratia clematidea (F.Muell.) Domin,2020,December,NA,NA,Cayratia clematidea
Cayratia clematidea (F.Muell.) Domin,2021,December,NA,NA,Cayratia clematidea
Cissus antarctica Vent.,2021,December,NA,NA,Cissus antarctica
Agapanthus praecox subsp. orientalis (F.M.Leight.) F.M.Leight.,2020,December,NA,NA,Agapanthus praecox subsp. orientalis
Agapanthus praecox subsp. orientalis (F.M.Leight.) F.M.Leight.,2021,January,NA,NA,Agapanthus praecox subsp. orientalis
Lomandra filiformis subsp. coriacea A.T.Lee,2020,September,NA,NA,Lomandra filiformis subsp. coriacea
Lomandra filiformis subsp. coriacea A.T.Lee,2021,October,December,NA,Lomandra filiformis subsp. coriacea
Lomandra filiformis subsp. coriacea A.T.Lee,2022,October,NA,NA,Lomandra filiformis subsp. coriacea
Lomandra longifolia Labill.,2020,September,November,NA,Lomandra longifolia
Lomandra longifolia Labill.,2021,September,NA,NA,Lomandra longifolia
Lomandra multiflora (R.Br.) Britten subsp. multiflora,2020,September,October,NA,Lomandra multiflora subsp. multiflora
Lomandra multiflora (R.Br.) Britten subsp. multiflora,2021,September,October,NA,Lomandra multiflora subsp. multiflora
Lomandra multiflora (R.Br.) Britten subsp. multiflora,2022,October,NA,NA,Lomandra multiflora subsp. multiflora
Carex breviculmis R.Br.,2020,October,NA,NA,Carex breviculmis
Carex breviculmis R.Br.,2021,April,July,NA,Carex breviculmis
Carex breviculmis R.Br.,2022,October,NA,NA,Carex breviculmis
Carex inversa R.Br.,2020,November,NA,NA,Carex inversa
Carex inversa R.Br.,2021,April,May,NA,Carex inversa
Carex inversa R.Br.,2021,December,NA,NA,Carex inversa
Cyperus sesquiflorus (Torr.) Mattf. & KÃ¼k.,2021,March,NA,NA,Cyperus sesquiflorus
Schoenus apogon Roem. & Schult.,2022,October,NA,NA,Schoenus apogon
Dianella brevipedunculata R.J.F.Hend.,2022,October,NA,NA,Dianella brevipedunculata
Dianella caerulea Sims,2020,September,NA,NA,Dianella caerulea
Dianella caerulea Sims,2021,September,November,NA,Dianella caerulea
Dianella longifolia R.Br. var. longifolia,2020/2021,September,May,NA,Dianella longifolia var. longifolia
Dianella longifolia R.Br. var. longifolia,2021,December,NA,NA,Dianella longifolia var. longifolia
Dianella revoluta R.Br.,2020,September,October,NA,Dianella revoluta
Dianella revoluta R.Br.,2021,August,November,NA,Dianella revoluta
Xanthorrhoea minor R.Br. subsp. minor,2020,November,NA,NA,Xanthorrhoea minor subsp. minor
Brunoniella australis (Cav.) Bremek.,2020/2021,November,January,NA,Brunoniella australis
Brunoniella australis (Cav.) Bremek.,2021,October,November,NA,Brunoniella australis
Tetragonia tetragonoides (Pall.) Kuntze,2021,January,NA,NA,Tetragonia tetragonoides
Tetragonia tetragonoides (Pall.) Kuntze,2021,December,NA,NA,Tetragonia tetragonoides
Nothoscordum gracile (Aiton) Stearn,2020,October,NA,NA,Nothoscordum gracile
Nothoscordum gracile (Aiton) Stearn,2021,January,February,NA,Nothoscordum gracile
Nothoscordum gracile (Aiton) Stearn,2021,May,NA,NA,Nothoscordum gracile
Nothoscordum gracile (Aiton) Stearn,2021,October,NA,NA,Nothoscordum gracile
Nothoscordum gracile (Aiton) Stearn,2022,October,December,NA,Nothoscordum gracile
Alternanthera denticulata R.Br.,2021,February,July,NA,Alternanthera denticulata
Alternanthera sp. A Flora of New South Wales (M.Gray 5187) J.Palmer,2020,November,December,NA,Alternanthera sp. A Flora of New South Wales (M.Gray 5187)
Alternanthera sp. A Flora of New South Wales (M.Gray 5187) J.Palmer,2021,March,May,NA,Alternanthera sp. A Flora of New South Wales (M.Gray 5187)
Alternanthera sp. A Flora of New South Wales (M.Gray 5187) J.Palmer,2021,October,NA,NA,Alternanthera sp. A Flora of New South Wales (M.Gray 5187)
Alternanthera sp. A Flora of New South Wales (M.Gray 5187) J.Palmer,2022,October,NA,NA,Alternanthera sp. A Flora of New South Wales (M.Gray 5187)
Alternanthera pungens Kunth,2021,April,May,NA,Alternanthera pungens
Gomphrena celosioides Mart.,2021,January,May,NA,Gomphrena celosioides
Gomphrena celosioides Mart.,2021,November,NA,NA,Gomphrena celosioides
Gomphrena celosioides Mart.,2022,April,NA,NA,Gomphrena celosioides
Gomphrena celosioides Mart.,2022,October,NA,NA,Gomphrena celosioides
Hippeastrum hybrid,2021,October,NA,NA,Hippeastrum hybrid
Apium graveolens L.,2020,November,NA,NA,Apium graveolens
Apium graveolens L.,2021,November,December,NA,Apium graveolens
Apium graveolens L.,2022,December,NA,NA,Apium graveolens
Cyclospermum leptophyllum (Pers.) Sprague ex Britton & P.Wilson,2020,September,October,NA,Cyclospermum leptophyllum
Cyclospermum leptophyllum (Pers.) Sprague ex Britton & P.Wilson,2022,October,NA,NA,Cyclospermum leptophyllum
Foeniculum vulgare Mill.,2021,January,NA,NA,Foeniculum vulgare
Asclepias curassavica L.,2021,June,NA,NA,Asclepias curassavica
Asclepias curassavica L.,2022,October,NA,NA,Asclepias curassavica
Hydrocotyle sibthorpioides Lam.,2022,October,NA,NA,Hydrocotyle sibthorpioides
Arthropodium sp. South-east Highlands (N.G.Walsh 811) Vic. Herbarium,2020/2021,November,April,NA,Arthropodium sp. South-east Highlands (N.G.Walsh 811)
Arthropodium sp. South-east Highlands (N.G.Walsh 811) Vic. Herbarium,2021/2022,December,April,NA,Arthropodium sp. South-east Highlands (N.G.Walsh 811)
Arthropodium sp. South-east Highlands (N.G.Walsh 811) Vic. Herbarium,2022/2023,October,January,NA,Arthropodium sp. South-east Highlands (N.G.Walsh 811)
Chlorophytum comosum (Thunb.) Jacques,2020/2021,December,January,NA,Chlorophytum comosum
Laxmannia gracilis R.Br.,2020,November,NA,NA,Laxmannia gracilis
Laxmannia gracilis R.Br.,2021,November,NA,NA,Laxmannia gracilis
Thysanotus tuberosus R.Br.,2021,December,NA,NA,Thysanotus tuberosus
Thysanotus tuberosus R.Br.,2022,October,NA,NA,Thysanotus tuberosus
Ageratina adenophora (Spreng.) R.M.King & H.Rob.,2020,September,October,NA,Ageratina adenophora
Ageratina riparia (Regel) R.M.King & H.Rob.,2020,September,NA,NA,Ageratina riparia
Arctotheca calendula (L.) K.Lewin,2020,September,NA,NA,Arctotheca calendula
Arctotheca calendula (L.) K.Lewin,2021,August,December,NA,Arctotheca calendula
Arctotheca calendula (L.) K.Lewin,2022,September,NA,NA,Arctotheca calendula
Bidens alba (L.) DC.,2021,August,October,NA,Bidens alba
Bidens pilosa L.,2020,April,NA,NA,Bidens pilosa
Bidens pilosa L.,2020,September,October,NA,Bidens pilosa
Bidens pilosa L.,2021,January,NA,NA,Bidens pilosa
Bidens pilosa L.,2021,April,NA,NA,Bidens pilosa
Bidens pilosa L.,2022,October,NA,NA,Bidens pilosa
Bidens subalternans DC.,2022,April,NA,NA,Bidens subalternans
Brachyscome triloba Gaudich.,2020/2021,September,May,NA,Brachyscome triloba
Brachyscome triloba Gaudich.,2021,September,December,NA,Brachyscome triloba
Brachyscome triloba Gaudich.,2022,October,NA,NA,Brachyscome triloba
Calotis cuneifolia R.Br.,2020,April,NA,NA,Calotis cuneifolia
Calotis cuneifolia R.Br.,2020/2021,September,January,NA,Calotis cuneifolia
Calotis cuneifolia R.Br.,2021,May,NA,NA,Calotis cuneifolia
Calotis cuneifolia R.Br.,2021,October,NA,NA,Calotis cuneifolia
Calotis cuneifolia R.Br.,2022,October,NA,NA,Calotis cuneifolia
Calotis lappulacea Benth.,2020,April,NA,NA,Calotis lappulacea
Calotis lappulacea Benth.,2020/2021,September,February,NA,Calotis lappulacea
Calotis lappulacea Benth.,2021,May,NA,NA,Calotis lappulacea
Calotis lappulacea Benth.,2022,October,NA,NA,Calotis lappulacea
Centipeda minima (L.) A.Braun & Asch. subsp. minima,2022,October,NA,NA,Centipeda minima subsp. minima
Chrysocephalum apiculatum (Labill.) Steetz,2021,November,NA,NA,Chrysocephalum apiculatum
Cirsium vulgare (Savi) Ten.,2020,September,NA,NA,Cirsium vulgare
Cirsium vulgare (Savi) Ten.,2021,January,NA,NA,Cirsium vulgare
Cirsium vulgare (Savi) Ten.,2022,October,December,NA,Cirsium vulgare
Cotula australis (Sieber ex Spreng.) Hook.f.,2020,September,October,NA,Cotula australis
Cotula australis (Sieber ex Spreng.) Hook.f.,2021,May,NA,NA,Cotula australis
Cotula australis (Sieber ex Spreng.) Hook.f.,2021,September,November,NA,Cotula australis
Crassocephalum crepidioides (Benth.) S.Moore,2021,September,NA,NA,Crassocephalum crepidioides
Crassocephalum crepidioides (Benth.) S.Moore,2022,November,NA,NA,Crassocephalum crepidioides
Cyanthillium cinereum (L.) H.Rob. var. cinereum,2020,September,November,NA,Cyanthillium cinereum var. cinereum
Cyanthillium cinereum (L.) H.Rob. var. cinereum,2021,October,November,NA,Cyanthillium cinereum var. cinereum
Cyanthillium cinereum (L.) H.Rob. var. cinereum,2022,April,NA,NA,Cyanthillium cinereum var. cinereum
Cyanthillium cinereum (L.) H.Rob. var. cinereum,2022,October,NA,NA,Cyanthillium cinereum var. cinereum
Dimorphotheca ecklonis DC.,2021,November,NA,NA,Dimorphotheca ecklonis
Euryops chrysanthemoides (DC.) B.Nord.,2020,April,NA,NA,Euryops chrysanthemoides
Euryops chrysanthemoides (DC.) B.Nord.,2020,September,NA,NA,Euryops chrysanthemoides
Euryops chrysanthemoides (DC.) B.Nord.,2021,January,NA,NA,Euryops chrysanthemoides
Euryops chrysanthemoides (DC.) B.Nord.,2021,May,NA,NA,Euryops chrysanthemoides
Galinsoga parviflora Cav.,2020/2021,September,January,NA,Galinsoga parviflora
Galinsoga parviflora Cav.,2021,May,July,NA,Galinsoga parviflora
Galinsoga parviflora Cav.,2022,October,NA,NA,Galinsoga parviflora
Glossocardia bidens (Retz.) Veldkamp,2021,March,NA,NA,Glossocardia bidens
Glossocardia bidens (Retz.) Veldkamp,2021,November,NA,NA,Glossocardia bidens
Hypochaeris albiflora (Kuntze) Azevedo-Gonc. & Matzenb.,2020/2021,September,January,NA,Hypochaeris albiflora
Hypochaeris albiflora (Kuntze) Azevedo-Gonc. & Matzenb.,2021,May,NA,NA,Hypochaeris albiflora
Hypochaeris albiflora (Kuntze) Azevedo-Gonc. & Matzenb.,2021,September,October,NA,Hypochaeris albiflora
Hypochaeris albiflora (Kuntze) Azevedo-Gonc. & Matzenb.,2022,October,NA,NA,Hypochaeris albiflora
Hypochaeris glabra L.,2020,December,NA,NA,Hypochaeris glabra
Hypochaeris radicata L.,2020,September,October,NA,Hypochaeris radicata
Hypochaeris radicata L.,2021,June,NA,NA,Hypochaeris radicata
Lactuca saligna L.,2020,October,NA,NA,Lactuca saligna
Lactuca serriola L.,2020,September,NA,NA,Lactuca serriola
Lactuca virosa L.,2020,November,NA,NA,Lactuca virosa
Lagenophora sublyrata (Cass.) A.R.Bean & Jian Wang ter,2021,April,NA,NA,Lagenophora sublyrata
Lagenophora sublyrata (Cass.) A.R.Bean & Jian Wang ter,2021/2022,December,February,NA,Lagenophora sublyrata
Lagenophora sublyrata (Cass.) A.R.Bean & Jian Wang ter,2022,October,NA,NA,Lagenophora sublyrata
Senecio hispidulus A.Rich.,2020,September,October,NA,Senecio hispidulus
Senecio hispidulus A.Rich.,2021,October,NA,NA,Senecio hispidulus
Senecio madagascariensis Poir.,2020,September,November,NA,Senecio madagascariensis
Senecio madagascariensis Poir.,2021,June,September,NA,Senecio madagascariensis
Senecio pinnatifolius A.Rich. var. pinnatifolius,2020,September,October,NA,Senecio pinnatifolius var. pinnatifolius
Senecio pinnatifolius A.Rich. var. pinnatifolius,2021,January,NA,NA,Senecio pinnatifolius var. pinnatifolius
