taxon_name,trait_name,entity_measured,trait_value,units,value_type
Fraxinus chinensis,leaf_length,lamina,4,cm,minimum
Fraxinus chinensis,leaf_length,lamina,16,cm,maximum
Fraxinus chinensis,petiole_length,petiolules,2,mm,minimum
Fraxinus chinensis,petiole_length,petiolules,15,mm,maximum
Froelichia gracilis,leaf_length,leaves,2,cm,minimum
Froelichia gracilis,leaf_length,leaves,7,cm,maximum
Furcraea foetida,leaf_length,leaves,1.2,m,minimum
Furcraea foetida,leaf_length,leaves,1.5,m,maximum
Galenia pubescens,leaf_length,leaves,35,mm,maximum
Gaudium blakelyi,leaf_length,leaves,4,mm,minimum
Gaudium blakelyi,leaf_length,leaves,8,mm,maximum
Gaudium brevipes,leaf_length,leaves,10,mm,minimum
Gaudium brevipes,leaf_length,leaves,20,mm,maximum
Gaudium coriaceum,leaf_length,leaves,10,mm,minimum
Gaudium coriaceum,leaf_length,leaves,20,mm,maximum
Gaudium deanei,leaf_length,leaves,10,mm,minimum
