taxon_name,trait_name,entity_measured,trait_value,units,value_type
Polyscias cissodendron,leaf_length,leaflets,3,cm,absolute_minimum
Polyscias cissodendron,leaf_length,leaflets,4,cm,minimum
Polyscias cissodendron,leaf_length,leaflets,8,cm,maximum
Polyscias cissodendron,leaf_length,leaflets,10,cm,absolute_maximum
Polyscias cissodendron,leaf_length,leaves,10,cm,minimum
Polyscias cissodendron,leaf_length,leaves,35,cm,maximum
Polyscias elegans,leaf_length,leaflets,5,cm,minimum
Polyscias elegans,leaf_length,leaflets,12,cm,maximum
Polyscias elegans,leaf_length,leaflets,100,cm,maximum
Polyscias murrayi,leaf_length,leaves,1.3,m,maximum
Polyscias murrayi,leaf_length,leaflets,6,cm,minimum
Polyscias murrayi,leaf_length,leaflets,16,cm,maximum
Polyscias sambucifolia,petiole_length,petiolules,2.5,cm,maximum
Polyscias sambucifolia subsp. Bipinnate leaves (J.H.Ross 3967) Vic. Herbarium,leaf_length,leaflets,70,mm,maximum
Polyscias sambucifolia subsp. Bipinnate leaves (J.H.Ross 3967) Vic. Herbarium,leaf_length,leaves,10,cm,minimum
Polyscias sambucifolia subsp. Bipinnate leaves (J.H.Ross 3967) Vic. Herbarium,leaf_length,leaves,30,cm,maximum
Polyscias sambucifolia subsp. Long leaflets (P.G.Neish 208) Vic. Herbarium,leaf_length,leaflets,4,cm,minimum
Polyscias sambucifolia subsp. Long leaflets (P.G.Neish 208) Vic. Herbarium,leaf_length,leaflets,9,cm,maximum
Polyscias sambucifolia subsp. Long leaflets (P.G.Neish 208) Vic. Herbarium,leaf_length,leaves,5,cm,minimum
Polyscias sambucifolia subsp. Long leaflets (P.G.Neish 208) Vic. Herbarium,leaf_length,leaves,40,cm,maximum
Polyscias sambucifolia subsp. Short leaflets (V.Stajsic 196) Vic. Herbarium,leaf_length,leaflets,20,mm,minimum
Polyscias sambucifolia subsp. Short leaflets (V.Stajsic 196) Vic. Herbarium,leaf_length,leaflets,40,mm,maximum
Polyscias sambucifolia subsp. Short leaflets (V.Stajsic 196) Vic. Herbarium,leaf_length,leaves,6,cm,minimum
