Species,Data source,FAMILY,Major Lifeform (McIntyre et al 1995),"Hemicryptophyte type Pr = protohemicrytophyte, P= partial rosette",Disperal Unit,Source,Vegetative Spread,Source of vegetative spread data,Life Cycle (Tremont 1994),life cycle notes,Growth Form (Tremont 1994),growth form notes,Seed Weight (mg),source of seed weight data,Frequency? -rarity measure,Present in soil seedbank,Source_for_seedbank_data,seed_mass_duplicate_AusTraits,Seed Weight (mg)_filtered
Acacia aculeatissima,NA,MIMOSACEAE,Ph,NA,Ant,NA,N,NA,P,NA,E,NA,NA,NA,0.5,NA,NA,NA,NA
Acacia implexa,NA,MIMOSACEAE,Ph,NA,Ant,NA,N,NA,P,NA,E,NA,17.8,"SID; O'Dowd, D.J. and Gill, A.M. 1986. Seed dispersal syndromes in Australian Acacia. In: Seed Dispersal (Ed. by D.R.Murray), pp. 87-123. Academic Press, London.",1.78,NA,NA,Duplicate of Kew_2019_1_05019,NA
Acacia mearnsii,NA,MIMOSACEAE,Ph,NA,Ant,NA,N,NA,P,NA,E,NA,13.35,average of Moles data,2,A,(Marsden-Smedley et al 1997),Duplicate of Morgan_2011_2_001,NA
Acacia melanoxylon,NA,MIMOSACEAE,Ph,NA,Ant,NA,N,NA,P,NA,E,NA,13.59,average of Moles data,2.67,NA,NA,NA,13.59
Acacia paradoxa,NA,MIMOSACEAE,Ph,NA,Ant,NA,N,NA,P,NA,E,NA,14.1,SID; FAO. 1975. Forest Tree Seed Directory. Rome: Food and Agriculture Organisation of the United Nations.,2.23,NA,NA,Duplicate of Kew_2019_1_05271,NA
Acacia pycnantha,NA,MIMOSACEAE,Ph,NA,Ant,NA,N,NA,P,NA,E,NA,17.79,average of Moles data,0.5,NA,NA,Duplicate of Morgan_2011_2_004,NA
Acaena echinata/agnipila/ovina,(McIntyre et al 1995),ROSACEAE,H,P,A,NA,Y but I'm unsure,NA,P,NA,Tf,NA,9.68,Morgan 1998,11.14,A,"(Morgan 1998b, Marsden-Smedley et al 1997) Morgan 1998 report presence)",NA,9.68
Acaena novae-zelandiae,(McIntyre et al 1995),ROSACEAE,C,NA,A,NA,Y,NA,P,NA,M,NA,4.17,Paul Gibson-Roy unpublished data,55.68,P,(Wang 1997),Duplicate of Cross_2009_02,NA
Acrotriche serrulata,NA,EPACRIDACEAE,Ph,NA,I,Benson and McDougall 1995,N,NA,P,NA,E,NA,0.67,Williams unpublished data,1.56,NA,NA,NA,0.67
Ajuga australis,(McIntyre et al 1995),LAMIACEAE,H,P,U,NA,N,NA,P,NA,PR,NA,0.25,Clarke et al 2000,0.5,NA,NA,NA,0.25
Allocasuarina verticillata,NA,CASUARINACEAE,Ph,NA,W,NA,N,NA,P,NA,E,NA,4.04,Benson and McDougall 1995,0.5,A,(Benson and McDougall 1995),Duplicate of Williams_2020_1_085,NA
Amphibromus neesii,NA,POACEAE,H,E,U,NA,N,NA,P,NA,E,NA,NA,NA,0.5,NA,NA,NA,NA
Aphelia pumilio,?,CENTROLEPIDACEAE,T,NA,NA,NA,N,NA,A,NA,Tf,NA,NA,NA,1.56,A,(Lunt 1997),NA,NA
Arthropodium fimbriatum,NA,LILIACEAE,G,NA,U,NA,N,NA,P,NA,Tf,NA,1.02,Williams unpublished data,2.45,NA,NA,Duplicate of Morgan_2011_2_008,NA
Arthropodium minus,NA,LILIACEAE,G,NA,U,NA,N,NA,P,NA,PR,NA,1.571,Lunt et al unpublished,7.13,P,(Morgan 1998b),Duplicate of Morgan_2011_2_009,NA
Arthropodium strictum s.l.,Lunt 1997,LILIACEAE,G,NA,U,NA,N,NA,P,NA,PR,NA,1.82,Lunt et al unpublished,17.59,A,"(Lunt 1995, Morgan 1998)",Duplicate of Cross_2009_03,NA
Asperula conferta / scoparia,(McIntyre et al 1995)(Tremont 1994),RUBIACEAE,C,NA,U,NA,Y,(Lunt and Morgan 1999),P,NA,E,NA,NA,NA,33.18,A,"(Lunt 1997, Lunt and Morgan 1999, Grant and MacGregor 2001)",NA,NA
Astroloma humifusum,NA,EPACRIDACEAE,Ph,NA,I,Benson and McDougall 1995,N,Benson and McDougall 1995,P,NA,E,NA,NA,NA,2.45,P,"(Marsden-Smedley et al 1997, Enright et al 1997 for heathy woodland)",NA,NA
Atriplex semibaccata,NA,CHENOPODACEAE,C,NA,I,NA,N,NA,P,NA,M,NA,1.13,average of Moles database,0.5,NA,NA,Duplicate of Williams_2020_1_093,NA
Bossiaea prostrata,(McIntyre et al 1995),FABACEAE,C,NA,U,NA,N,NA,P,NA,Tr,NA,2.94,Paul Gibson-Roy unpublished data,7.57,P,"(Hill and French 2003, Marsden-Smedley et al 1997)",Duplicate of Morgan_2011_2_015,NA
Brachyscome aculeata,NA,ASTERACEAE,H,Pr,U,NA,Y,NA,P,NA,E,NA,NA,NA,0.5,A,(Marsden-Smedley et al 1997),NA,NA
Brachyscome basaltica var. gracilis,NA,ASTERACEAE,H,Pr,U,NA,Y,(Walsh and Entwistle 1999),P,Nick Williams  made the data decisions generally from flora of Vic,E,NA,0.25,Williams unpublished data,1.78,NA,NA,Duplicate of Morgan_2011_2_018,NA
Brachyscome dentata,Benson and Howell 1994,ASTERACEAE,H,P,W,NA,N,NA,P,NA,E,NA,NA,NA,0.5,NA,NA,NA,NA
Brachyscome parvula,(Walsh and Entwistle 1999),ASTERACEAE,H,P,U,NA,N,NA,P,Nick Williams  made the data decisions generally from flora of Vic,E,NA,NA,NA,0.5,NA,NA,NA,NA
Brachyscome sp. aff. cuneifolia,NA,ASTERACEAE,H,P,U,NA,N,NA,P,Nick Williams  made the data decisions generally from flora of Vic,E,NA,NA,NA,0.5,NA,NA,NA,NA
Brunonia australis,NA,BRUNONIACEAE,H,V,U,NA,N,NA,P,NA,R,NA,2.895,Lunt et al unpublished,2.67,NA,NA,NA,2.895
Bulbine bulbosa,(McIntyre et al 1995),LILIACEAE,G,NA,U,NA,N,NA,P,Nick Williams  made the data decisions generally from flora of Vic,Tf,NA,2.352,Lunt et al unpublished,8.02,NA,NA,NA,2.352
Burchardia umbellata,Lunt 1997,LILIACEAE,G,NA,U,NA,N,NA,P,NA,Tf,NA,0.76,Morgan 1998,17.15,A,"(Lunt 1995, Lunt 1997, Morgan 1998) (Morgan 1998) suggest persistent",Duplicate of Kew_2019_1_01376,NA
Bursaria spinosa ssp. spinosa,(McIntyre et al 1995),PITTOSPORACEAE,Ph Clarke et al suggest Ch,NA,U,NA,N,NA,P,NA,E,NA,1.024,Clarke et al 2000,1.56,NA,NA,NA,1.024
Caesia calliantha,Lunt 1997,LILIACEAE,G,NA,U,NA,N,NA,P,NA,PR,NA,3.59,"Morgan 1998, Lunt et al unpublisehd have other data",13.81,P,"(Morgan 1998, Morgan 1998b (small #)  Lunt 1997 suggests its absent)",Duplicate of Kew_2019_1_13651,NA
Calocephalus citreus,(Tremont 1994),ASTERACEAE,C,NA,W,NA,N,NA,P,NA,R,NA,0.2,Paul Gibson-Roy unpublished data,36.75,P,"(Lunt 1990, Lunt and Morgan 1999 m)",Duplicate of Morgan_2011_2_024,NA
Calocephalus lacteus,(Walsh and Entwistle 1999),ASTERACEAE,C,NA,W,NA,N,NA,P,NA,R,NA,0.9625,Williams unpublished data,3.56,NA,NA,Duplicate of Morgan_2011_2_025,NA
Calotis anthemoides,(McIntyre et al 1995) for other Calotis spp.,ASTERACEAE,H,pr,A,NA,Y,Walsh and Entwistle 1999),P,NA,Tf,NA,1.06,Williams unpublished data,0.5,NA,NA,Duplicate of Morgan_2011_2_026,NA
