Taxon_ALA,Latitude,Longitude,source,ldmc,lma,lamina_size,thickness,sala,wood_dens,N_percent,dC13,delta,cica,Narea,MAP,MAT
Eucalyptus viridis,-31.56027778,146.5091667,CCA,489.3034101,271.9487908,478.3984667,46.33333333,2.699707367,0.733333333,1.317,-27.15,19.68443234,0.676302316,3.581565575,450.6,17.95
Eucalyptus caleyi caleyi,-32.40361111,150.2280556,CCA,488.5552991,212.5463698,1575.8987,37.625,1.476001839,0.655,1.027,-27.76,20.32419979,0.70461061,2.182851217,656,17.05
Eucalyptus conica,-32.40388889,150.2222222,CCA,486.4325954,210.0893027,585.1764667,32.83333333,2.085719316,0.68,1.54,-26.77,19.28629409,0.658685579,3.235375262,664.9,16.95
Eucalyptus melliodora,-32.71222222,149.9661111,CCA,489.6302521,171.6062938,1198.213133,32,0.858049089,0.66,1.383,-27.31,19.85216256,0.683724007,2.373315043,765.6,14.25
Eucalyptus behriana,-34.35388889,138.7869444,CCA,535.254832,252.2858266,1751.463467,46.16666667,1.511045976,0.773333333,1.17,-28.63,21.23804524,0.745046249,2.951744171,456.1,16.15
Eucalyptus odorata,-35.69305556,137.5311111,CCA,511.4928173,267.1289104,701.5719333,40.91666667,2.471676075,0.733333333,1.128,-28.04,20.61813243,0.717616479,3.013214109,461.6,15.65
Eucalyptus camaldulensis camaldulensis,-35.69722222,137.5225,CCA,498.0322369,181.4327893,1460.175667,30.66666667,1.123535897,0.58,1.555,-27.26,19.79974094,0.681404466,2.821279873,461.2,15.65
Eucalyptus albopurpurea,-35.74694444,137.6383333,CCA,539.2514512,311.3311203,355.4958667,54.23333333,3.318707748,0.71,0.963,-27.35,19.8941,0.6855796,2.997925,492,15.55
Eucalyptus petiolaris,-34.48583333,135.8575,CCA,511.4555212,239.4810461,1534.876,43,1.404509188,0.62,1.263,-28.23,20.8176832,0.726446159,3.024645613,484.1,15.65
Eucalyptus occidentalis,-33.72305556,123.3672222,CCA,536.5204892,362.0852254,2187.699333,56.83333333,1.455520224,0.686666667,0.634,-27.69,20.25074308,0.701360313,2.295620329,489.5,15.95
Eucalyptus densa,-33.0725,120.2169444,CCA,526.1524117,276.1935638,419.844,38.75,3.421628191,0.905,1.004,-28.29,20.88071544,0.729235196,2.772983381,344.4,15.85
Eucalyptus megacornuta,-33.51194444,120.0388889,CCA,474.9231429,241.2040606,1385.826,46.5,1.820939753,0.693333333,1.038,-26.68,19.19204373,0.654515209,2.503698149,408.3,15.15
Eucalyptus megacarpa,-34.91833333,118.1869444,CCA,440.5337011,274.4912128,1714.5763,47.375,1.753897415,0.62,1.041,-27.48,20.03043639,0.69161223,2.857453525,800,15.55
Eucalyptus normantonensis,-23.63583333,132.5672222,CCA,497.7481597,297.123893,1196.665133,58.5,1.89528,0.693333333,0.887,-28.24,20.82818803,0.726910975,2.635488931,296.1,21.95
Eucalyptus microcarpa,-33.90361111,147.3011111,CCA,530.747559,233.0988662,1472.480667,49.16666667,1.265576012,0.726666667,1.237,-27.96,20.5341344,0.713899752,2.883432974,426.9,16.65
Eucalyptus pulverulenta,-33.5475,150.11,CCA,438.4745342,226.8840121,1210.324333,45.5,1.309633,0.693333333,1.225,-28.35,20.94375547,0.732024578,2.779329149,812.3,13.15
Eucalyptus microcorys,-31.69166667,152.7341667,CCA,491.6645805,162.8270741,1315.975467,32.5,1.264843413,0.55,1.236,-26.4,18.8989318,0.641545655,2.012542636,1468.5,18.25
Eucalyptus propinqua,-31.28305556,152.8136111,CCA,472.3264762,145.9971945,1602.646067,29,1.242943494,0.583333333,1.119,-26.87,19.39103717,0.663320229,1.633708606,1449.1,18.05
Eucalyptus bancroftii,-29.90166667,153.0647222,CCA,421.6995074,211.6766751,2513.975,42.75,1.618158044,0.56,1.279,-27.52,20.07239223,0.693468683,2.707344675,1222.8,18.75
Eucalyptus tetrapleura,-29.90166667,153.0647222,CCA,489.2245713,220.0012996,1659.8375,52.75,1.426836156,0.635,1.14,-27.3,19.8416778,0.68326008,2.508014815,1222.8,18.75
Eucalyptus infera,-28.39944444,151.7030556,CCA,501.5899869,238.4706224,643.3595333,47.5,2.988700234,0.713333333,1.58,-26.78,19.29676743,0.659149001,3.767835833,782.7,15.85
Eucalyptus decorticans,-25.38083333,151.1505556,CCA,466.6830601,196.4690656,885.47,43.33333333,1.2667272,0.666666667,1.118,-29.85,22.52229037,0.801871255,2.196524153,630.6,20.85
Eucalyptus corynodes,-25.46027778,150.3041667,CCA,560.5270913,220.2218253,1923.9858,42.25,1.815514778,0.73,1.161,-27.79,20.35568447,0.706003738,2.556775392,667.2,20.05
Eucalyptus suffulgens,-25.1925,149.9711111,CCA,521.1996718,252.6000525,1387.408867,44,1.931901587,0.673333333,NA,NA,NA,NA,NA,791.5,20.65
Eucalyptus tholiformis,-24.39694444,147.3713889,CCA,520.2633363,253.8454992,1337.012267,44.91666667,2.676419857,0.65,1.047,-28.15,20.73365231,0.722727978,2.657762377,599.2,21.25
Eucalyptus ammophila,-23.56,145.7183333,CCA,472.426492,198.2405725,1548.896733,43.41666667,2.34414114,0.616666667,1.522,-29.07,21.70084352,0.76552405,3.017221514,494.1,22.45
Eucalyptus paedoglauca,-19.36083333,146.8083333,CCA,516.5422227,219.8493157,1792.324533,44.68333333,1.259911819,0.66,1.133,-30.01,22.69095558,0.809334318,2.490892747,1257,23.15
Eucalyptus granitica,-17.38722222,145.3461111,CCA,513.1057584,234.4858349,1711.269067,46.16666667,1.686240354,0.646666667,1.111,-28.16,20.74415542,0.723192718,2.605137626,1329,19.25
Eucalyptus atrata,-17.38694444,145.3322222,CCA,515.7812314,218.2243446,1784.461467,40.83333333,0.90743647,0.676666667,0.956,-29.37,22.01662838,0.779496831,2.086224734,1271.4,19.65
Eucalyptus lockeryi exuta,-17.09611111,145.5294444,CCA,496.0553307,182.7745909,589.7500667,32.33333333,3.748232503,0.656666667,1.228,-28.81,21.42732112,0.753421289,2.244471976,1279.6,20.85
Eucalyptus chlorophylla,-15.359722,144.4425,CCA,558.5815166,285.2065606,966.8446,51,2.342345271,NA,1.152,-27.32,19.86265,0.6841881,3.28558,964.2,26.15
Eucalyptus cullenii,-15.96166667,144.8319444,CCA,480.905957,144.2124173,489.6848,24.625,2.132903187,0.625,NA,NA,NA,NA,NA,1134.3,23.55
Eucalyptus fasciculosa,-36.28166667,139.7319444,CCA,486.7537621,235.9699154,1524.4122,47.08333333,2.246052137,0.656666667,1.36,-27.39,19.93604836,0.687435768,3.209190849,552.5,15.05
Eucalyptus tricarpa,-38.45361111,144.11,CCA,517.9726891,236.7668958,2280.817933,45,1.855692913,0.713333333,1.062,-29.12,21.75346078,0.767852247,2.514464434,739.6,13.95
Eucalyptus baueriana,-37.87777778,147.8541667,CCA,463.0041488,149.2167493,1867.6976,28.5,1.690411023,0.686666667,1.384,-28.42,21.01731201,0.735279292,2.06515981,688.5,14.55
Eucalyptus stricta,-36.65888889,149.9052778,CCA,486.8712108,314.5129294,1181.1899,58.25,2.069108357,0.705,1.029,-26.27,18.76290142,0.635526612,3.236338043,764,14.45
Eucalyptus beyeriana,-34.3125,150.5875,CCA,537.8716176,192.5021982,1142.354267,37.16666667,1.092471592,0.7,1.205,-28.69,21.3011294,0.747837584,2.319651488,932.1,14.85
Eucalyptus maidenii,-35.5725,149.8097222,CCA,498.1709287,228.0068369,4575.7862,58.25,1.011641393,0.66,1.62,-29.18,21.81660864,0.7706464,3.693710757,734.2,12.45
Eucalyptus kartzoffiana,-35.60388889,149.7655556,CCA,451.3211076,201.1482808,2151.802,45.5,0.774214966,0.64,1.258,-27.82,20.3871711,0.707396951,2.530445372,729.4,14.65
Eucalyptus leucoxylon pruinosa,-36.82638889,139.9202778,CCA,455.8209485,189.923883,1518.668533,37.83333333,1.878857418,0.64,1.621,-28.51,21.11190028,0.739464614,3.078666143,577.6,14.75
Eucalyptus diversifolia diversifolia,-38.40861111,141.5441667,CCA,507.6987474,286.0394257,1033.4766,55.16666667,1.955719974,0.663333333,1.109,-27.54,20.09337145,0.694396967,3.172177231,836.7,13.85
Eucalyptus squamosa,-33.795,150.5705556,CCA,529.3488388,234.8706807,1168.593933,43.66666667,2.090183016,0.62,0.924,-25.44,17.89525529,0.59713519,2.17020509,1011.5,15.75
Eucalyptus hypostomatica,-32.99666667,151.2616667,CCA,505.5469222,175.2399817,1624.512933,33,1.238898785,0.666666667,1.608,-25.64,18.10419147,0.606380154,2.817858906,1052.8,15.45
Eucalyptus fracta,-32.76722222,151.2072222,CCA,492.6956693,201.1343518,1696.876,43.41666667,1.765893745,0.703333333,0.94,-27.81,20.37667534,0.706932537,1.890662907,891.3,15.45
Eucalyptus aenea,-32.29277778,150.4111111,CCA,494.6642353,273.7779902,724.3756,47.41666667,2.470070133,0.75,NA,NA,NA,NA,NA,658.7,16.55
Eucalyptus glaucina,-32.565,151.6022222,CCA,464.8711402,202.462571,3118.861733,34.5,1.063665905,0.566666667,NA,NA,NA,NA,NA,911.9,18.05
Eucalyptus seeana,-31.52444444,152.7925,CCA,515.4445411,154.8967239,858.6396,29.58333333,1.564186473,0.55,1.36,-28.19,20.77566603,0.724586992,2.106595445,1463.3,18.25
Eucalyptus ophitica,-29.29388889,152.6363889,CCA,434.1331897,261.4993154,2032.677367,54.83333333,2.131046835,0.676666667,0.94,-29.22,21.85871155,0.772509361,2.458093565,1124.8,17.85
Eucalyptus rhombica,-28.12861111,151.5155556,CCA,495.3898199,234.4902371,2038.533333,48,1.602543487,0.716666667,1.154,-27.95,20.52363562,0.713435204,2.706017337,721.8,17.65
Eucalyptus taurina,-27.52666667,152.1561111,CCA,482.5739349,205.6626565,1238.7682,42.41666667,1.927876809,0.62,1.21,-28.97,21.59562526,0.760868375,2.488518144,706.1,18.75
Eucalyptus major,-27.51861111,152.1608333,CCA,503.0743932,187.8106733,1469.2492,38.25,2.570820494,0.635,1.039,-27.2,19.73684211,0.678621332,1.951352895,733.8,18.45
Eucalyptus melanoleuca,-26.78666667,151.9575,CCA,489.0625841,191.4130348,1911.013133,36.58333333,1.064416188,0.666666667,1.29,-28.43,21.02782095,0.73574429,2.469228149,824.3,17.65
Eucalyptus virens,-25.19972222,147.9361111,CCA,436.2830749,187.894646,697.7895333,36.75,1.473385926,0.69,1.484,-25.58,18.04150161,0.603606266,2.788356547,672.3,18.65
Eucalyptus shirleyi,-17.62444444,144.9852778,CCA,526.0272564,291.55592,2700.932467,48.16666667,3.202964935,0.633333333,0.853,-28.13,20.71264675,0.721798529,2.486971998,774.8,21.85
Eucalyptus talyuberlup,-16.37833333,144.7361111,CCA,504.7912043,224.0161046,1176.896722,40.5,2.307174766,0.62,1.252,-28.17,20.75465874,0.723657466,2.80468163,864.6,23.75
Eucalyptus quadricostata,-20.48055556,145.3161111,CCA,529.7025807,234.0443382,1196.148333,42,1.505784736,0.65,1.021,-28.51,21.11190028,0.739464614,2.389592693,728.1,22.25
Eucalyptus decolor,-24.1975,151.2755556,CCA,545.0800946,173.970543,1531.793467,32.33333333,1.595699995,0.693333333,1.13,-29.73,22.39582797,0.796275574,1.965867136,859.4,21.05
Eucalyptus froggattii,-36.67888889,141.7355556,CCA,559.1840139,332.2858768,910.9176,66.25,3.928935973,0.813333333,0.982,-28.25,20.83869308,0.7273758,3.26304731,455.5,14.35
Eucalyptus polyanthemos polyanthemos,-35.26583333,147.9394444,CCA,474.8117188,178.4708616,1298.5592,38,1.354281249,0.653333333,1.189,-28.32,20.91223448,0.730629844,2.122018544,743,14.55
Eucalyptus stenostoma,-36.10638889,149.66,CCA,446.5801284,262.2641666,1216.7525,68.5,1.806425539,0.565,1.057,-27.91,20.48164265,0.711577108,2.77213224,743.8,13.45
Eucalyptus bosistoana,-36.17833333,149.7972222,CCA,481.2271195,252.4348598,1729.4302,46.5,1.356813984,0.663333333,1.128,-27.8,20.3661798,0.706468133,2.847465218,772.6,14.15
Eucalyptus paniculata,-35.76916667,150.1491667,CCA,465.4304089,190.4071447,2164.4432,41.66666667,1.093498401,0.71,1.318,-28.66,21.26958634,0.746441874,2.509566168,977.7,16.05
Eucalyptus rudderi,-32.04388889,152.3691667,CCA,479.9590691,149.0723852,1528.423933,31.66666667,1.468153516,0.663333333,1.327,-27.74,20.30321108,0.703681906,1.978190552,1400.3,16.65
Eucalyptus scopulorum,-29.6125,152.2027778,CCA,471.2351395,230.2868683,2085.5056,47.33333333,1.886630221,0.7,1.202,-29.38,22.0271579,0.779962739,2.768048157,1103.8,13.65
Eucalyptus exserta,-28.49055556,151.4513889,CCA,489.6736479,181.7787814,532.4569333,32.91666667,1.856165347,0.61,1.298,-29.81,22.48013276,0.800005874,2.359488583,664.9,17.95
Eucalyptus tereticornis basaltica,-27.45388889,152.2027778,CCA,493.4013601,201.6208699,1650.649267,37.66666667,1.436959601,0.623333333,1.536,-27.55,20.10386138,0.694861123,3.096896562,944.7,17.15
Eucalyptus magnificata,-30.71916667,151.7222222,CCA,500.3173,210.9706384,1718.332133,38.33333333,1.765013447,0.673333333,1.479,-26.17,18.65828738,0.630897672,3.120255741,827.6,12.85
Eucalyptus falcata,-32.74555556,118.1511111,CCA,498.6993411,283.0060453,785.0594667,48.66666667,2.038908823,0.726666667,1.091,-27.33,19.87313272,0.68465189,3.087595955,337.3,16.35
Eucalyptus gardneri,-32.74555556,118.1511111,CCA,508.7061481,265.1139551,1013.7086,41.25,1.970849172,0.765,0.868,-27.99,20.56563204,0.715293453,2.30118913,337.3,16.35
Eucalyptus extensa,-31.63472222,119.5705556,CCA,518.9503734,311.9933814,518.593,42.66666667,1.779999663,0.756666667,0.978,-27.22,19.75780752,0.679549005,3.05129527,357.5,17.75
Eucalyptus salicola,-29.78111111,118.2388889,CCA,546.2518816,267.3307993,429.3889333,46.5,2.471053359,0.763333333,1.068,-26.59,19.09781079,0.65034561,2.855092937,267.1,20.45
