Taxon_ALA,Latitude,Longitude,source,ldmc,lma,lamina_size,thickness,sala,wood_dens,N_percent,dC13,delta,cica,Narea,MAP,MAT
Eucalyptus vokesensis,-29.578889,130.133333,CCA,NA,293.8969667,1016,58.5833333,6.247380667,0.888220667,0.827,-27.82,20.3871711,0.707396951,2.430527914,216.6,19.55
Eucalyptus luculenta,-33.1575,123.0655556,CCA,NA,309.5051,1592.333333,52.7333333,3.384132667,0.742463667,1.009,-29.61,22.26939684,0.790681276,3.122906459,397.1,16.25
Eucalyptus oleosa oleosa,-30.48638889,132.1288889,CCA,NA,396.3095667,870.3333333,50.4333333,4.309066,0.76501,0.848,-27.1,19.63202796,0.673983538,3.360705125,238,18.55
Eucalyptus goniantha,-34.84222222,118.1561111,CCA,NA,NA,NA,67.5166667,3.365976333,0.787469333,0.952,-27.86,20.42915629,0.709254703,NA,742.2,15.15
Eucalyptus pimpiniana,-29.9825,123.1283333,CCA,NA,368.4933,1124.333333,107.7666667,4.161831,0.834683,0.652,-26.67,19.18157254,0.654051882,2.402576316,281.8,18.65
Eucalyptus tetraptera,-33.31388889,123.6483333,CCA,NA,608.2641,9464.333333,61.6666667,1.9925795,0.780826333,0.691,-24.61,17.0290858,0.558809106,4.203104931,403.1,15.65
Eucalyptus canescens canescens,-29.56361111,130.1394444,CCA,NA,303.49915,2164.5,64.625,2.681833,0.7338015,1.032,-27.45,19.99897178,0.69021999,3.132111228,217.6,19.55
Eucalyptus cretata,-33.45305556,136.2244444,CCA,NA,326.7944,1144.666667,62.6,3.935013667,0.779142667,1.084,-27.69,20.25074308,0.701360313,3.542451296,354.3,16.45
Eucalyptus gypsophila,-29.86833333,123.105,CCA,NA,328.5973333,1849,65.7166667,3.191171667,0.756077333,1.011,-27.91,20.48164265,0.711577108,3.32211904,306.3,18.35
Eucalyptus conglobata,-34.739167,135.939167,CCA,NA,405.0397333,2933.666667,50.5666667,NA,0.906123,NA,NA,NA,NA,NA,475.2,15.95
Eucalyptus obtusiflora,-29.63555556,114.9688889,CCA,NA,288.6256,948.6666667,63.8666667,2.990333333,0.922113333,1.014,-28.47,21.06985888,0.737604375,2.926663584,479.9,19.85
Eucalyptus kondininensis,-32.58611111,117.6644444,CCA,NA,351.1153667,883.3333333,55.85,2.426135,0.966422667,0.852,-27.69,20.25074308,0.701360313,2.991502924,349.7,16.55
Eucalyptus concinna,-27.83472222,123.9272222,CCA,NA,319.7117,1100,48.9,0.966078333,0.814873333,0.832,-28.77,21.38525375,0.7515599,2.660001344,265.9,20.95
Eucalyptus rugosa,-34.91472222,135.6791667,CCA,NA,268.5616,844,56.3166667,5.438932667,0.788368333,1.076,-28.32,20.91223448,0.730629844,2.889722816,604.8,15.85
Eucalyptus trivalva,-31.70361111,134.8633333,CCA,NA,311.44,1073.666667,42.3,3.743708,0.750785667,0.892,-27.3,19.8416778,0.68326008,2.7780448,252.5,18.15
Eucalyptus laeliae,-32.36861111,116.0086111,CCA,NA,241.454,889,51.6833333,2.649016667,0.646925667,1.044,-28.69,21.3011294,0.747837584,2.52077976,952.7,17.35
Eucalyptus carnei,-26.02222222,121.3544444,CCA,NA,260.6509,1396.333333,49.4666667,1.648598333,0.857262667,0.834,-27.72,20.28222323,0.70275324,2.173828506,269.7,22.75
Eucalyptus thamnoides,-31.97111111,117.2027778,CCA,NA,270.9917667,776,49.5,2.572944,0.915836667,0.906,-27.18,19.71587755,0.677693697,2.455185406,426,16.95
Eucalyptus gracilis,-32.40472222,121.7772222,CCA,NA,252.5949,354.3333333,51.7666667,3.675464333,0.816647333,1.097,-26.92,19.44341678,0.665637911,2.770966053,336.5,17.05
Eucalyptus halophila,-33.33833333,121.7472222,CCA,NA,273.9166,437,55.4666667,4.087733,0.773647,0.796,-27.8,20.3661798,0.706468133,2.180376136,392.6,16.15
Eucalyptus baiophylla,-23.62666667,113.635,CCA,NA,296.04055,411.5,55.3,2.7080645,0.7248945,0.706,-28.06,20.6391341,0.718545757,2.090046283,234.1,23.05
Eucalyptus orthostemon,-32.58611111,117.6644444,CCA,NA,268.1696667,174,51.45,4.3971575,1.061633,0.819,-27.08,19.61106771,0.673056094,2.19630957,349.7,16.55
Eucalyptus melanoxylon,-32.67111111,121.5397222,CCA,NA,265.5596333,634.6666667,65.1,3.133118667,0.867277,1.1,-27.14,19.67395103,0.675838541,2.921155967,345.9,16.95
Eucalyptus famelica,-33.79777778,120.4325,CCA,NA,361.5519333,922.3333333,36.65,5.694084667,0.938181333,0.926,-28.39,20.98578648,0.733884357,3.347970903,492.7,16.25
Eucalyptus rossii,-30.82472222,149.4713889,CCA,NA,178.4368667,948.3333333,56,1.725603333,0.717454,0.779,-27.53,20.08288173,0.69393282,1.390023191,725.6,17.75
Eucalyptus haemastoma,-33.18416667,151.6133333,CCA,NA,236.8118333,2761.666667,57.7166667,2.690574667,0.692074667,0.962,-28.04,20.61813243,0.717616479,2.278129837,1289.9,18.05
Eucalyptus olsenii,-35.93555556,149.7913889,CCA,NA,279.6160667,1146.333333,51.45,1.65343,0.668061,0.987,-27.63,20.1877886,0.698574717,2.759810578,881.6,11.65
Eucalyptus deuaensis,-35.833333,149.8,CCA,NA,287.5654,618.5,39.55,3.423604,0.7227365,0.969,-26.41,18.90939718,0.642008725,2.786508726,834.5,12.95
Eucalyptus macrorhyncha macrorhyncha,-33.92277778,148.4136111,CCA,NA,223.8000667,1059.333333,40.55,2.026340333,0.596105,1.201,-27.4,19.94653506,0.687899781,2.687838801,633.8,14.65
Eucalyptus tindaliae,-28.21861111,153.2083333,CCA,NA,180.827,1561.5,42.425,1.3436095,0.5301285,1.025,-27.76,20.32419979,0.70461061,1.85347675,1773.8,15.45
Eucalyptus laevopinea,-30.53305556,152.0325,CCA,NA,203.68275,2472.5,50.825,1.525634,0.6510335,1.223,-26.23,18.72105323,0.633674922,2.491040033,830.3,13.45
Eucalyptus capitellata,-32.73305556,152.1775,CCA,NA,239.5146,1753,47.125,3.971539,0.6008675,0.911,-27.8,20.3661798,0.706468133,2.181978006,1396.4,18.45
Eucalyptus sieberi,-37.183333,149.75,CCA,NA,238.0796667,2340,50.3,2.049352,0.682058333,1.187,-27.64,20.19828047,0.699038959,2.826005643,984.5,13.25
Eucalyptus multicaulis,-33.66555556,150.55,CCA,NA,218.3911667,2190,42.4166667,2.489262333,0.618055667,0.936,-27.27,19.81022483,0.681868355,2.04414132,1115.7,14.95
Eucalyptus dives,-37.56777778,144.3669444,CCA,NA,218.9935333,1468.333333,43.25,2.971203,0.629443667,1.207,-27.05,19.57962896,0.671664998,2.643251947,807.9,11.25
Eucalyptus falciformis,-37.68972222,140.5547222,CCA,NA,211.4089,1343,49.95,2.0802185,0.689409,0.81,-28.8,21.41680395,0.752955927,1.71241209,840.6,13.55
Eucalyptus nebulosa,-41.71361111,145.3933333,CCA,NA,208.5071667,668.6666667,49.6166667,2.597316333,0.608183,1.253,-27.44,19.988484,0.689755929,2.612594798,1835.7,10.65
Eucalyptus molyneauxii,-36.57555556,141.5238889,CCA,NA,210.18995,844.5,45.425,3.6086385,0.62113,1.146,-28.58,21.18548105,0.7427204,2.408776827,466.1,14.35
Eucalyptus albens,-35.10583333,147.2002778,CCA,NA,242.7106,1953.333333,50.7166667,2.988329667,0.798527667,0.984,-29.17,21.80608345,0.770180684,2.388272304,527.1,16.05
Eucalyptus moluccana,-17.7275,145.0475,CCA,NA,265.7553667,2940.666667,40.85,2.035159,0.814595,0.97,-27.88,20.45015019,0.710183637,2.577827057,796.5,21.65
