Sample,Genus,Species,Name,sp,Thickness,LMA,Aarea,Amass,LipidP,MetabolicP,NucleicP,ResidualP,Pi,EsterP,TotalP,Parea,LipidPc,MetabolicPc,NucleicPc,ResidualPc,Pic,EsterPc,TotalN,Narea,PPUE,Site,slope position,soil conductivity (uS/cm),soil pH (CaCl2),"soil P, total (mg/kg)","soil P, inorganic (mg/kg)","soil P, organic (mg/kg)","soil P, Resin (mg/kg)"
19,Hakea,auriculata,Hakea auriculata,H. auriculata,0.435,304,8.4,27.8,0.033,0.066,0.05,0.001,NA,NA,0.15,45.683,0.218,0.441,0.334,0.006,NA,NA,0.738,224.09,184,Badgingarra National Park location 07,Top,21 ± 4,5.0 ± 0.1,8.3 ± 0.9,0.12 ± 0.02,8.2 ± 0.9,0.10 ± 0.02
20,Hakea,auriculata,Hakea auriculata,H. auriculata,0.513,376,3.7,9.8,0.025,0.056,0.054,0.006,0.03,0.026,0.141,53.042,0.179,0.4,0.381,0.04,0.213,0.186,0.684,257.283,69,Badgingarra National Park location 07,Top,21 ± 4,5.0 ± 0.1,8.3 ± 0.9,0.12 ± 0.02,8.2 ± 0.9,0.10 ± 0.02
21,Hakea,prostrata,Hakea prostrata,H. prostrata,0.488,257,13,50.6,0.028,0.079,0.065,0.008,0.022,0.057,0.179,45.895,0.154,0.441,0.363,0.043,0.122,0.319,0.664,170.676,284,Badgingarra National Park location 11,Slope,22 ± 6,4.5 ± 0.1,4.5 ± 1.5,0.08 ± 0.03,4.4 ± 1.5,0.20 ± 0.08
22,Hakea,prostrata,Hakea prostrata,H. prostrata,0.511,275,14.7,53.5,0.04,0.099,0.081,0.008,0.033,0.066,0.227,62.538,0.175,0.435,0.355,0.034,0.145,0.291,0.778,214.096,235,Badgingarra National Park location 11,Slope,22 ± 6,4.5 ± 0.1,4.5 ± 1.5,0.08 ± 0.03,4.4 ± 1.5,0.20 ± 0.08
23,Hakea,prostrata,Hakea prostrata,H. prostrata,0.45,230,9.4,41,0.041,0.091,0.086,0.01,0.033,0.058,0.228,52.33,0.18,0.399,0.377,0.044,0.145,0.254,0.667,153.268,180,Badgingarra National Park location 11,Slope,22 ± 6,4.5 ± 0.1,4.5 ± 1.5,0.08 ± 0.03,4.4 ± 1.5,0.20 ± 0.08
24,Hakea,prostrata,Hakea prostrata,H. prostrata,0.34,175,11.7,66.5,0.036,0.091,0.079,0.007,0.028,0.063,0.213,37.368,0.169,0.426,0.37,0.035,0.132,0.294,0.774,135.738,312,Badgingarra National Park location 11,Slope,22 ± 6,4.5 ± 0.1,4.5 ± 1.5,0.08 ± 0.03,4.4 ± 1.5,0.20 ± 0.08
25,Hakea,prostrata,Hakea prostrata,H. prostrata,0.51,224,8.5,38.1,0.03,0.08,0.059,0.006,0.029,0.051,0.176,39.309,0.171,0.454,0.338,0.037,0.162,0.292,0.693,154.979,217,Badgingarra National Park location 11,Slope,22 ± 6,4.5 ± 0.1,4.5 ± 1.5,0.08 ± 0.03,4.4 ± 1.5,0.20 ± 0.08
26,Hakea,flabellifolia,Hakea flabellifolia,H. flabellifolia,0.848,443,1.5,3.4,0.026,0.057,0.043,0.002,NA,NA,0.128,56.744,0.201,0.446,0.339,0.014,NA,NA,0.561,248.617,27,Badgingarra National Park location 06,Slope,27 ± 7,4.7 ± 0.1,5.5 ± 1.1,0.07 ± 0.03,5.4 ± 1.0,0.17 ± 0.02
27,Hakea,flabellifolia,Hakea flabellifolia,H. flabellifolia,0.892,433,3.6,8.3,0.016,0.04,0.034,0.002,0.014,0.026,0.092,39.737,0.174,0.435,0.373,0.018,0.151,0.284,0.611,264.892,90,Badgingarra National Park location 06,Slope,27 ± 7,4.7 ± 0.1,5.5 ± 1.1,0.07 ± 0.03,5.4 ± 1.0,0.17 ± 0.02
28,Hakea,flabellifolia,Hakea flabellifolia,H. flabellifolia,0.838,427,3,6.9,0.033,0.058,0.052,0.003,0.024,0.034,0.146,62.277,0.226,0.395,0.356,0.023,0.162,0.233,0.622,265.938,48,Badgingarra National Park location 06,Slope,27 ± 7,4.7 ± 0.1,5.5 ± 1.1,0.07 ± 0.03,5.4 ± 1.0,0.17 ± 0.02
29,Hakea,flabellifolia,Hakea flabellifolia,H. flabellifolia,0.853,403,4.6,11.4,0.017,0.046,0.037,0.002,0.023,0.023,0.101,40.901,0.166,0.451,0.365,0.019,0.223,0.227,0.55,221.841,113,Badgingarra National Park location 06,Slope,27 ± 7,4.7 ± 0.1,5.5 ± 1.1,0.07 ± 0.03,5.4 ± 1.0,0.17 ± 0.02
