species in Read et al.,APC species,replicate,vegetation,N-fixer,leaf,leaf area (mm2),SLA (mm2/mg),thickness (mm),N (mg/g),Narea (g/m2),P (%),Parea (g/m2),freshweight (g),dryweight (g),leaf_dry_matter_content,succulence,bending_test_MN/m2,force_to_tear_per_unit_width_N/m,work_to_shear_J/m,average_punch_strength_N/m2,work_to_tear_J/m,average_work_to_punch_kJ/m2,work_to_shear_per_width_J/m2,work_to_punch_adjusted_MJ/m2/m
Acacia melanoxylon,Acacia melanoxylon,1,Royal Botanic Gardens Melbourne,legume,phyllode,1589,8.92,0.233,24.3,2.72,0.1,0.112,0.444,0.178,0.401,167.44,,,,,,,,
Acacia melanoxylon,Acacia melanoxylon,2,Royal Botanic Gardens Melbourne,legume,phyllode,956,9.37,0.189,24.3,2.59,0.083,0.088,0.257,0.102,0.397,162.18,,,,,,,,
Acacia melanoxylon,Acacia melanoxylon,3,Royal Botanic Gardens Melbourne,legume,phyllode,1177,7.36,0.208,24,3.26,0.077,0.105,0.354,0.16,0.452,164.78,,,,,,,,
Acacia melanoxylon,Acacia melanoxylon,4,Royal Botanic Gardens Melbourne,legume,phyllode,1128,8.35,0.19,26.3,3.15,0.087,0.104,0.331,0.135,0.408,173.82,,,,,,,,
Acacia melanoxylon,Acacia melanoxylon,5,Royal Botanic Gardens Melbourne,legume,phyllode,1724,9.17,0.214,24.2,2.64,0.072,0.078,0.48,0.188,0.392,169.41,,,,,,,,
Acmena smithii,Syzygium smithii,1,Royal Botanic Gardens Melbourne,,simple,1353,9.08,0.225,12.7,1.4,0.111,0.122,0.349,0.149,0.427,147.82,,,,,,,,
Acmena smithii,Syzygium smithii,2,Royal Botanic Gardens Melbourne,,simple,1457,9.91,0.181,17.3,1.75,0.23,0.232,0.405,0.147,0.363,177.06,,,,,,,,
Acmena smithii,Syzygium smithii,3,Royal Botanic Gardens Melbourne,,simple,1301,8.45,0.28,11,1.3,0.2,0.237,0.36,0.154,0.428,158.38,,,,,,,,
Acmena smithii,Syzygium smithii,4,Royal Botanic Gardens Melbourne,,simple,1754,7.53,0.249,13,1.73,0.012,0.017,0.525,0.233,0.444,166.49,,,,,,,,
Acmena smithii,Syzygium smithii,5,Royal Botanic Gardens Melbourne,,simple,2086,6.8,0.216,13.3,1.96,0.05,0.073,0.631,0.307,0.487,155.30,,,,,,,,
Agapetes meiniana,Paphia meiniana,1,Royal Botanic Gardens Melbourne,,simple,1205,6.66,1.067,6.7,1.01,0.145,0.217,0.893,0.181,0.203,590.92,,,,,,,,
Agapetes meiniana,Paphia meiniana,2,Royal Botanic Gardens Melbourne,,simple,1165,4.68,0.459,13.6,2.91,0.252,0.538,1.119,0.249,0.223,746.97,,,,,,,,
Agapetes meiniana,Paphia meiniana,3,Royal Botanic Gardens Melbourne,,simple,983,5.49,0.447,8.8,1.6,0.357,0.651,0.716,0.179,0.250,546.56,,,,,,,,
Agapetes meiniana,Paphia meiniana,4,Royal Botanic Gardens Melbourne,,simple,1155,5.45,0.847,12.8,2.35,0.285,0.523,1.053,0.212,0.201,728.20,,,,,,,,
Agapetes meiniana,Paphia meiniana,5,Royal Botanic Gardens Melbourne,,simple,1473,6.68,0.926,7.2,1.08,0.099,0.149,0.812,0.2205,0.272,401.45,,,,,,,,
Anopterus glandulosus,Anopterus glandulosus,1,Royal Botanic Gardens Melbourne,,simple,1077,8.75,0.273,17.1,1.95,0.093,0.106,0.393,0.123,0.313,250.81,,,,,,,,
Anopterus glandulosus,Anopterus glandulosus,2,Royal Botanic Gardens Melbourne,,simple,2301,9.92,0.443,14.5,1.46,0.276,0.278,0.869,0.232,0.267,276.84,,,,,,,,
Anopterus glandulosus,Anopterus glandulosus,3,Royal Botanic Gardens Melbourne,,simple,2101,7.75,0.295,15.3,1.97,0.133,0.172,0.933,0.271,0.290,315.10,,,,,,,,
Anopterus glandulosus,Anopterus glandulosus,4,Royal Botanic Gardens Melbourne,,simple,1963,10.97,0.308,15.8,1.44,0.306,0.279,0.682,0.179,0.262,256.21,,,,,,,,
Anopterus glandulosus,Anopterus glandulosus,5,Royal Botanic Gardens Melbourne,,simple,2646,10.1,1.086,16.2,1.6,0.123,0.121,0.901,0.262,0.291,241.52,,,,,,,,
Heritiera trifoliolata,Argyrodendron trifoliolatum,1,Royal Botanic Gardens Melbourne,,compound,2560,6.6,0.181,16,2.43,0.008,0.013,0.705,0.388,0.550,123.83,,,,,,,,
Heritiera trifoliolata,Argyrodendron trifoliolatum,2,Royal Botanic Gardens Melbourne,,compound,2024,10.54,0.086,14.1,1.34,0.013,0.012,0.412,0.192,0.466,108.69,,,,,,,,
Austrobaileya scandens,Austrobaileya scandens,1,Royal Botanic Gardens Melbourne,,simple,1960,8.38,0.428,18.7,2.24,0.454,0.542,0.866,0.234,0.270,322.47,,,,,,,,
Austrobaileya scandens,Austrobaileya scandens,2,Royal Botanic Gardens Melbourne,,simple,2743,11.52,0.248,17,1.48,0.387,0.336,1.086,0.238,0.219,309.20,,,,,,,,
Austrobaileya scandens,Austrobaileya scandens,3,Royal Botanic Gardens Melbourne,,simple,3411,9.14,0.248,20.3,2.22,0.298,0.326,1.272,0.373,0.293,263.57,,,,,,,,
Austrobaileya scandens,Austrobaileya scandens,4,Royal Botanic Gardens Melbourne,,simple,4613,8.4,0.308,15.1,1.8,0.177,0.21,2.234,0.549,0.246,365.24,,,,,,,,
Austrobaileya scandens,Austrobaileya scandens,5,Royal Botanic Gardens Melbourne,,simple,1952,10.66,0.417,18.6,1.74,0.272,0.255,0.918,0.183,0.199,376.63,,,,,,,,
Banksia marginata,Banksia marginata,1,"Gardens, Monash University, Clayton, Victoria",,simple,405,4.36,0.297,12.1,2.78,0.024,0.055,0.169,0.093,0.550,187.52,,,,,,,,
Banksia marginata,Banksia marginata,2,"Gardens, Monash University, Clayton, Victoria",,simple,230,5.47,0.177,10.3,1.89,0.054,0.099,0.094,0.042,0.447,226.28,,,,,,,,
Banksia marginata,Banksia marginata,3,"Gardens, Monash University, Clayton, Victoria",,simple,269,6.71,0.188,,,0.038,0.057,0.092,0.0401,0.436,192.87,,,,,,,,
Banksia marginata,Banksia marginata,4,"Gardens, Monash University, Clayton, Victoria",,simple,105,5.51,0.211,,,0.101,0.183,0.038,0.0191,0.503,179.49,,,,,,,,
Banksia serrata,Banksia serrata,1,Royal Botanic Gardens Melbourne,,simple,2281,6.07,0.344,9.8,1.62,0.028,0.046,0.919,0.376,0.409,238.11,,,,,,,,
Banksia serrata,Banksia serrata,2,Royal Botanic Gardens Melbourne,,simple,2567,5.4,0.553,9.8,1.81,0.024,0.044,1.088,0.475,0.437,238.84,,,,,,,,
Banksia serrata,Banksia serrata,3,Royal Botanic Gardens Melbourne,,simple,1590,5.48,0.298,10.8,1.97,0.02,0.036,0.618,0.29,0.469,206.26,,,,,,,,
Banksia serrata,Banksia serrata,4,Royal Botanic Gardens Melbourne,,simple,1906,4.5,0.283,,,,,0.818,0.4232,0.517,207.14,,,,,,,,
Banksia serrata,Banksia serrata,5,Royal Botanic Gardens Melbourne,,simple,2099,5.13,0.228,,,,,0.816,0.4088,0.501,194.00,,,,,,,,
Diospyros australis,Diospyros australis,1,Royal Botanic Gardens Melbourne,,simple,545,5,0.263,13.9,2.77,0.215,0.43,0.221,0.109,0.493,205.50,,,,,,,,
Diospyros australis,Diospyros australis,2,Royal Botanic Gardens Melbourne,,simple,1437,6.62,0.227,17.4,2.62,0.141,0.212,0.506,0.217,0.429,201.17,,,,,,,,
Diospyros australis,Diospyros australis,3,Royal Botanic Gardens Melbourne,,simple,1012,7.23,0.114,17.8,2.46,0.097,0.134,0.335,0.14,0.418,192.74,,,,,,,,
Diospyros australis,Diospyros australis,4,Royal Botanic Gardens Melbourne,,simple,693,6.36,0.255,18.6,2.93,0.042,0.067,0.234,0.109,0.466,180.43,,,,,,,,
Goodenia ovata,Goodenia ovata,1,Royal Botanic Gardens Melbourne,,simple,1143,24.32,0.169,34.6,1.42,0.151,0.062,0.214,0.047,0.220,146.12,,,,,,,,
Goodenia ovata,Goodenia ovata,2,Royal Botanic Gardens Melbourne,,simple,1858,17.53,0.24,27,1.54,0.094,0.054,0.517,0.106,0.205,221.19,,,,,,,,
Goodenia ovata,Goodenia ovata,3,Royal Botanic Gardens Melbourne,,simple,994,29.24,0.202,32.5,1.11,0.232,0.079,0.213,0.034,0.160,180.08,,,,,,,,
Goodenia ovata,Goodenia ovata,4,Royal Botanic Gardens Melbourne,,simple,1159,19.32,0.167,35.8,1.85,0.095,0.049,0.271,0.06,0.221,182.05,,,,,,,,
Goodenia ovata,Goodenia ovata,5,Royal Botanic Gardens Melbourne,,simple,1177,21.39,0.202,33,1.54,0.142,0.066,0.277,0.055,0.199,188.70,,,,,,,,
Guilfoylia monostylis,Guilfoylia monostylis,1,Royal Botanic Gardens Melbourne,,simple,2092,11.95,0.206,29.3,2.45,0.088,0.073,0.544,0.175,0.322,176.41,,,,,,,,
Guilfoylia monostylis,Guilfoylia monostylis,2,Royal Botanic Gardens Melbourne,,simple,1508,11.09,0.33,27.6,2.49,0.099,0.089,0.56,0.136,0.243,281.20,,,,,,,,
Guilfoylia monostylis,Guilfoylia monostylis,3,Royal Botanic Gardens Melbourne,,simple,2040,10.41,0.208,29.1,2.8,0.079,0.076,0.802,0.196,0.244,297.03,,,,,,,,
Guilfoylia monostylis,Guilfoylia monostylis,4,Royal Botanic Gardens Melbourne,,simple,1847,12.48,0.301,35.3,2.83,0.095,0.076,0.632,0.148,0.234,262.02,,,,,,,,
Guilfoylia monostylis,Guilfoylia monostylis,5,Royal Botanic Gardens Melbourne,,simple,2095,12.75,0.221,34.8,2.73,0.118,0.092,0.64,0.1644,0.257,226.97,,,,,,,,
Hernandia bivalvis,Hernandia bivalvis,1,Royal Botanic Gardens Melbourne,,simple,5231,14.86,0.113,24,1.62,0.261,0.176,1.226,0.352,0.287,167.07,,,,,,,,
Hernandia bivalvis,Hernandia bivalvis,2,Royal Botanic Gardens Melbourne,,simple,2477,11.16,0.116,20.1,1.8,0.151,0.135,0.689,0.222,0.322,188.56,,,,,,,,
Hernandia bivalvis,Hernandia bivalvis,3,Royal Botanic Gardens Melbourne,,simple,2356,11.33,0.178,,,,,0.691,0.208,0.301,204.97,,,,,,,,
Leucopogon parviflorus,Leucopogon parviflorus,1,Royal Botanic Gardens Melbourne,,simple,80,7.26,0.205,6.2,0.86,0.064,0.088,0.024,0.011,0.458,162.70,,,,,,,,
Leucopogon parviflorus,Leucopogon parviflorus,2,Royal Botanic Gardens Melbourne,,simple,101,8.45,0.063,7.4,0.87,0.064,0.076,0.026,0.012,0.462,138.07,,,,,,,,
