Site,Position,Spp,Branchno,(airspaceproportion),360/angle*number,Abundanceinplot,airspace.mm2,Angle,ApexWidth.mm,area.cm2,area/individ vessel,Area_mean,Area_sum,Areaxylem,Budsample,budXsectionarea.mm2,D1.cm,D2.cm,Date,Date dryweight,Dry_weight,DryweightGroup,HairDensity,Height.cm,HorizontalDistance1.mm,HorizontalDistance2.mm,HorizontalTissueDistance1.mm,HorizontalTissueDistance2.mm,HorizontalTissueProportion1,HorizontalTissueProportion2,leaf_count,Lumen.area,lumen.fraction,Magnification,n,NlayersHorizontal,NLayersVertical,no.vessle,non-lumen.fraction,Plot,SampleXylem,SLA.cm2/g,Species,Stem.Density,SumArea.mm2,SumLDW.g,UniqueID,VerticalDistance.mm,VerticalTissueDistance.mm,VerticalTissueProportion
BPN,Bottom,EpGun,1,NA,NA,6,NA,NA,NA,415.476,NA,9.37225,112.467,NA,NA,NA,21,25,26-Apr,30-Apr,0.0010833333333333333,0.013,NA,34,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,BPNB,NA,86.513,Epacris gunnii,0.663,112.467,0.013,1,NA,NA,NA
BPN,Bottom,EpGun,2,NA,NA,6,NA,NA,NA,1288.249,NA,9.660529411764706,164.229,NA,NA,NA,36,45,26-Apr,30-Apr,0.001,0.017,NA,44,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,BPNB,NA,96.605,Epacris gunnii,NA,164.229,0.017,2,NA,NA,NA
BPN,Bottom,EpGun,3,NA,NA,6,NA,NA,NA,1225.417,NA,8.119928571428572,113.679,NA,NA,NA,48,31,26-Apr,30-Apr,9.285714285714286e-4,0.013,NA,36,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,BPNB,NA,87.445,Epacris gunnii,NA,113.679,0.013,3,NA,NA,NA
BPN,Bottom,GrAus,1,NA,NA,2.5,NA,NA,NA,3019.071,NA,11.153705882352941,189.613,NA,NA,NA,58,66,26-Apr,30-Apr,0.0023529411764705885,0.04,NA,51,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,BPNB,NA,47.403,Grevillea australis,0.737,189.613,0.04,4,NA,NA,NA
BPN,Bottom,GrAus,2,NA,NA,2.5,NA,NA,NA,3019.071,NA,12.63944,315.986,NA,NA,NA,67,57,26-Apr,30-Apr,0.00272,0.068,NA,42,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,BPNB,NA,46.469,Grevillea australis,NA,315.986,0.068,5,NA,NA,NA
BPN,Bottom,GrAus,3,NA,NA,2.5,NA,NA,NA,13375.527,NA,13.878874999999999,222.06199999999998,NA,NA,NA,140,121,26-Apr,30-Apr,0.003375,0.054,NA,51,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,BPNB,NA,41.123,Grevillea australis,NA,222.062,0.054,6,NA,NA,NA
BPN,Bottom,KuMue,1,NA,NA,0.3,NA,NA,NA,4071.504,NA,NA,NA,NA,NA,NA,60,84,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BPNB,NA,NA,Kunzea muelleri,NA,NA,NA,7,NA,NA,NA
BPN,Bottom,KuMue,2,NA,NA,0.3,NA,NA,NA,2290.221,NA,NA,NA,NA,NA,NA,54,54,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BPNB,NA,NA,Kunzea muelleri,NA,NA,NA,8,NA,NA,NA
BPN,Bottom,KuMue,3,NA,NA,0.3,NA,NA,NA,2042.821,NA,NA,NA,NA,NA,NA,56,46,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BPNB,NA,NA,Kunzea muelleri,NA,NA,NA,9,NA,NA,NA
BPN,Mid,EpGun,1,0.205,NA,0.275,0.036,NA,0.073,962.113,NA,6.983944444444444,125.711,NA,EpGun4,0.176,32,38,26-Apr,30-Apr,8.333333333333333e-4,0.015,none,51,0.119,0.116,0.086,0.084,0.723,0.724,18,NA,NA,NA,NA,3,3,NA,NA,BPNM,NA,83.807,Epacris gunnii,0.705,125.711,0.015,10,0.407,0.32,0.786
BPN,Mid,EpGun,2,NA,NA,0.275,NA,NA,NA,683.493,NA,11.165666666666667,133.988,NA,NA,NA,21,38,26-Apr,30-Apr,0.0014999999999999998,0.018,NA,61,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,BPNM,NA,74.438,Epacris gunnii,NA,133.988,0.018,11,NA,NA,NA
BPN,Mid,EpGun,3,NA,NA,0.275,NA,NA,NA,1385.442,NA,10.695818181818181,117.654,NA,NA,NA,33,51,26-Apr,30-Apr,0.0012727272727272728,0.014,NA,48,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,BPNM,NA,84.039,Epacris gunnii,NA,117.654,0.014,12,NA,NA,NA
BPN,Mid,GrAus,1,NA,NA,1.15,NA,NA,NA,6013.205,NA,17.603749999999998,140.82999999999998,NA,NA,NA,66,109,26-Apr,30-Apr,0.004125,0.033,NA,36,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,BPNM,NA,42.676,Grevillea australis,0.765,140.83,0.033,13,NA,NA,NA
BPN,Mid,GrAus,2,NA,NA,1.15,NA,NA,NA,5026.548,NA,13.403777777777778,120.634,NA,NA,NA,63,97,26-Apr,30-Apr,0.002777777777777778,0.025,NA,44,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,BPNM,NA,48.254,Grevillea australis,NA,120.634,0.025,14,NA,NA,NA
BPN,Mid,GrAus,3,NA,NA,1.15,NA,NA,NA,5808.805,NA,11.7873,117.873,NA,NA,NA,114,58,26-Apr,30-Apr,0.0028,0.028,NA,38,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,BPNM,NA,42.098,Grevillea australis,NA,117.873,0.028,15,NA,NA,NA
BPN,Mid,HoMon,1,NA,NA,4,NA,NA,NA,10117.695,NA,72.828,509.796,NA,NA,NA,117,110,26-Apr,30-Apr,0.016714285714285716,0.117,NA,43,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,BPNM,NA,43.572,Hovea montana,0.756,509.796,0.117,16,NA,NA,NA
BPN,Mid,HoMon,2,NA,NA,4,NA,NA,NA,10477.408,NA,76.43066666666667,458.584,NA,NA,NA,96,135,26-Apr,30-Apr,0.014499999999999999,0.087,NA,41,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,BPNM,NA,52.711,Hovea montana,NA,458.584,0.087,17,NA,NA,NA
BPN,Mid,HoMon,3,NA,NA,4,NA,NA,NA,18385.386,NA,53.30828571428572,373.158,NA,NA,NA,142,164,26-Apr,30-Apr,0.011428571428571429,0.08,NA,50,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,BPNM,NA,46.645,Hovea montana,NA,373.158,0.08,18,NA,NA,NA
BPN,Mid,KuMue,1,NA,NA,2.75,NA,NA,NA,10477.408,NA,3.8386341463414637,157.38400000000001,NA,NA,NA,96,135,26-Apr,30-Apr,4.390243902439024e-4,0.018,NA,9,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,BPNM,NA,87.436,Kunzea muelleri,0.605,157.384,0.018,19,NA,NA,NA
BPN,Mid,KuMue,2,NA,NA,2.75,NA,NA,NA,7775.638,NA,3.9849473684210523,151.428,NA,NA,NA,108,91,26-Apr,30-Apr,3.6842105263157896e-4,0.014,NA,16,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,BPNM,NA,108.163,Kunzea muelleri,NA,151.428,0.014,20,NA,NA,NA
BPN,Mid,KuMue,3,NA,NA,2.75,NA,NA,NA,16060.607,NA,4.96948717948718,193.81,NA,NA,NA,150,136,26-Apr,30-Apr,6.153846153846154e-4,0.024,NA,28,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,BPNM,NA,80.754,Kunzea muelleri,NA,193.81,0.024,21,NA,NA,NA
BPN,Top,BoFol,1,NA,NA,15.5,NA,NA,NA,8413.381,NA,7.3946,110.919,NA,NA,NA,106,101,26-Apr,30-Apr,0.0010666666666666667,0.016,NA,110,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,BPNT,NA,69.324,Bossiaea foliosa,0.78,110.919,0.016,22,NA,NA,NA
BPN,Top,BoFol,2,NA,NA,15.5,NA,NA,NA,5876.545,NA,5.3933333333333335,80.9,NA,NA,NA,95,78,26-Apr,30-Apr,8.666666666666666e-4,0.013,NA,88,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,BPNT,NA,62.231,Bossiaea foliosa,NA,80.9,0.013,23,NA,NA,NA
