Event ID,Accession Number,Scientific Name,Dataset Title,Locality,Decimal Latitude,Decimal Longitude,Seed/gm,Quantity (count),Quantity (g),Thousand Seed Weight,Storage Relative Humidity,Purity,Storage Temperature,Collection Date,Storage Date,Storage Seed Bank,Collector,Pre-Storage Treatment/History,Plant Form,Form in Storage,Cultivated,Duplicates / Replicates,Permit Number,Collection Fill Rate / X-Ray,Publication DOI,Date Tested,Test Length,Number Germinated,Number Full,Number Empty,Number Not Viable,Number Tested,Germination Rate,Adjusted Germination,Viability,Pre-test Processing Notes,Treatment Media/Substrate,Treatment Day Temp,Treatment Night Temp,Treatment Light Hours,Treatment Dark Hours,Treatment Pretreatment
sascc-2365,,Triglochin nana,South Australian Seed Conservation Centre,,,,,10000,1.93,,,,,9/1/2016,11/1/2017,SCC,,,,,,,,,,,,,,,,,,,,,,,,,,
sascc-2296,,Ottelia ovalifolia subsp. ovalifolia,South Australian Seed Conservation Centre,,,,,46000,11.39,,,,,2/22/2005,2/15/2011,Both,,,,,,,,,,,,,,,,,,,,,,,,,,
sascc-2362,,Triglochin mucronata,South Australian Seed Conservation Centre,,,,,,,,,,,10/2/2009,,Kew,,,,,,,,,,,,,,,,,,,,,,,,,,
sascc-2367,,Triglochin,South Australian Seed Conservation Centre,,,,,11000,2.1306,,,,,9/22/2016,11/1/2017,SCC,,,,,,,,,,,,,,,,,,,,,,,,,,
sascc-2366,,Triglochin sp. A Flora of Australia (G.J.Keighery 2477),South Australian Seed Conservation Centre,,,,,,,,,,,9/10/2008,,Kew,,,,,,,,,,,,,,,,,,,,,,,,,,
sascc-2359,,Triglochin isingiana,South Australian Seed Conservation Centre,,,,,23900,16.33,,,,,8/31/2016,11/1/2017,SCC,,,,,,,,,,,,,,,,,,,,,,,,,,
sascc-28,,Damasonium minus,South Australian Seed Conservation Centre,,,,,4900,1.32,,,,,2/9/2011,1/1/2012,SCC,,,,,,,,,,,,,,,,,,,,,,,,,,
sascc-2361,,Triglochin minutissima,South Australian Seed Conservation Centre,,,,,19500,1.61,,,,,9/18/2007,9/19/2008,Both,,,,,,,,,,,,,,,,,,,,,,,,,,
sascc-26,,Alisma plantago-aquatica,South Australian Seed Conservation Centre,,,,,88000,35,,,,,3/22/2016,5/2/2017,SCC,,,,,,,,,,,,,,,,,,,,,,,,,,
sascc-29,,Damasonium minus,South Australian Seed Conservation Centre,,,,,11600,3.73,,,,,4/5/2011,1/1/2012,SCC,,,,,,,,,,,,,,,,,,,,,,,,,,
sascc-2356,,Cycnogeton procerum,South Australian Seed Conservation Centre,,,,,7400,43,,,,,11/15/2006,8/1/2007,Both,,,,,,,,,,,,,,,,,,,,,,,,,,
sascc-2357,,Cycnogeton procerum,South Australian Seed Conservation Centre,,,,,6200,51.04,,,,,10/27/2023,7/3/2024,SCC,,,,,,,,X-ray: 88%,,,,,,,,,,,,,,,,,,
sascc-4013,,Potamogeton tricarinatus,South Australian Seed Conservation Centre,,,,,,,,,,,2/1/2007,,Kew,,,,,,,,,,,,,,,,,,,,,,,,,,
