Species,Site Code,Regenerative Mechanisms
Hardenbergia violacea,"PF18,19,22,31,37,52","L, Se"
Helichrysum apiculatum,PF32,L
Helichrysum rosmarinifolium,PF69,E
Hibbertia obtusifolia,"PF15,49",L
Holcus lanatus,"PF40,69",L
Hydrocotyle laxiflora,"PF25,30,32,53",L
Hypochaeris radicata,"PF40,57",L
Indigofera australis,"PF15,19,22,49,50","L, Se"
Juncus sp.,"PF40,57,69",L
Kunzea ericoides,"PF16,23,29,31-35,41,42,45,46,48","L, N"
Lactuca serriola,"PF25,30",Se
Lepidosperma laterale,"PF15,39",L
Leptorhynchos squamatus,PF72,Se
Leptospermum lanigerum,"PF48,69,70","L, N"
Leptospermum micromyrtus,PF71,N
Leptospermum myrtifolium,"PF40,55-58,65,66",L
Leptospermum obovatum,PF61,N
Leptospermum sp.,"PF24,38,39,46,63,73,74","L, N"
Leucopogon sp.,PF79,N
Lomandra filiformis subsp. coriacea,"PF22,29,31,32,49,53",L
Lomandra longifolia,"PF30,49,53",L
Lomandra myricoides,"PF48,70",L
Lomandra sp.,"PF5-7,17,18,3-35,38,39,45,50,55,63, NA04",L
Lomatia myricoides,"PF2,6,8,63,74",L
Luzula sp.,PF53,L
Malva parviflora,PF14,"L, Se"
Microlaena stipoides,"PF1,16,29,32,38,39,53",L
Mirbelia oxylobioides,PF39,L
Modiola caroliniana,PF14,Se
Monotoca scoparia,"PF39,49",L
Nymphoides geminata,PF58,L
Olearia argophylla,"PF25,30",L
Olearia erubescens,PF4,"L, L"
Olearia erubescens,"PF55,58,80","L, L"
Olearia lirata,PF70,Not burnt at survey site(s)
Olearia megalophylla,"PF12,47",L
Olearia sp.,"PF7,8,75",L
Orchid sp.,"PF35,56","Se, L"
Oreomyrrhis ciliata,PF79,Not burnt at survey site(s)
Oxalis sp.,"PF32,53",L
Oxylobium alpestre,"PF55,58,80,82",L
Oxylobium sp,"PF7,66,71-73,83","L, N"
Panicum effusum,"PF32,42",L
Persoonia chamaepeuce,"PF49,55",L
Persoonia sp,"PF16,50",L
Phragmites australis,"PF48,51",L
Pinus radiata,PF17,"Se, N"
Pinus radiata,PF31,"Se, N"
Plantago varia,"PF49,50,53",L
Poa labillardieri,"PF57,58,78",L
Poa sieberiana,"PF49,55,80",L
Poa sp,"PF44,47,55,72,73,76,79, NA03,04","L, Se"
Podocarpus lawrencei,"PF11,12","E, N"
Podolepis sp,PF9,L
Polyscias sambucifolia,"PF3,12, NA03",L
Polyscias sp,PF7,L
Polystichum proliferum,"PF8,30,62,63,70,75,76",L
Pomaderris angustifolia,PF15,N
Pomaderris aspera,"PF4,27, NA07",L N
Pomaderris pallida,"PF15,85",N
Poranthera microphylla,PF80,L
Prostanthera lasianthos,PF70,Not burnt at survey site(s)
Prostanthera sp.,PF30,L
Pteridium esculentum,"PF1,4,5,24-26,29,30,45,59,70,
NA0745",L
Pultenea procumbens,"PF49,56",L
Ranunculus pimpinellifolius,PF79,Not burnt at survey site(s)
Ranunculus sp.,"PF39,40,69",L
Rosa rubiginosa,"PF32,69",L
Rubus fruticosus,"PF1,6,18,20,32,42,52,70,74",L
Rubus parvifolius,PF42,L
Rubus triphyllus,"PF1,11,12,32,48,63",L
Rumex acetosella,"PF25,53,57",L
Rumex sp.,"PF14,32,38,61",L
Salix sp.,"PF20,46",L
Sambucus gaudichaudiana,PF1,L
Senecio linearifolius,"PF58,78",L
Senecio sp.,"PF41,62,66",Se
Solanum nigrum,"PF14,25","L, Se"
Solanum sp.,"PF15,25,85","L, Se"
Sphagnum cristatum,PF58,N
Stellaria pungens,"PF5,8,11,12,15,44,45,47,62,66,80,8
5, NA03","L, Se"
Stylidium graminifolium,"PF39,47,49,55,80",L
Stypandra glauca,"PF34,35",L
Tasmannia xerophila,"PF12,82","L, N"
Themeda australis,"PF31,49,53",L
Themeda sp,PF18,L
Thistles sp.,"PF14,25","L, Se"
Thysanotus tuberosus,PF37,L
Todea barbara,PF25,C
Trifolium sp,"PF14-16,32,38,40,53,69,85,","L, Se"
"Tussock, soft",PF79,L
Typha sp.,PF51,L
Urtica incisa,PF30,L
Verbascum thapsus,PF32,L
Veronica calycina,PF30,Se
Viola betonicifolia,"PF8, 44,47,49,72,80",L
Viola caleyana,PF61,L
Viola hederacea,"PF29,30,40,55","L, Se"
Viola sp,"PF12,62","Se, Su"
Wahlenbergia sp,"PF15,18,31,32,37,38,85","L, Se"
Xanthorrhoea australis,"PF18,19,23,31","Se, C, N"
