Location,years since fire,site_name,latitude (deg),longitude (deg),,,,,,,,
Bunyip SP / Kurth Kiln,3,Bunyip SP / Kurth Kiln_03,-37.9397833,145.6142167,,,,,,,,
Bunyip SP / Kurth Kiln,7,Bunyip SP / Kurth Kiln_07,-37.8888333,145.5830667,,,,,,,,
Bunyip SP / Kurth Kiln,14,Bunyip SP / Kurth Kiln_14,-37.8883167,145.58365,,,,,,,,
Bunyip SP / Kurth Kiln,22,Bunyip SP / Kurth Kiln_22,-37.9007333,145.5693833,,,,,,,,
Bunyip SP / Kurth Kiln,45,Bunyip SP / Kurth Kiln_45,-37.9391833,145.6141833,,,,,,,,
Dandenong Ranges NP,3,Dandenong Ranges NP_03,-37.8484167,145.3942167,,,,,,,,
Dandenong Ranges NP,8,Dandenong Ranges NP_08,-37.8399667,145.39955,,,,,,,,
Dandenong Ranges NP,14,Dandenong Ranges NP_14,-37.8396667,145.39925,,,,,,,,
Dandenong Ranges NP,23,Dandenong Ranges NP_23,-37.8479667,145.39385,,,,,,,,
Dandenong Ranges NP,45,Dandenong Ranges NP_45a,-37.837,145.3965333,,,,,,,,
Dandenong Ranges NP,2,Dandenong Ranges NP_02,-37.8213167,145.4010333,,,,,,,,
Dandenong Ranges NP,5,Dandenong Ranges NP_05,-37.8147833,145.3856,,,,,,,,
Dandenong Ranges NP,6,Dandenong Ranges NP_06,-37.8526667,145.3561833,,,,,,,,
Dandenong Ranges NP,11,Dandenong Ranges NP_11,-37.8294167,145.3970333,,,,,,,,
Dandenong Ranges NP,17,Dandenong Ranges NP_17,-37.8527833,145.3555,,,,,,,,
Dandenong Ranges NP,22,Dandenong Ranges NP_22,-37.8497667,145.3994667,,,,,,,,
Dandenong Ranges NP,45,Dandenong Ranges NP_45b,-37.8447167,145.3500667,,,,,,,,
