Site,Datum,Zone,Easting,Northing,Location,Vegetation,Soil,Slope,Aspect,Elevation_m,Drainage,Landform,Veg_formation,Veg_class,Plant_Community
FTT01,GDA2020,56,338864,6276092,"40 metres north of Elvina Trailhead car park where it intersects with West Head Rd, Ku-ring-gai Chase National Park, NSW Australia","Shrubby low woodland with Banksia serrata, Corymbia gummifera and stringybark Eucalypt dominated canopy",White-grey sand with organic matter,0,0,160,Fast,Low rise,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Coastal Dry Sclerophyll Forests,1783: Sydney North exposed sandstone woodland
FTT02,GDA2020,56,339251,6278610,"South side of Towlers Bay trail, ~290 metres east of trail head on West Head Rd, Ku-ring-gai Chase National Park, NSW Australia","Shrubby low woodland with Scribbly Gum and Stringy Bark Eucalyptus, Banksia serrata and Corymbia gummifera canopy",Grey sand with organic matter,1,NNW,175,Fast,Low rise,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Coastal Dry Sclerophyll Forests,1783: Sydney North exposed sandstone woodland
FTT03,GDA2020,56,338290,6276395,"South side of Waratah Trail 200 metres west along track from West Head Rd, Ku-ring-gai Chase National Park, NSW Australia","Shrubby low woodland dominated by Scribbly Gum Eucalypt, Corymbia gummifera and Banksia serrata",Light brown sand,1,NW,170,Moderate,Low rise,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Coastal Dry Sclerophyll Forests,1783: Sydney North exposed sandstone woodland
FTT04,GDA2020,56,339944,6279820,"North side of Bairne Trail at base of Scribbly Gum, 500 metres east long track from West Head Rd, Ku-ring-gai Chase National Park, NSW Australia","Shrubby low woodland dominated by Scribbly Gum Eucalypt, Corymbia gummifera, Banksia serrata and Stringybark Eucalypt",Brown sand with organic matter,0,0,145,Moderate,Low rise,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Coastal Dry Sclerophyll Forests,1783: Sydney North exposed sandstone woodland
FTT05,GDA2020,56,339173,6280174,"South side of track at base of Scribbly Gum immediately north of sandstone outcrop, 450 metres west along Topham Trail from West Head Rd, Ku-ring-gai Chase National Park, NSW Australia",Shrubby low woodland dominated by Scribbly Gum Eucalypt and Corymbia gummifera with Banksia serrata,Brown sand,3,N,170,Fast,Low rise,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Coastal Dry Sclerophyll Forests,1783: Sydney North exposed sandstone woodland
