Species,Site,date,P12,P50,P88,HSM50,HSM88,WPpd,WPmd-leaf,WPmd-stem,KLx104,KS,MVL,SWC,DH,VD,WD,VWR,HVx104,P12 range,P50 range,P88 range,predawn WP-error,midday WPleaf-error,midday Wpstem-error,KLx104-error,KS-error,MVL-error,SWC-error,DH-error,VD-error,WD-error,VWR-error,HVx104-error
Avicennia marina,Marlow,2017-07/2017-08,3.86,5.87,7.75,1.45,3.33,3.14,5.32,4.42,2.83,0.75,23,0.96,40.41,74.83,0.63,0.059,4.4,"[3.29, 4.56]","[5.46, 6.24]","[7.11, 8.37]",±0.05a,±0.13a,±0.04a,±0.51a,±0.07b,±6.55a,±0.05a,±1.97a,±8.82a,±0.02a,±0.0014b,±0.59a
Avicennia marina,MBRS,2017-06,5.13,7.67,10.02,3.25,5.6,2.2,5.19,4.42,2.56,0.78,27.27,0.95,37.11,85.08,0.64,0.067,4.08,"[4.59, 5.53]","[7.39, 7.88]","[9.57, 10.56]",±0.22b,±0.05a,±0.28a,±0.24a,±0.07ab,±4.57a,±0.04a,±1.22a,±4.62a,±0.01a,±0.0061b,±0.63a
Avicennia marina,DRO,2017-09/2017-10,6.2,8.52,10.51,4.93,6.92,3.24,4.72,3.59,3.84,1.19,30,1.01,35.2,86.53,0.6,0.098,3.33,"[4.64, 8.15]","[7.98, 9.40]","[9.41, 14.55]",±0.15a,±0.15b,±0.11b,±0.52a,±0.15a,±2.10a,±0.03a,±1.00a,±6.82a,±0.01a,±0.0071a,±0.41a
Aegiceras corniculatum,Marlow,2017-07/2017-08,2.06,4.68,8.08,1.08,4.48,2.9,4.4,3.6,1.68,0.63,22.53,0.78,21.78,310.54,0.68,0.037,2.79,"[0.90, 4.59]","[3.57, 6.01]","[6.54, 13.15]",±0.12a,±0.13a,±0.05a,±0.20b,±0.09b,±1.37a,±0.02a,±0.81a,±8.02b,±0.01a,±0.0021b,±0.35b
Aegiceras corniculatum,MBRS,2017-06,1.9,5.51,11.13,3.05,8.67,1.97,3.25,2.46,1.66,0.58,25.93,0.82,20.75,318.12,0.65,0.035,2.72,"[1.04, 2.92]","[4.97, 6.31]","[8.82, 20.05]",±0.06b,±0.07c,±0.09b,±0.37b,±0.04b,±4.63a,±0.02a,±0.40a,±19.30b,±0.01a,±0.0010b,±0.28b
Aegiceras corniculatum,DRO,2017-09/2017-10,4.92,7.9,10.81,5.18,8.09,2.14,3.79,2.72,4.02,0.99,27.77,0.86,21.8,402.9,0.59,0.047,4.64,"[3.71, 5.64]","[7.51, 9.34]","[9.87, 17.01]",±0.05b,±0.06b,±0.05b,±0.73a,±0.05a,±4.77a,±0.04a,±0.41a,±22.08a,±0.01b,±0.0027a,±0.44a
