Species,season,Tree,site,leaf longevity,growth form,leaf type,photosynthetic pathway,Nfixer,leaf longevity (months),DBHincr,Aarea,Amass,saturated water content (g H20/gDW),LMA,Leaf thickness (mm),CHLarea,leaf chlorophyll (umol/g),Nmass,Pmass,DENSITY_,Narea,Parea,SLA (cm2/g),Leaf size (cm2),water%
Acacia auriculiformis,wet,1,swamp,evergreen,T,simple,C3,Yes,9,1.31,10.1,95.8,1.563,105,0.245,0.577,5.477,2.11,0.092,430,2.22172008,0.096871207,94.97146013,39.15,0.609771423
Acacia auriculiformis,wet,2,swamp,evergreen,T,simple,C3,Yes,9,1.09,12.8,134.8,1.793,95,0.241,0.663,6.943,2.85,0.159,395,2.721476518,0.151829743,104.7225644,42.7,0.642025327
Acacia auriculiformis,wet,3,swamp,evergreen,T,simple,C3,Yes,12,1.78,18.1,184.3,1.889,98,0.247,0.545,5.586,2.6,0.111,393,2.536621326,0.108294218,102.4985469,33.51,0.653838473
Acacia auriculiformis,wet,4,swamp,evergreen,T,simple,C3,Yes,9,2.13,19,149.5,1.48,127,0.28,0.667,5.259,2.53,0.103,453,3.206876106,0.130556616,78.89297611,46.56666667,0.596847881
Acacia auriculiformis,wet,5,swamp,evergreen,T,simple,C3,Yes,9,1.85,14.7,132.5,1.68,110,0.273,0.669,6.067,2.35,0.133,405,2.5921663,0.146705582,90.65776375,39.40333333,0.626825657
Acacia auriculiformis,wet,6,swamp,evergreen,T,simple,C3,Yes,12,1.02,11.6,122.1,1.7,96,0.231,0.625,6.501,2.44,0.121,414,2.344176269,0.116248085,104.0877357,39.28666667,0.629629554
Erythrophleum chlorostachys,wet,1,open forest,semi-deciduous,T,compound,C3,Yes,11,0.54,12.4,114.1,0.994,108,0.207,0.462,4.275,2,0.072,521,2.159947816,0.077758121,92.59482962,16.67666667,0.498587848
Erythrophleum chlorostachys,wet,2,open forest,semi-deciduous,T,compound,C3,Yes,9,0.16,12.8,124.5,1.256,103,0.22,0.445,4.33,2.5,0.085,467,2.567423283,0.087292392,97.373893,23.74333333,0.556727409
Erythrophleum chlorostachys,wet,3,open forest,semi-deciduous,T,compound,C3,Yes,10,0.23,10.6,94.7,1.098,112,0.228,0.459,4.086,2.29,0.086,493,2.57037153,0.096529237,89.09217882,18.62,0.523262446
Erythrophleum chlorostachys,wet,4,open forest,semi-deciduous,T,compound,C3,Yes,12,0.19,10.1,114.8,1.193,88,0.191,0.406,4.612,2.25,0.079,461,1.980327525,0.0695315,113.6175694,15.50666667,0.543900692
Erythrophleum chlorostachys,wet,5,open forest,semi-deciduous,T,compound,C3,Yes,6,0.19,8.3,79,1.093,105,0.22,0.454,4.328,2.25,0.081,478,2.35957718,0.084944778,95.35606712,26.90333333,0.522122206
Erythrophleum chlorostachys,wet,6,open forest,semi-deciduous,T,compound,C3,Yes,9,0.29,11.2,132.3,1.318,84,0.191,0.415,4.918,2.42,0.085,442,2.041581759,0.07170845,118.5355418,30.05666667,0.568502288
