species,Accepted_name_rank,orig.species,ps.type,little.d13.org,big.D13.org,big.D13.merged,latitude,longitude,collection.year,collection.month,author,year
Abrus precatorius,species,Abrus precatorius,C3,-29.94,NA,22.1249006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia acuminata,species,Acacia acuminata,C3,-29,NA,20.9916583840904,-32.983,116.85,2002,Feb,Cernusak_etal,2004
Acacia alleniana,species,Acacia alleniana,C3,-29.16,NA,21.3449006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia aneura,species,Acacia aneura,C3,-25.53,NA,17.7514266303874,-24.08,145,1992,NA,Stewart_etal,1995
Acacia auriculiformis,species,Acacia auriculiformis,C3,-27.57,NA,19.7549006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia auriculiformis,species,Acacia auriculiformis,C3,-29.67,NA,21.8549006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia caroleae,species,Acacia doratoxylon,C3,-26.5,NA,18.5824601246412,-32.97,146.13,1998,NA,unpub,NA
Acacia catenulata,species,Acacia catenulata,C3,-26.4,NA,18.6214266303874,-24.08,145,1992,NA,Stewart_etal,1995
Acacia cochlearis,species,Acacia melanoxylon,C3,-29.81,NA,22.0070921211604,-28.03,152.83,1993,NA,Stewart_etal,1995
Acacia colei,species,Acacia holosericea,C3,-27.58,NA,19.7649006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia colei,species,Acacia holosericea,C3,-27.9,20.68,20.68,-16.117,130.917,1993,October,Schulze_etal,1998
Acacia colletioides,species,Acacia colletioides,C3,-25.9,NA,17.9824601246412,-32.97,146.15,1998,NA,unpub,NA
Acacia concurrens,species,Acacia concurrens,C3,-28.1,NA,20.2974417800787,-27.03,152.83,1993,NA,Stewart_etal,1995
Acacia difficilis,species,Acacia difficilis,C3,-28.24,NA,20.4249006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
