species,Accepted_name_rank,orig.species,ps.type,little.d13.org,big.D13.org,big.D13.merged,latitude,longitude,collection.year,collection.month,author,year
Asteraceae,family,(Asteraceae1 sp.,C3,-26.67,19.1,19.1,37,-118.5,1983,NA,Korner_etal,1991
Asteraceae,family,(Asteraceae2 sp.,C3,-26.67,NA,19.2564210670551,37,-118.5,1981,NA,Korner_etal,1988
Brassicaceae,family,(Brassicaceae1 sp.,C3,-26.69,19.2,19.2,28.5,83.7,1975,NA,Korner_etal,1991
Brassicaceae,family,(Brassicaceae2 sp.,C3,-26.69,NA,19.2531517376497,28.5,83.7,1981,NA,Korner_etal,1988
Fabaceae,family,(Fabaceae1 sp.,C3,-30,NA,22.5139189853574,8.5,-71,1981,NA,Korner_etal,1988
Elymus glaucus,,Elymus glaucus,C3,-27.9,NA,20.0436162218246,59.46,-138.04,2003,6,Woollers_etal,2007
Thelypteris nudata,species,Abacopteris multilineatum,C3,-29.88,NA,22.338051779886,23.13,112.58,1985,NA,Ehleringer_etal,1987
Jupunba adenophora,species,Abarema adenophora,C3,-28.64,NA,20.7021680413351,-2.5,-60,2000,NA,unpub,NA
Jupunba adenophora,species,Abarema adenophora,C3,-28.92,NA,20.9821680413351,-2.5,-60,2000,NA,unpub,NA
Jupunba curvicarpa,species,Abarema curvicarpa,C3,-29.2,NA,21.3214788261983,5.3,-53.5,1998,NA,Bonal_etal,2000
Jupunba trapezifolia var. micradenia,variety,Abarema jupunba,C3,-31.095,NA,23.1571680413351,-2.5,-60,2000,NA,unpub,NA
Jupunba trapezifolia var. micradenia,variety,Abarema jupunba,C3,-29.4,NA,21.4616148633588,-2.85,-54.95,2000,NA,unpub,NA
Jupunba trapezifolia var. micradenia,variety,Abarema jupunba,C3,-32.21,NA,24.2721680413351,-2.5,-60,2000,NA,unpub,NA
Jupunba trapezifolia var. micradenia,variety,Abarema jupunba,C3,-29.4,NA,21.5215379850688,5.33,-52.83,1998,NA,Bonal_etal,2000
Jupunba mataybifolia,species,Abarema mataybifolia,C3,-30.5,NA,22.5616148633588,-2.85,-54.95,2000,NA,unpub,NA
Jupunba piresii,species,Abarema piresii,C3,-31.505,NA,23.5671680413351,-2.5,-60,2000,NA,unpub,NA
Abies alba,species,Abies alba,C3,-27.66,NA,19.8659158859682,47.47,7.5,1999,June,Chevillat_etal,2005
Abies amabilis,species,Abies amabilis,C3,-33.8,NA,25.9998098714376,45.133,-123.633,1999,NA,Winner_etal,2004
Abies balsamea,species,Abies balsamea,C3,-33.76,NA,26.0955950934705,53.985,-105.122,1994,NA,Brooks_Curd,1998
Abies grandis,species,Abies grandis,C3,NA,19.75,19.75,47.16,-116.448,1991,NA,Marshall_etal,1994
Abies grandis,species,Abies grandis,C3,-27.4118,NA,19.5745792374598,48.35,-116.792,2001,NA,Duursma_etal,2007
Abies lasiocarpa,species,Abies lasiocarpa,C3,NA,18.52,18.52,47.16,-116.448,1991,NA,Marshall_etal,1994
Abies lasiocarpa,species,Abies lasiocarpa,C3,-27.3,NA,19.5729024169041,47.04,-115.88,1996,NA,Hultine_Marshall,2000
Abies lasiocarpa,species,Abies lasiocarpa,C3,-27.02092,NA,19.1836992374598,48.35,-116.792,2001,NA,Duursma_etal,2007
Abronia elliptica,species,Abronia fragrans,C3,-26.4,NA,18.7828892785047,37.28,-110.85,1990,NA,Flanagan_etal,1997
Abrus precatorius,species,Abrus precatorius,C3,-29.94,NA,22.1249006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Abuta candollei,species,Abuta rufescens,C3,-28.5,NA,20.5616148633588,-2.85,-54.95,2000,NA,Domingues_etal,2007
Abuta grandifolia,species,Abuta grandifolia,C3,-32.29,NA,24.3436236648218,-8.45,-63.23,2000,NA,unpub,NA
Acacia acuminata,species,Acacia acuminata,C3,-29,NA,20.9916583840904,-32.983,116.85,2002,Feb,Cernusak_etal,2004
Acacia alleniana,species,Acacia alleniana,C3,-29.16,NA,21.3449006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia aneura,species,Acacia aneura,C3,-25.53,NA,17.7514266303874,-24.08,145,1992,NA,Stewart_etal,1995
Acaciella angustissima,species,Acacia angustissima,C3,-26.9,NA,19.3028614132043,19.31,-104.89,1987,NA,Mooney_etal,1989
Acacia auriculiformis,species,Acacia auriculiformis,C3,-27.57,NA,19.7549006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia auriculiformis,species,Acacia auriculiformis,C3,-29.67,NA,21.8549006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia caroleae,species,Acacia doratoxylon,C3,-26.5,NA,18.5824601246412,-32.97,146.13,1998,NA,unpub,NA
Acacia catenulata,species,Acacia catenulata,C3,-26.4,NA,18.6214266303874,-24.08,145,1992,NA,Stewart_etal,1995
Acacia cochlearis,species,Acacia melanoxylon,C3,-29.81,NA,22.0070921211604,-28.03,152.83,1993,NA,Stewart_etal,1995
Acacia colei,species,Acacia holosericea,C3,-27.58,NA,19.7649006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia colei,species,Acacia holosericea,C3,-27.9,20.68,20.68,-16.117,130.917,1993,October,Schulze_etal,1998
Acacia colletioides,species,Acacia colletioides,C3,-25.9,NA,17.9824601246412,-32.97,146.15,1998,NA,unpub,NA
Vachellia collinsii,species,Acacia collinsi,C3,-30.773,NA,22.7946298109044,21.15,-89.82,2004,NA,unpub,NA
Acacia concurrens,species,Acacia concurrens,C3,-28.1,NA,20.2974417800787,-27.03,152.83,1993,NA,Stewart_etal,1995
Acacia difficilis,species,Acacia difficilis,C3,-28.24,NA,20.4249006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia difficilis,species,Acacia difficilis,C3,-29.39,NA,21.5749006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia dimidiata,species,Acacia dimidiata,C3,-29.66,NA,21.8449006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia dimidiata,species,Acacia dimidiata,C3,-26.1,18.79,18.79,-14.3,132.083,1993,October,Schulze_etal,1998
Acacia dimidiata,species,Acacia dimidiata,C3,-29.44,NA,21.6249006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Vachellia elatior,species,Acacia elatior,C3,-28.156,NA,20.4476093740808,-1,40,1990,April,Handley_etal,1994
Acacia falcata,species,Acacia falcata,C3,-31.31,NA,23.5070921211604,-28.03,152.83,1993,NA,Stewart_etal,1995
Acacia floribunda,species,Acacia floribunda,C3,-31.4,NA,23.4823850801193,-33.58,151.3,1998,NA,unpub,NA
Senegalia galpinii,species,Acacia senegal,C3,-24.42,NA,17.0280622685194,-22.7,15.8,1975,February,Schulze_etal,1996
Senegalia gaumeri,species,Acacia gaumeri,C3,-29.282,NA,21.3036298109044,21.15,-89.82,2004,NA,unpub,NA
Acacia gonocarpa,species,Acacia gonocarpa,C3,-27.45,NA,19.6349006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia gonocarpa,species,Acacia gonocarpa,C3,-26.59,NA,18.7749006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Senegalia greggii,species,Acacia greggii,C3,-26.61,NA,18.6686894084753,34.95,-114.42,2004,NA,EhleringerandCooper,1988
Acacia hammondii,species,Acacia plectocarpa,C3,-26.59,NA,18.7749006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia harpophylla,species,Acacia harpophylla,C3,-28.88,NA,21.1014266303874,-24.08,145,1992,NA,Stewart_etal,1995
Acacia havilandiorum,species,Acacia havilandiorum,C3,-26.8,NA,18.8824601246412,-32.97,146.15,1998,NA,unpub,NA
Vachellia karroo,species,Acacia karoo,C3,NA,20.5,20.5,-28.48,16.67,1995,NA,Rundel_etal,1999
Acacia lamprocarpa,species,Acacia lamprocarpa,C3,-30.35,NA,22.5701048996961,-27.13,153.02,1992,NA,Stewart_etal,1995
Acacia lamprocarpa,species,Acacia lamprocarpa,C3,-27.3,NA,19.4849006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia latescens,species,Acacia latescens,C3,-26.98,NA,19.1649006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia trapezoidea,species,Acacia littorea,C3,-29.525,NA,21.5164606595709,-35.017,117.23,2002,Feb,Cernusak_etal,2004
Acacia mimula,species,Acacia mimula,C3,-29.02,NA,21.2049006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia mimula,species,Acacia mimula,C3,-28.9,21.7,21.7,-12.683,132.383,1993,October,Schulze_etal,1998
Acacia mimula,species,Acacia mimula,C3,-28.81,NA,20.9949006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia mountfordiae,species,Acacia mountfordiae,C3,-27.65,NA,19.8349006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia multisiliqua,species,Acacia multisiliqua,C3,-28.29,NA,20.4749006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia oncinocarpa,species,Acacia oncinocarpa,C3,-27.7,NA,19.8849006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia oncinocarpa,species,Acacia oncinocarpa,C3,-28.14,NA,20.3249006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia oswaldii,species,Acacia oswaldii,C3,-27.7,NA,19.7824601246412,-32.97,146.13,1998,NA,unpub,NA
Senegalia pennata,species,Acacia pennulata,C3,-29.90194864,NA,21.9235784509044,21.15,-89.82,2004,NA,unpub,NA
Senegalia polyphylla,species,Acacia riparia,C3,-28.20616845,NA,20.2277982609044,21.15,-89.82,2004,NA,unpub,NA
Senegalia robynsiana,species,Acacia robynsiana,C3,-25.82,NA,18.4278948697992,-23,15,1975,February,Schulze_etal,1996
Acacia rostellifera,species,Acacia rostellifera,C3,-28.3,NA,20.4511710326412,-29.817,115.267,1995,August,Tennakoon_etal,1997
Acacia,genus,Acacia sp,C3,-27.1,NA,19.0722948697992,-23,31.483,2003,NA,Codron_etal,2005
Acacia,genus,Acacia sp.,C3,-31.18,NA,23.3649006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia suaveolens,species,Acacia suaveolens,C3,-29.6,NA,21.6823740602752,-33.68,151.13,1998,NA,unpub,NA
Vachellia tortilis,species,Acacia tortilis,C3,-27.962,NA,19.9874963840303,2.583,37.88,2002,NA,Otieno_etal,2005
Acacia torulosa,species,Acacia torulosa,C3,-27.94,NA,20.1249006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Acacia wilhelmiana,species,Acacia wilhelmiana,C3,-27.5,NA,19.5824601246412,-32.97,146.15,1998,NA,unpub,NA
Vachellia xanthophloea,species,Acacia xanthophloea,C3,-26.936,NA,18.9614963840303,2.583,37.88,2002,NA,Otieno_etal,2005
Acalypha caturus,species,Acalypha caturus,C3,-28.15,NA,20.1912192424403,-1.417,120.33,2001,NA,Juhrbandt,2004
Acalypha,genus,Ricinocarpus sp.,C3,-29.6,NA,21.5914648625381,-34.95,117.283,2002,Feb,Cernusak_etal,2004
Acamptopappus sphaerocephalus,species,Acamptopappus sphaerocephalus,C3,NA,19.5,19.5,34.95,-114.42,1990,NA,Ehleringer_etal,1992
Acamptopappus sphaerocephalus,species,Acamptopappus sphaerocephalus,C3,-28.2,NA,20.6672894084753,34.95,-114.42,1986,NA,Ehleringer_etal,1987
Acanthocereus tetragonus,species,Acanthocereus occidentalis,CAM,-13.15,NA,5.5528614132043,19.31,-104.89,1987,NA,Mooney_etal,1989
Acanthocereus tetragonus,species,Acanthocereus tetragonus,CAM,-13.5,NA,5.52162981090436,21.15,-89.82,2004,NA,unpub,NA
Acanthopsis disperma,species,Acanthopsis disperma,C3,NA,20.4,20.4,-28.23,17.08,1995,NA,Rundel_etal,1999
Acanthus,genus,Acanthus pallens,C3,-28.3,NA,20.5641400828125,18.3,-65.783,1993,NA,von_Fischer_etal,1995
Acaulimalva purdiaei,species,Malvastrum acaule,C3,-25.37,NA,17.8839189853574,8.5,-71,1981,NA,Korner_etal,1988
Acaulimalva purdiaei,species,Malvastrum acaule,C3,-25.37,17.8,17.8,8.5,-71,1983,NA,Korner_etal,1991
Acer campestre,species,Acer campestre,C3,-27.03,NA,19.2359158859682,47.47,7.5,1999,June,Chevillat_etal,2005
Acer circinatum,species,Acer circinatum,C3,-31.3,NA,23.4998098714376,45.133,-123.633,1999,NA,Winner_etal,2004
Acer x coriaceum,species,Acer monspessulanum,C3,-26.68,NA,18.8027514962008,41.78,-5.42,2002,NA,Escudero_etal,2008
Acer x coriaceum,species,Acer monspessulanum,C3,-26.72,NA,18.8427514962008,41.78,-5.42,2002,NA,Escudero_etal,2008
Acer glabrum,species,Acer glabrum,C3,NA,19.95,19.95,47.16,-116.448,1991,NA,Marshall_etal,1994
Acer negundo,species,Acer negundo,C3,-28.7,NA,21.0237205583687,40.55,-111.1,1993,June,Buchmann_etal,1996
Acer negundo,species,Acer negundo,C3,NA,21.5,21.5,40.77,-111.8,NA,NA,Dawson_etal,2004
Acer platanoides,species,Acer platanoides,C3,-27.21,NA,19.3796629803108,51.083,10.517,2001,July,Holscher,2004
Acer pseudoplatanus,species,Acer pseudoplatanus,C3,-27.55,NA,19.7196629803108,51.083,10.517,2001,July,Holscher,2004
Acer pycnanthum,species,Acer rubrum,C3,-29.51,NA,21.911992619589,35.97,-84.28,1989,NA,GartenandTaylor,1992
Acer saccharum,species,Acer saccharum,C3,-28.4,NA,20.5780745634564,45.499,-89.636,2000,NA,Ellsworth_etal_2004,2004
Acer saccharum,species,Acer grandidentatum,C3,-26.5,NA,18.8237205583687,40.55,-111.1,1993,June,Buchmann_etal,1996
Achillea millefolium,species,Achillea millefolium,C3,NA,20.6,20.6,40.433,22,1998,NA,Tsialtas_etal,2001
Achillea millefolium,species,Achillea millefolium,C3,-30.60356,NA,22.756339801049698,44.517,-121.617,2001,NA,Lambrecht_Dawson,2007
Achillea millefolium,species,Achillea millefolium,C3,-29.87606,NA,22.0292798465561,44.683,-123.3,2001,NA,Lambrecht_Dawson,2007
Achillea millefolium,species,Achillea millefolium,C3,-31.5392948,NA,23.7903802306896,68.33,18.85,1999,July/Aug.,unpub,NA
Achillea millefolium,species,Achillea millefolium,C3,-30.02334,NA,22.1761198010498,44.517,-123.517,2001,NA,Lambrecht_Dawson,2007
Achillea millefolium,species,Achillea millefolium,C3,-26.1,NA,18.3006455810543,45.45,-93.201,1999,NA,unpub,NA
Achyranthes aspera,species,Achyranthes aspera,C3,-28.73,NA,21.4695891673319,26.583,71.95,1973,NA,Sankhla_etal,1975
Miconia leucocarpa,species,Miconia pohliana,C3,-28.495,NA,20.5412035476905,-15.15,-47.51,2000,NA,unpub,NA
Miconia leucocarpa,species,Miconia pohliana,C3,-28.9625,NA,21.0087035476905,-15.15,-47.51,2000,NA,unpub,NA
Miconia leucocarpa,species,Miconia pohliana,C3,-29.215,NA,21.2612035476905,-15.15,-47.51,2000,NA,unpub,NA
Aciphylla,genus,Aciphylla sp.,C3,-29.8,NA,22.268788052704,-43.75,169.333,1981,NA,Korner_etal,1988
Acosmium cardenasii,species,Poeppigia procera,C3,-29.58,NA,21.6336236648218,-8.45,-63.23,2000,NA,unpub,NA
Leptolobium dasycarpum,species,Acosmium adsycarpum,C3,-27.22666667,NA,19.2728702176905,-15.15,-47.51,2000,NA,unpub,NA
Leptolobium dasycarpum,species,Acosmium dasycarpum,C3,-29.13,NA,21.1762035476905,-15.15,-47.51,2000,NA,unpub,NA
Leptolobium dasycarpum,species,Acosmium dasicarpa,C3,-29.14333333,NA,21.1895368776905,-15.15,-47.51,2000,NA,unpub,NA
Acrocomia aculeata,species,Acrocomia aculeata,C3,-27.514,NA,19.7338176752456,8.97,-79.38,1994,NA,ParqueNaturalMetropolitano,2002
Paepalanthus polyanthus,species,Paepalanthus polyanthus,C3,-25.2,17.7,17.7,-20.417,-44.833,1997,October,Scarano_etal,2001
Actinoschoenus aphyllus,species,Arthrostylis aphylla,C3,-28.34,NA,20.5249006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Actinoschoenus aphyllus,species,Arthrostylis aphylla,C3,-28.12,NA,20.3049006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
Sonchus megalocarpus,species,Sonchus asper,C3,-26.88,NA,19.6195891673319,26.583,71.95,1973,NA,Sankhla_etal,1975
Sonchus megalocarpus,species,Sonchus asper,C3,-25.1,NA,17.4345029045248,-24.96,-70.43,1987,December,Ehleringer_etal,1997
Adelobotrys scandens,species,Adelobotrys scandens,C3,-35.21,NA,27.2765406809557,0.14,-66.46,2000,NA,unpub,NA
Adenanthera intermedia,species,Adenanthera pavonina,C3,-28.36,NA,20.5449006301359,-12.65,132.92,1994,NA,Schmidt et al,NA
