Sample,VIS %R (460-680nm),NIR %R (750-1050nm),Dip Slope est. (940nm minus 980nm),DIP Slope est. zeroed to removed minus values,DIPz,Total reflectance (460-1050nm)
1,11.97660181,68.05689517,1.206,3.10,3.1,43.47760034
2,10.16566916,54.58129118,-1.892,0.00,0.01,35.05277739
3,3.727919274,61.72110316,-0.22,1.67,1.67,35.95039517
4,6.398919728,68.16296672,3.251,5.14,5.14,41.18738747
5,17.43416848,72.76648586,1.654,3.54,3.54,48.59176063
6,6.735762358,67.73022463,0.955,2.85,2.85,40.76533531
7,11.58871973,64.48100333,6.302,8.19,8.19,41.04643963
8,19.78371429,64.15136439,1.395,3.29,3.29,44.35718713
9,45.64070748,88.48714309,1.927,3.82,3.82,69.37456816
10,10.1563424,63.01418636,1.705,3.60,3.6,39.58118679
11,7.979981406,65.23927787,0.436,2.33,2.33,39.73467604
12,8.700712472,64.72802995,2.482,4.37,4.37,40.16873827
13,13.10860181,64.81424626,-0.198,1.69,1.69,42.10255419
14,28.21787075,72.60295341,0.862,2.75,2.75,52.94807875
15,25.48068254,90.23726123,3.264,5.15,5.15,61.86185182
16,25.54064853,87.24024958,2.342,4.23,4.23,60.10139289
17,19.36439427,86.17933828,3.105,4.99,4.99,55.01784764
18,15.72695465,63.50286689,2.513,4.40,4.4,42.52733954
19,18.81102494,69.56097837,0.102,1.99,1.99,46.89858425
20,5.217666213,55.98092346,1.742,3.63,3.63,33.4664
21,15.37728662,69.17121963,0.536,2.43,2.43,45.52668366
22,7.541241723,69.35244093,1.926,3.82,3.82,42.06592278
23,12.79771882,94.47261897,1.997,3.89,3.89,58.75420762
24,9.785817007,58.72722463,3.906,5.80,5.8,37.21445944
25,6.956438776,59.42704659,4.29,6.18,6.18,36.54206808
26,11.13056621,75.63185358,-0.511,1.38,1.38,47.14776571
27,8.47417483,65.37941098,-0.06,1.83,1.83,40.30974496
28,11.45654082,69.90433278,1.409,3.30,3.3,44.10743345
29,14.71315283,72.97718968,4.502,6.39,6.39,47.38765064
30,13.84957384,72.95790801,0.457,2.35,2.35,45.32864034
31,11.23682133,74.09157864,1.261,3.15,3.15,44.61243047
32,10.34265179,66.43407122,5.353,7.24,7.24,40.31138498
33,27.0283172,80.11006825,1.843,3.73,3.73,55.30781116
34,11.15406631,72.46642136,1.275,3.16,3.16,43.90972031
35,24.25976644,76.5898802,6.173,8.06,8.06,53.63204996
36,18.06626077,71.77561398,1.592,3.48,3.48,48.28431499
37,27.15368934,76.73851747,1.605,3.50,3.5,54.83188484
38,9.872657143,67.05677371,2.15,4.04,4.04,41.94223768
39,22.39245578,90.78242263,1.989,3.88,3.88,60.49879763
40,13.78073673,62.99948087,1.742,3.63,3.63,41.20718789
41,15.88922222,71.45715474,1.486,3.38,3.38,47.3204801
42,19.57726757,62.68843594,4.117,6.01,6.01,43.61886622
43,16.13078685,86.88493511,2.897,4.79,4.79,55.86295343
44,16.28765079,70.17079035,1.952,3.84,3.84,46.59432854
45,12.34947347,72.65099501,2.35,4.24,4.24,46.15491804
46,10.63003084,72.87503827,3.16,5.05,5.05,45.61574259
47,10.20598707,59.96882529,3.904,5.79,5.79,38.29579619
48,15.39917687,62.62933777,8.69,10.58,10.58,42.55018628
49,8.165150567,68.76526955,0.898,2.79,2.79,42.14103853
50,10.1037483,64.19964226,0.884,2.77,2.77,40.63972134
51,11.55812676,73.40908819,1.472,3.36,3.36,46.54648247
52,12.98615601,85.72451414,1.013,2.90,2.9,53.65392955
53,21.93731293,68.37466722,2.456,4.35,4.35,47.7817409
54,10.02452426,63.77174542,1.473,3.36,3.36,39.98473328
55,9.297634921,60.98059235,0.856,2.75,2.75,38.50920085
56,15.17396508,73.07448586,4.997,6.89,6.89,47.83520042
57,13.65872925,59.03911314,4.22,6.11,6.11,38.99091922
58,25.88906576,71.32946256,6.39,8.28,8.28,51.93687468
59,20.45772336,82.01426123,1.713,3.60,3.6,54.68273666
60,37.0553424,72.4582812,2.684,4.57,4.57,56.98652921
61,18.68353061,84.87809651,0.297,2.19,2.19,55.64083235
62,21.89758957,85.66298336,1.224,3.11,3.11,57.0601304
63,12.73970975,77.73110982,4.496,6.39,6.39,49.37411854
64,32.53535374,88.13426622,9.761,11.65,11.65,64.20702964
65,19.19187302,73.26675541,3.493,5.38,5.38,49.54700339
66,26.91212472,74.95966889,2.592,4.48,4.48,53.90298052
67,14.55781111,75.52244426,1.137,3.03,3.03,48.66500483
68,15.54583673,74.13254908,1.308,3.20,3.2,48.08305758
69,15.03249206,81.38243261,4.198,6.09,6.09,51.79277646
70,17.56947166,68.43069384,0.846,2.74,2.74,46.04384928
71,16.56405896,83.01890183,3.417,5.31,5.31,53.82983743
72,17.15607256,79.81393511,1.762,3.65,3.65,52.23775445
73,16.55578005,77.98560067,2.84,4.73,4.73,50.6117011
74,24.41889342,74.98475208,8.51,10.40,10.4,53.23077477
75,34.75114739,88.71869884,5.074,6.96,6.96,64.91055377
76,39.84495238,75.01582363,0.819,2.71,2.71,58.96387214
77,21.30290703,80.42781697,0.316,2.21,2.21,54.32667909
78,26.01647619,90.08124126,4.715,6.61,6.61,61.97594412
79,15.1095034,81.11717138,1.768,3.66,3.66,51.86753429
80,12.63724218,74.58929118,0.93,2.82,2.82,47.2039287
81,12.35366803,68.65905324,5.314,7.20,7.2,43.69699229
82,31.71519728,95.15149584,2.435,4.33,4.33,67.05726334
83,11.73918639,74.17299168,-0.375,1.52,1.52,46.32059204
84,25.10853061,79.82578037,1.554,3.44,3.44,55.53671211
85,18.03905215,80.36127454,0.699,2.59,2.59,53.11094496
